year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Infectious disease control,184.53,18.0%,Germany
2023,Health policy and administrative management,163.41,15.9%,Germany
2023,Basic nutrition,142.11,13.8%,Germany
2023,Reproductive health care,109.64,10.7%,Germany
2023,Basic health infrastructure,106.06,10.3%,Germany
2023,Basic health care,76.13,7.4%,Germany
2023,Medical services,47.1,4.6%,Germany
2023,Medical education/training,31.79,3.1%,Germany
2023,Medical research,26.87,2.6%,Germany
2023,Promotion of mental health and well-being,23.85,2.3%,Germany
2023,COVID-19 control,21.89,2.1%,Germany
2023,Health education,17.85,1.7%,Germany
2023,Family planning,16.41,1.6%,Germany
2023,STD control including HIV/AIDS,13.53,1.3%,Germany
2023,Other prevention and treatment of NCDs,12.14,1.2%,Germany
2023,Tuberculosis control,11.69,1.1%,Germany
2023,Personnel development for population and reproductive health,7.81,0.8%,Germany
2023,Health personnel development,5.65,0.6%,Germany
2023,Population policy and administrative management,3.61,0.4%,Germany
2023,"NCDs control, general",1.6,0.2%,Germany
2023,Control of harmful use of alcohol and drugs,1.44,0.1%,Germany
2023,Malaria control,1.15,0.1%,Germany
2023,Tobacco use control,0.35,0.0%,Germany
2023,Research for prevention and control of NCDs,0.29,0.0%,Germany
2022,COVID-19 control,1765.04,49.8%,Germany
2022,Infectious disease control,732.71,20.7%,Germany
2022,Health policy and administrative management,265.42,7.5%,Germany
2022,Basic nutrition,183.14,5.2%,Germany
2022,Reproductive health care,134.22,3.8%,Germany
2022,Basic health infrastructure,119.13,3.4%,Germany
2022,Basic health care,87.33,2.5%,Germany
2022,Medical services,62.72,1.8%,Germany
2022,Medical research,44.29,1.3%,Germany
2022,STD control including HIV/AIDS,31.84,0.9%,Germany
2022,Medical education/training,27.41,0.8%,Germany
2022,Promotion of mental health and well-being,24.58,0.7%,Germany
2022,Family planning,16.14,0.5%,Germany
2022,Health education,15.82,0.4%,Germany
2022,Personnel development for population and reproductive health,9.27,0.3%,Germany
2022,Other prevention and treatment of NCDs,6.95,0.2%,Germany
2022,Tuberculosis control,4.13,0.1%,Germany
2022,Health personnel development,3.61,0.1%,Germany
2022,Population policy and administrative management,2.94,0.1%,Germany
2022,"NCDs control, general",2.68,0.1%,Germany
2022,Control of harmful use of alcohol and drugs,1.65,0.0%,Germany
2022,Malaria control,1.1,0.0%,Germany
2022,Research for prevention and control of NCDs,0.41,0.0%,Germany
2022,Tobacco use control,0.37,0.0%,Germany
2021,COVID-19 control,1334.26,49.2%,Germany
2021,Infectious disease control,374.96,13.8%,Germany
2021,Health policy and administrative management,194.39,7.2%,Germany
2021,Medical research,129.11,4.8%,Germany
2021,Basic health care,124.28,4.6%,Germany
2021,Reproductive health care,123.98,4.6%,Germany
2021,Basic health infrastructure,120.04,4.4%,Germany
2021,Basic nutrition,99.13,3.7%,Germany
2021,Medical services,59.11,2.2%,Germany
2021,Medical education/training,36.03,1.3%,Germany
2021,STD control including HIV/AIDS,27.13,1.0%,Germany
2021,Promotion of mental health and well-being,21.68,0.8%,Germany
2021,Family planning,18.92,0.7%,Germany
2021,Health education,14.27,0.5%,Germany
2021,Personnel development for population and reproductive health,8.34,0.3%,Germany
2021,Health personnel development,7.68,0.3%,Germany
2021,Tuberculosis control,6.69,0.2%,Germany
2021,"NCDs control, general",4.31,0.2%,Germany
2021,Other prevention and treatment of NCDs,3.95,0.1%,Germany
2021,Population policy and administrative management,2.15,0.1%,Germany
2021,Research for prevention and control of NCDs,0.43,0.0%,Germany
2021,Control of harmful use of alcohol and drugs,0.31,0.0%,Germany
2021,Tobacco use control,0.29,0.0%,Germany
2020,COVID-19 control,1008.24,43.1%,Germany
2020,Infectious disease control,420.92,18.0%,Germany
2020,Health policy and administrative management,151.56,6.5%,Germany
2020,Basic nutrition,135.17,5.8%,Germany
2020,Reproductive health care,120.36,5.1%,Germany
2020,Medical services,118.81,5.1%,Germany
