Year,Multi_short,ODA,Share,Full Name,Donor
2023,ADB,0.62,0.0%,asian development bank,Sweden
2019,ADF,0.73,0.0%,african development fund,Sweden
2020,ADF,1.68,0.0%,african development fund,Sweden
2021,ADF,1.72,0.0%,african development fund,Sweden
2022,ADF,2.15,0.0%,african development fund,Sweden
2023,ADF,0.19,0.0%,african development fund,Sweden
2020,AIIB,3.23,1.0%,asian infrastructure investment bank,Sweden
2019,AfDB,0.0,0.0%,african development bank,Sweden
2020,AfDB,0.0,0.0%,african development bank,Sweden
2021,AfDB,0.0,0.0%,african development bank,Sweden
2022,AfDB,0.03,0.0%,african development bank,Sweden
2023,AfDB,0.07,0.0%,african development bank,Sweden
2019,EC-DSB,7.85,2.0%,european commission development share of budget,Sweden
2020,EC-DSB,8.79,1.0%,european commission development share of budget,Sweden
2021,EC-DSB,19.6,3.0%,european commission development share of budget,Sweden
2022,EC-DSB,32.41,6.0%,european commission development share of budget,Sweden
2023,EC-DSB,32.9,6.0%,european commission development share of budget,Sweden
2019,EC-EDF,11.73,2.0%,european commission european development fund,Sweden
2020,EC-EDF,10.69,2.0%,european commission european development fund,Sweden
2021,EC-EDF,6.92,1.0%,european commission european development fund,Sweden
2022,EC-EDF,2.32,0.0%,european commission european development fund,Sweden
2023,EC-EDF,0.56,0.0%,european commission european development fund,Sweden
2022,EIB,0.61,0.0%,european investment bank,Sweden
2023,EIB,0.63,0.0%,european investment bank,Sweden
2019,FAO,0.28,0.0%,food and agricultural organisation,Sweden
2020,FAO,0.18,0.0%,food and agricultural organisation,Sweden
2021,FAO,0.16,0.0%,food and agricultural organisation,Sweden
2022,FAO,0.14,0.0%,food and agricultural organisation,Sweden
2023,FAO,0.18,0.0%,food and agricultural organisation,Sweden
2019,GAVI,30.74,6.0%,global alliance for vaccines and immunization,Sweden
2020,GAVI,35.5,6.0%,global alliance for vaccines and immunization,Sweden
2021,GAVI,35.47,6.0%,global alliance for vaccines and immunization,Sweden
2022,GAVI,33.32,6.0%,global alliance for vaccines and immunization,Sweden
2023,GAVI,29.56,5.0%,global alliance for vaccines and immunization,Sweden
2023,GEF-TF,5.64,1.0%,global environment facility trust fund,Sweden
2019,GFATM,93.85,18.0%,global fund to fight aids tuberculosis and malaria,Sweden
2020,GFATM,102.81,17.0%,global fund to fight aids tuberculosis and malaria,Sweden
2021,GFATM,100.18,16.0%,global fund to fight aids tuberculosis and malaria,Sweden
2022,GFATM,64.7,12.0%,global fund to fight aids tuberculosis and malaria,Sweden
2023,GFATM,80.17,15.0%,global fund to fight aids tuberculosis and malaria,Sweden
2019,IBRD,0.62,0.0%,international bank for reconstruction and development,Sweden
2020,IBRD,0.93,0.0%,international bank for reconstruction and development,Sweden
2021,IBRD,1.44,0.0%,international bank for reconstruction and development,Sweden
2022,IBRD,2.05,0.0%,international bank for reconstruction and development,Sweden
2023,IBRD,1.98,0.0%,international bank for reconstruction and development,Sweden
2019,IDA,29.78,6.0%,international development association,Sweden
2020,IDA,28.87,5.0%,international development association,Sweden
2021,IDA,35.38,6.0%,international development association,Sweden
2022,IDA,38.53,7.000000000000001%,international development association,Sweden
2023,IDA,67.5,13.0%,international development association,Sweden
2019,IDB-IIC-MIF,0.17,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Sweden
2020,IDB-IIC-MIF,0.05,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Sweden
2021,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Sweden
2022,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Sweden
2023,IFC,0.01,0.0%,international finance corporation,Sweden
2022,JSDGF,0.13,0.0%,joint sustainable development goals fund,Sweden
2023,JSDGF,0.19,0.0%,joint sustainable development goals fund,Sweden
2021,PIDG,0.0,0.0%,private infrastructure development group,Sweden
2022,PIDG,0.0,0.0%,private infrastructure development group,Sweden
2023,PIDG,0.0,0.0%,private infrastructure development group,Sweden
2019,UN,0.01,0.0%,united nations,Sweden
2020,UN,0.01,0.0%,united nations,Sweden
2021,UN,0.02,0.0%,united nations,Sweden
2022,UN,0.05,0.0%,united nations,Sweden
2023,UN,0.07,0.0%,united nations,Sweden
2019,UNAIDS,22.31,4.0%,joint united nations programme on hiv aids,Sweden
2020,UNAIDS,13.55,2.0%,joint united nations programme on hiv aids,Sweden
2021,UNAIDS,1.3,0.0%,joint united nations programme on hiv aids,Sweden
2023,UNAIDS,6.27,1.0%,joint united nations programme on hiv aids,Sweden
2019,UNDP,0.94,0.0%,united nations development programme,Sweden
2020,UNDP,1.7,0.0%,united nations development programme,Sweden
2021,UNDP,2.56,0.0%,united nations development programme,Sweden
2022,UNDP,2.66,1.0%,united nations development programme,Sweden
2023,UNDP,1.36,0.0%,united nations development programme,Sweden
2019,UNFPA,22.55,4.0%,united nations population fund,Sweden
2020,UNFPA,20.18,3.0%,united nations population fund,Sweden
2021,UNFPA,16.77,3.0%,united nations population fund,Sweden
2022,UNFPA,30.35,6.0%,united nations population fund,Sweden
2023,UNFPA,26.57,5.0%,united nations population fund,Sweden
2019,UNRWA,7.25,1.0%,united nations relief and works agency for palestine refugees in the near east,Sweden
2020,UNRWA,8.29,1.0%,united nations relief and works agency for palestine refugees in the near east,Sweden
2021,UNRWA,6.29,1.0%,united nations relief and works agency for palestine refugees in the near east,Sweden
2022,UNRWA,8.13,2.0%,united nations relief and works agency for palestine refugees in the near east,Sweden
2023,UNRWA,4.59,1.0%,united nations relief and works agency for palestine refugees in the near east,Sweden
2019,WFP,1.98,0.0%,world food programme,Sweden
2020,WFP,1.66,0.0%,world food programme,Sweden
2021,WFP,1.35,0.0%,world food programme,Sweden
2022,WFP,2.18,0.0%,world food programme,Sweden
2023,WFP,1.93,0.0%,world food programme,Sweden
2019,WHO-AC,2.95,1.0%,world health organisation assessed contributions,Sweden
2020,WHO-AC,2.93,0.0%,world health organisation assessed contributions,Sweden
2021,WHO-AC,2.86,0.0%,world health organisation assessed contributions,Sweden
2022,WHO-AC,2.32,0.0%,world health organisation assessed contributions,Sweden
2023,WHO-AC,2.84,1.0%,world health organisation assessed contributions,Sweden
2019,WHO-CVCA,12.89,3.0%,world health organisation core voluntary contributions account,Sweden
2022,WHO-CVCA,8.92,2.0%,world health organisation core voluntary contributions account,Sweden
2023,WHO-CVCA,14.17,3.0%,world health organisation core voluntary contributions account,Sweden
2019,,10.17,2.0%,united nations children’s fund,Sweden
2020,,11.32,2.0%,united nations children’s fund,Sweden
2021,,10.78,2.0%,united nations children’s fund,Sweden
2022,,11.93,2.0%,united nations children’s fund,Sweden
2023,,9.3,2.0%,united nations children’s fund,Sweden
