year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,COVID-19 control,11.5,92.0%,Slovak Republic
2023,Promotion of mental health and well-being,0.45,3.6%,Slovak Republic
2023,Medical services,0.23,1.8%,Slovak Republic
2023,Medical education/training,0.1,0.8%,Slovak Republic
2023,Medical research,0.08,0.6%,Slovak Republic
2023,Basic health care,0.04,0.3%,Slovak Republic
2023,Health personnel development,0.04,0.3%,Slovak Republic
2023,Basic health infrastructure,0.02,0.2%,Slovak Republic
2023,Reproductive health care,0.02,0.2%,Slovak Republic
2023,Health education,0.01,0.1%,Slovak Republic
2023,Basic nutrition,0.01,0.1%,Slovak Republic
2023,STD control including HIV/AIDS,0.0,0.0%,Slovak Republic
2022,COVID-19 control,17.29,92.0%,Slovak Republic
2022,Basic health care,0.6,3.2%,Slovak Republic
2022,Medical services,0.52,2.8%,Slovak Republic
2022,Reproductive health care,0.16,0.8%,Slovak Republic
2022,Medical education/training,0.08,0.4%,Slovak Republic
2022,Control of harmful use of alcohol and drugs,0.05,0.3%,Slovak Republic
2022,Health education,0.05,0.3%,Slovak Republic
2022,Basic health infrastructure,0.02,0.1%,Slovak Republic
2022,Promotion of mental health and well-being,0.02,0.1%,Slovak Republic
2022,Basic nutrition,0.01,0.1%,Slovak Republic
2021,COVID-19 control,13.17,92.8%,Slovak Republic
2021,Basic health care,0.38,2.7%,Slovak Republic
2021,Medical services,0.37,2.6%,Slovak Republic
2021,Reproductive health care,0.18,1.2%,Slovak Republic
2021,Health education,0.06,0.4%,Slovak Republic
2021,Basic health infrastructure,0.03,0.2%,Slovak Republic
2021,Basic nutrition,0.01,0.1%,Slovak Republic
2020,Basic health care,1.04,41.0%,Slovak Republic
2020,COVID-19 control,0.73,28.7%,Slovak Republic
2020,Health policy and administrative management,0.28,11.2%,Slovak Republic
2020,Reproductive health care,0.21,8.1%,Slovak Republic
2020,Medical education/training,0.14,5.4%,Slovak Republic
2020,Medical services,0.09,3.4%,Slovak Republic
2020,Basic nutrition,0.03,1.3%,Slovak Republic
2020,Basic health infrastructure,0.02,0.9%,Slovak Republic
2019,Medical services,0.34,26.3%,Slovak Republic
2019,Health policy and administrative management,0.29,22.4%,Slovak Republic
2019,Basic health care,0.28,21.8%,Slovak Republic
2019,Basic health infrastructure,0.14,10.9%,Slovak Republic
2019,Infectious disease control,0.09,6.6%,Slovak Republic
2019,Basic nutrition,0.06,4.8%,Slovak Republic
2019,Reproductive health care,0.05,4.1%,Slovak Republic
2019,Medical education/training,0.02,1.6%,Slovak Republic
2019,Population policy and administrative management,0.02,1.5%,Slovak Republic
