year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Basic health care,63.25,26.0%,Norway
2023,Family planning,38.3,15.8%,Norway
2023,COVID-19 control,26.92,11.1%,Norway
2023,Health policy and administrative management,26.86,11.1%,Norway
2023,Infectious disease control,23.83,9.8%,Norway
2023,Reproductive health care,11.49,4.7%,Norway
2023,Population policy and administrative management,9.64,4.0%,Norway
2023,"NCDs control, general",8.54,3.5%,Norway
2023,STD control including HIV/AIDS,4.59,1.9%,Norway
2023,Basic health infrastructure,4.35,1.8%,Norway
2023,Health personnel development,3.98,1.6%,Norway
2023,Basic nutrition,3.55,1.5%,Norway
2023,Medical research,3.01,1.2%,Norway
2023,Research for prevention and control of NCDs,2.36,1.0%,Norway
2023,Tuberculosis control,2.23,0.9%,Norway
2023,Medical services,2.21,0.9%,Norway
2023,Promotion of mental health and well-being,2.09,0.9%,Norway
2023,Other prevention and treatment of NCDs,1.52,0.6%,Norway
2023,Tobacco use control,1.28,0.5%,Norway
2023,Medical education/training,1.21,0.5%,Norway
2023,Health education,0.99,0.4%,Norway
2023,Control of harmful use of alcohol and drugs,0.62,0.3%,Norway
2023,Personnel development for population and reproductive health,0.04,0.0%,Norway
2022,Basic health care,60.27,27.1%,Norway
2022,COVID-19 control,27.06,12.2%,Norway
2022,Infectious disease control,23.29,10.5%,Norway
2022,Reproductive health care,22.16,10.0%,Norway
2022,Health policy and administrative management,21.83,9.8%,Norway
2022,Family planning,19.94,9.0%,Norway
2022,"NCDs control, general",10.9,4.9%,Norway
2022,Medical research,7.74,3.5%,Norway
2022,Population policy and administrative management,4.83,2.2%,Norway
2022,Medical services,4.58,2.1%,Norway
2022,STD control including HIV/AIDS,4.26,1.9%,Norway
2022,Tuberculosis control,2.19,1.0%,Norway
2022,Basic health infrastructure,2.07,0.9%,Norway
2022,Health education,1.73,0.8%,Norway
2022,Promotion of mental health and well-being,1.63,0.7%,Norway
2022,Basic nutrition,1.42,0.6%,Norway
2022,Other prevention and treatment of NCDs,1.37,0.6%,Norway
2022,Personnel development for population and reproductive health,1.36,0.6%,Norway
2022,Medical education/training,1.35,0.6%,Norway
2022,Tobacco use control,1.15,0.5%,Norway
2022,Research for prevention and control of NCDs,0.94,0.4%,Norway
2022,Control of harmful use of alcohol and drugs,0.24,0.1%,Norway
2022,Health personnel development,0.11,0.1%,Norway
2021,COVID-19 control,244.0,48.7%,Norway
2021,Basic health care,75.87,15.2%,Norway
2021,Infectious disease control,58.09,11.6%,Norway
2021,Health policy and administrative management,24.7,4.9%,Norway
2021,Reproductive health care,21.08,4.2%,Norway
2021,"NCDs control, general",15.85,3.2%,Norway
2021,Family planning,14.48,2.9%,Norway
2021,Population policy and administrative management,7.38,1.5%,Norway
2021,STD control including HIV/AIDS,5.7,1.1%,Norway
2021,Medical research,4.84,1.0%,Norway
2021,Basic nutrition,4.45,0.9%,Norway
2021,Medical services,3.51,0.7%,Norway
2021,Promotion of mental health and well-being,3.4,0.7%,Norway
2021,Tuberculosis control,3.31,0.7%,Norway
2021,Other prevention and treatment of NCDs,2.79,0.6%,Norway
2021,Basic health infrastructure,2.61,0.5%,Norway
2021,Research for prevention and control of NCDs,1.97,0.4%,Norway
2021,Health education,1.85,0.4%,Norway
2021,Medical education/training,1.64,0.3%,Norway
2021,Tobacco use control,1.31,0.3%,Norway
2021,Personnel development for population and reproductive health,1.09,0.2%,Norway
2021,Control of harmful use of alcohol and drugs,0.44,0.1%,Norway
2021,Health personnel development,0.26,0.1%,Norway
2020,COVID-19 control,180.29,40.0%,Norway
2020,Basic health care,83.46,18.5%,Norway
2020,Infectious disease control,38.73,8.6%,Norway
2020,Health policy and administrative management,34.26,7.6%,Norway
2020,Reproductive health care,30.25,6.7%,Norway
2020,"NCDs control, general",19.17,4.3%,Norway
2020,Family planning,13.01,2.9%,Norway
2020,Medical research,8.55,1.9%,Norway
2020,Medical services,7.75,1.7%,Norway
2020,STD control including HIV/AIDS,6.65,1.5%,Norway
2020,Basic health infrastructure,5.06,1.1%,Norway
2020,Basic nutrition,4.42,1.0%,Norway
2020,Health education,3.89,0.9%,Norway
2020,Population policy and administrative management,3.34,0.7%,Norway
