year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Medical education/training,0.34,55.1%,Estonia
2023,Promotion of mental health and well-being,0.15,24.5%,Estonia
2023,Medical research,0.05,8.0%,Estonia
2023,Health education,0.05,8.0%,Estonia
2023,Reproductive health care,0.03,4.4%,Estonia
2022,Reproductive health care,0.08,67.6%,Estonia
2022,Medical research,0.02,19.6%,Estonia
2022,Medical services,0.01,4.9%,Estonia
2022,Population policy and administrative management,0.01,7.8%,Estonia
2021,COVID-19 control,3.43,86.4%,Estonia
2021,Reproductive health care,0.2,5.0%,Estonia
2021,Infectious disease control,0.12,3.0%,Estonia
2021,Population policy and administrative management,0.1,2.6%,Estonia
2021,Medical research,0.05,1.4%,Estonia
2021,Health policy and administrative management,0.03,0.9%,Estonia
2021,Health personnel development,0.02,0.4%,Estonia
2021,Basic health care,0.01,0.3%,Estonia
2021,Medical services,0.0,0.0%,Estonia
2021,Basic health infrastructure,0.0,0.0%,Estonia
2020,COVID-19 control,0.55,52.0%,Estonia
2020,Health personnel development,0.16,14.8%,Estonia
2020,Personnel development for population and reproductive health,0.16,15.6%,Estonia
2020,Infectious disease control,0.1,9.6%,Estonia
2020,Medical services,0.05,5.1%,Estonia
2020,Basic health infrastructure,0.02,1.5%,Estonia
2020,Reproductive health care,0.01,0.8%,Estonia
2020,"NCDs control, general",0.0,0.1%,Estonia
2020,Basic health care,0.0,0.4%,Estonia
2019,Health policy and administrative management,0.23,40.0%,Estonia
2019,Infectious disease control,0.12,21.1%,Estonia
2019,Basic health care,0.08,14.7%,Estonia
2019,Medical education/training,0.05,9.0%,Estonia
2019,Medical research,0.04,7.5%,Estonia
2019,Health personnel development,0.04,7.7%,Estonia
