year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,COVID-19 control,168.32,23.6%,Canada
2023,Infectious disease control,102.42,14.3%,Canada
2023,Population policy and administrative management,75.19,10.5%,Canada
2023,Basic nutrition,73.51,10.3%,Canada
2023,Reproductive health care,73.25,10.3%,Canada
2023,Family planning,42.73,6.0%,Canada
2023,Health policy and administrative management,41.35,5.8%,Canada
2023,Basic health care,39.5,5.5%,Canada
2023,Health personnel development,18.54,2.6%,Canada
2023,Personnel development for population and reproductive health,16.56,2.3%,Canada
2023,Basic health infrastructure,13.73,1.9%,Canada
2023,STD control including HIV/AIDS,9.73,1.4%,Canada
2023,Tuberculosis control,7.88,1.1%,Canada
2023,Health education,6.7,0.9%,Canada
2023,Other prevention and treatment of NCDs,6.22,0.9%,Canada
2023,Promotion of mental health and well-being,4.88,0.7%,Canada
2023,Medical research,3.95,0.6%,Canada
2023,"NCDs control, general",3.65,0.5%,Canada
2023,Research for prevention and control of NCDs,1.97,0.3%,Canada
2023,Malaria control,1.68,0.2%,Canada
2023,Medical services,1.4,0.2%,Canada
2023,Medical education/training,0.72,0.1%,Canada
2023,Tobacco use control,0.0,0.0%,Canada
2022,COVID-19 control,634.48,52.4%,Canada
2022,Reproductive health care,80.0,6.6%,Canada
2022,Population policy and administrative management,76.81,6.3%,Canada
2022,Infectious disease control,75.06,6.2%,Canada
2022,Basic health care,67.23,5.6%,Canada
2022,Basic nutrition,61.76,5.1%,Canada
2022,Health policy and administrative management,50.79,4.2%,Canada
2022,Basic health infrastructure,50.6,4.2%,Canada
2022,Family planning,39.67,3.3%,Canada
2022,Personnel development for population and reproductive health,23.8,2.0%,Canada
2022,Health personnel development,14.45,1.2%,Canada
2022,Tuberculosis control,8.25,0.7%,Canada
2022,Health education,7.08,0.6%,Canada
2022,Promotion of mental health and well-being,4.7,0.4%,Canada
2022,STD control including HIV/AIDS,4.02,0.3%,Canada
2022,Medical research,3.89,0.3%,Canada
2022,Medical services,3.63,0.3%,Canada
2022,Malaria control,1.72,0.1%,Canada
2022,Medical education/training,1.33,0.1%,Canada
2022,Other prevention and treatment of NCDs,0.82,0.1%,Canada
2022,Research for prevention and control of NCDs,0.3,0.0%,Canada
2022,Tobacco use control,0.22,0.0%,Canada
2021,COVID-19 control,936.07,61.2%,Canada
2021,Basic nutrition,116.73,7.6%,Canada
2021,Reproductive health care,90.99,5.9%,Canada
2021,Population policy and administrative management,80.7,5.3%,Canada
2021,Family planning,56.23,3.7%,Canada
2021,Health policy and administrative management,55.04,3.6%,Canada
2021,Infectious disease control,54.0,3.5%,Canada
2021,Basic health care,49.89,3.3%,Canada
2021,Personnel development for population and reproductive health,27.88,1.8%,Canada
2021,Health personnel development,17.01,1.1%,Canada
2021,Health education,13.67,0.9%,Canada
2021,Medical education/training,9.74,0.6%,Canada
2021,Medical research,5.14,0.3%,Canada
2021,Basic health infrastructure,4.54,0.3%,Canada
2021,STD control including HIV/AIDS,4.13,0.3%,Canada
2021,Promotion of mental health and well-being,2.27,0.1%,Canada
2021,Medical services,2.01,0.1%,Canada
2021,Malaria control,1.84,0.1%,Canada
2021,Other prevention and treatment of NCDs,0.97,0.1%,Canada
2021,Research for prevention and control of NCDs,0.46,0.0%,Canada
2021,Tobacco use control,0.07,0.0%,Canada
2020,COVID-19 control,133.58,21.4%,Canada
2020,Reproductive health care,92.56,14.8%,Canada
2020,Basic nutrition,82.21,13.2%,Canada
2020,Population policy and administrative management,58.07,9.3%,Canada
2020,Basic health care,46.96,7.5%,Canada
2020,Family planning,43.35,6.9%,Canada
2020,Personnel development for population and reproductive health,39.87,6.4%,Canada
2020,Infectious disease control,25.02,4.0%,Canada
2020,Health education,21.82,3.5%,Canada
2020,Health policy and administrative management,20.64,3.3%,Canada
2020,Tuberculosis control,14.79,2.4%,Canada
2020,Basic health infrastructure,9.88,1.6%,Canada
2020,Medical services,8.81,1.4%,Canada
2020,Health personnel development,7.72,1.2%,Canada
2020,Medical research,7.3,1.2%,Canada
2020,STD control including HIV/AIDS,4.96,0.8%,Canada
2020,Medical education/training,3.96,0.6%,Canada
2020,Other prevention and treatment of NCDs,1.13,0.2%,Canada
2020,Promotion of mental health and well-being,1.1,0.2%,Canada
2020,Tobacco use control,0.32,0.1%,Canada
2020,Research for prevention and control of NCDs,0.31,0.1%,Canada
2020,Malaria control,0.13,0.0%,Canada
2020,"NCDs control, general",0.07,0.0%,Canada
2019,Reproductive health care,83.31,14.5%,Canada
2019,Basic nutrition,77.31,13.5%,Canada
2019,Population policy and administrative management,69.2,12.0%,Canada
2019,Basic health care,63.82,11.1%,Canada
2019,Personnel development for population and reproductive health,53.57,9.3%,Canada
2019,Family planning,44.75,7.8%,Canada
2019,Infectious disease control,40.58,7.1%,Canada
2019,Health policy and administrative management,33.65,5.9%,Canada
2019,Health education,23.72,4.1%,Canada
2019,Health personnel development,18.25,3.2%,Canada
2019,Basic health infrastructure,17.62,3.1%,Canada
2019,Tuberculosis control,15.58,2.7%,Canada
2019,Medical services,9.47,1.6%,Canada
2019,Medical education/training,7.98,1.4%,Canada
2019,Medical research,7.57,1.3%,Canada
2019,STD control including HIV/AIDS,5.84,1.0%,Canada
2019,Malaria control,1.05,0.2%,Canada
2019,Other prevention and treatment of NCDs,0.95,0.2%,Canada
2019,Research for prevention and control of NCDs,0.16,0.0%,Canada
2019,Promotion of mental health and well-being,,,Canada
