year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,STD control including HIV/AIDS,4013.06,49.0%,United States
2023,Malaria control,722.96,8.8%,United States
2023,COVID-19 control,720.7,8.8%,United States
2023,Reproductive health care,535.18,6.5%,United States
2023,Family planning,458.23,5.6%,United States
2023,Infectious disease control,455.6,5.6%,United States
2023,Health policy and administrative management,451.01,5.5%,United States
2023,Tuberculosis control,328.02,4.0%,United States
2023,Basic health care,236.86,2.9%,United States
2023,Basic nutrition,152.72,1.9%,United States
2023,Health education,53.05,0.6%,United States
2023,Population policy and administrative management,51.11,0.6%,United States
2023,"NCDs control, general",8.75,0.1%,United States
2023,Medical research,0.87,0.0%,United States
2023,Medical services,0.48,0.0%,United States
2023,Basic health infrastructure,0.47,0.0%,United States
2023,Promotion of mental health and well-being,,,United States
2023,Control of harmful use of alcohol and drugs,,,United States
2023,Medical education/training,,,United States
2023,Health personnel development,,,United States
2022,STD control including HIV/AIDS,7180.97,54.5%,United States
2022,COVID-19 control,3076.31,23.4%,United States
2022,Malaria control,622.31,4.7%,United States
2022,Health policy and administrative management,553.43,4.2%,United States
2022,Reproductive health care,401.37,3.0%,United States
2022,Family planning,387.3,2.9%,United States
2022,Infectious disease control,357.31,2.7%,United States
2022,Tuberculosis control,240.19,1.8%,United States
2022,Basic health care,162.87,1.2%,United States
2022,Basic nutrition,104.23,0.8%,United States
2022,Health education,43.51,0.3%,United States
2022,Population policy and administrative management,37.96,0.3%,United States
2022,Health personnel development,1.64,0.0%,United States
2022,"NCDs control, general",0.68,0.0%,United States
2022,Medical research,0.63,0.0%,United States
2022,Basic health infrastructure,0.1,0.0%,United States
2022,Medical education/training,0.08,0.0%,United States
2022,Medical services,0.02,0.0%,United States
2022,Control of harmful use of alcohol and drugs,,,United States
2021,STD control including HIV/AIDS,5093.41,55.7%,United States
2021,COVID-19 control,921.71,10.1%,United States
2021,Malaria control,773.24,8.5%,United States
2021,Reproductive health care,547.54,6.0%,United States
2021,Health policy and administrative management,531.13,5.8%,United States
2021,Family planning,466.46,5.1%,United States
2021,Tuberculosis control,263.43,2.9%,United States
2021,Basic health care,203.67,2.2%,United States
2021,Infectious disease control,146.63,1.6%,United States
2021,Basic nutrition,133.29,1.5%,United States
2021,Population policy and administrative management,58.91,0.6%,United States
2021,Health education,4.48,0.0%,United States
2021,Medical research,1.68,0.0%,United States
2021,Health personnel development,1.16,0.0%,United States
2021,Basic health infrastructure,0.17,0.0%,United States
2021,Medical education/training,0.14,0.0%,United States
2021,Promotion of mental health and well-being,0.03,0.0%,United States
2021,"NCDs control, general",0.0,0.0%,United States
2021,Medical services,0.0,0.0%,United States
2020,STD control including HIV/AIDS,5712.13,62.8%,United States
2020,Malaria control,822.1,9.0%,United States
2020,Reproductive health care,574.14,6.3%,United States
2020,COVID-19 control,506.8,5.6%,United States
2020,Family planning,471.42,5.2%,United States
2020,Basic health care,280.5,3.1%,United States
2020,Tuberculosis control,265.96,2.9%,United States
2020,Health policy and administrative management,134.2,1.5%,United States
2020,Infectious disease control,131.86,1.5%,United States
2020,Basic nutrition,130.52,1.4%,United States
2020,Population policy and administrative management,56.92,0.6%,United States
2020,Health education,2.67,0.0%,United States
2020,Medical research,1.47,0.0%,United States
2020,Health personnel development,0.39,0.0%,United States
2020,Basic health infrastructure,0.35,0.0%,United States
2020,Medical services,0.34,0.0%,United States
2020,Medical education/training,0.14,0.0%,United States
2020,Promotion of mental health and well-being,0.0,0.0%,United States
2019,STD control including HIV/AIDS,4250.73,55.3%,United States
2019,Malaria control,1022.11,13.3%,United States
2019,Reproductive health care,658.54,8.6%,United States
2019,Family planning,492.37,6.4%,United States
2019,Basic health care,415.24,5.4%,United States
2019,Tuberculosis control,234.44,3.0%,United States
2019,Infectious disease control,220.41,2.9%,United States
2019,Health policy and administrative management,168.05,2.2%,United States
2019,Basic nutrition,167.85,2.2%,United States
2019,Population policy and administrative management,46.22,0.6%,United States
2019,Health education,7.79,0.1%,United States
2019,Basic health infrastructure,1.67,0.0%,United States
2019,Medical education/training,1.24,0.0%,United States
2019,Medical research,1.18,0.0%,United States
2019,Medical services,0.56,0.0%,United States
2019,Health personnel development,0.36,0.0%,United States
2019,Promotion of mental health and well-being,0.04,0.0%,United States
2019,Other prevention and treatment of NCDs,0.0,0.0%,United States
