Donor,ODA towards Health & populations,year,Ranking
United States,9042.540884232858,2023,1st
United Kingdom,2717.274613977999,2023,2nd
Germany,2061.9828790321103,2023,3rd
Japan,1809.6789543276182,2023,4th
France,1575.844447806005,2023,5th
Canada,1241.8321618511309,2023,6th
Netherlands,601.8250635375139,2023,7th
Norway,568.2227542133464,2023,8th
Sweden,536.0920960644007,2023,9th
Korea,457.84455079365006,2023,10th
Australia,439.44469294639197,2023,11th
Italy,388.2101350443306,2023,12th
Spain,296.6462289849727,2023,13th
Switzerland,280.032995344506,2023,14th
Belgium,247.5295405948928,2023,15th
Ireland,146.48896103286393,2023,16th
Denmark,137.85999906080082,2023,17th
Finland,95.69925436866104,2023,18th
Austria,83.23843746601406,2023,19th
Poland,72.35358798093296,2023,20th
Luxembourg,65.72325280394796,2023,21st
Hungary,52.520301759678226,2023,22nd
New Zealand,40.28517491221224,2023,23rd
Portugal,36.01214908231873,2023,24th
Czechia,31.329605439916037,2023,25th
Slovak Republic,20.50844035134893,2023,26th
Greece,18.3880725916375,2023,27th
Lithuania,16.670714901256726,2023,28th
Iceland,11.231126454823888,2023,29th
Slovenia,8.326720717024882,2023,30th
Estonia,4.588592095851219,2023,31st
