year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Basic health care,23.71,24.7%,Spain
2023,Infectious disease control,12.21,12.7%,Spain
2023,Health policy and administrative management,11.86,12.4%,Spain
2023,Reproductive health care,9.82,10.2%,Spain
2023,Basic nutrition,6.44,6.7%,Spain
2023,Health personnel development,6.28,6.5%,Spain
2023,Medical services,5.86,6.1%,Spain
2023,Medical education/training,5.46,5.7%,Spain
2023,Medical research,4.03,4.2%,Spain
2023,Basic health infrastructure,3.12,3.3%,Spain
2023,Family planning,1.4,1.5%,Spain
2023,Health education,1.3,1.4%,Spain
2023,COVID-19 control,1.29,1.3%,Spain
2023,Promotion of mental health and well-being,0.92,1.0%,Spain
2023,Population policy and administrative management,0.67,0.7%,Spain
2023,Personnel development for population and reproductive health,0.52,0.5%,Spain
2023,Control of harmful use of alcohol and drugs,0.33,0.3%,Spain
2023,Malaria control,0.3,0.3%,Spain
2023,STD control including HIV/AIDS,0.18,0.2%,Spain
2023,Other prevention and treatment of NCDs,0.11,0.1%,Spain
2023,"NCDs control, general",0.1,0.1%,Spain
2023,Tuberculosis control,0.03,0.0%,Spain
2023,Research for prevention and control of NCDs,0.01,0.0%,Spain
2022,COVID-19 control,218.45,74.8%,Spain
2022,Basic health care,15.07,5.2%,Spain
2022,Health policy and administrative management,12.75,4.4%,Spain
2022,Reproductive health care,12.2,4.2%,Spain
2022,Medical research,7.94,2.7%,Spain
2022,Medical services,5.91,2.0%,Spain
2022,Basic nutrition,4.75,1.6%,Spain
2022,Medical education/training,2.4,0.8%,Spain
2022,Basic health infrastructure,2.07,0.7%,Spain
2022,Infectious disease control,1.92,0.7%,Spain
2022,Family planning,1.38,0.5%,Spain
2022,Population policy and administrative management,1.35,0.5%,Spain
2022,Personnel development for population and reproductive health,1.28,0.4%,Spain
2022,Health education,1.21,0.4%,Spain
2022,Health personnel development,1.09,0.4%,Spain
2022,Control of harmful use of alcohol and drugs,0.76,0.3%,Spain
2022,Malaria control,0.57,0.2%,Spain
2022,Promotion of mental health and well-being,0.56,0.2%,Spain
2022,STD control including HIV/AIDS,0.23,0.1%,Spain
2022,Other prevention and treatment of NCDs,0.14,0.0%,Spain
2022,"NCDs control, general",0.1,0.0%,Spain
2021,COVID-19 control,373.05,81.1%,Spain
2021,Malaria control,13.09,2.8%,Spain
2021,Basic health care,11.84,2.6%,Spain
2021,Infectious disease control,10.52,2.3%,Spain
2021,Reproductive health care,10.11,2.2%,Spain
2021,Basic nutrition,9.06,2.0%,Spain
2021,Health policy and administrative management,9.01,2.0%,Spain
2021,Medical research,7.33,1.6%,Spain
2021,Medical services,4.56,1.0%,Spain
2021,Medical education/training,2.25,0.5%,Spain
2021,Basic health infrastructure,1.92,0.4%,Spain
2021,Health personnel development,1.89,0.4%,Spain
2021,Family planning,1.52,0.3%,Spain
2021,Population policy and administrative management,0.96,0.2%,Spain
2021,Health education,0.73,0.2%,Spain
2021,Personnel development for population and reproductive health,0.55,0.1%,Spain
2021,Promotion of mental health and well-being,0.5,0.1%,Spain
2021,Control of harmful use of alcohol and drugs,0.43,0.1%,Spain
2021,STD control including HIV/AIDS,0.35,0.1%,Spain
2021,"NCDs control, general",0.08,0.0%,Spain
2021,Other prevention and treatment of NCDs,0.02,0.0%,Spain
2020,COVID-19 control,36.28,36.3%,Spain
2020,Health policy and administrative management,11.17,11.2%,Spain
2020,Basic health care,10.27,10.3%,Spain
2020,Reproductive health care,10.05,10.1%,Spain
2020,Basic nutrition,8.1,8.1%,Spain
2020,Medical services,4.64,4.6%,Spain
2020,Medical research,3.91,3.9%,Spain
2020,Health education,2.66,2.7%,Spain
2020,Health personnel development,2.44,2.4%,Spain
2020,Basic health infrastructure,1.71,1.7%,Spain
2020,Malaria control,1.59,1.6%,Spain
2020,Personnel development for population and reproductive health,1.42,1.4%,Spain
2020,Population policy and administrative management,1.37,1.4%,Spain
2020,Infectious disease control,1.19,1.2%,Spain
2020,Family planning,1.03,1.0%,Spain
2020,Medical education/training,0.87,0.9%,Spain
2020,Control of harmful use of alcohol and drugs,0.43,0.4%,Spain
2020,STD control including HIV/AIDS,0.32,0.3%,Spain
2020,Promotion of mental health and well-being,0.3,0.3%,Spain
2020,Other prevention and treatment of NCDs,0.06,0.1%,Spain
2020,"NCDs control, general",0.05,0.0%,Spain
2020,Tuberculosis control,0.02,0.0%,Spain
2019,Reproductive health care,11.66,21.9%,Spain
2019,Basic nutrition,8.77,16.5%,Spain
2019,Health policy and administrative management,8.39,15.8%,Spain
2019,Medical research,6.26,11.7%,Spain
2019,Basic health care,5.55,10.4%,Spain
2019,Medical services,2.95,5.5%,Spain
2019,Basic health infrastructure,2.61,4.9%,Spain
2019,Infectious disease control,1.45,2.7%,Spain
2019,Health personnel development,0.91,1.7%,Spain
2019,Medical education/training,0.76,1.4%,Spain
2019,Personnel development for population and reproductive health,0.64,1.2%,Spain
2019,Malaria control,0.62,1.2%,Spain
2019,Family planning,0.57,1.1%,Spain
2019,STD control including HIV/AIDS,0.55,1.0%,Spain
2019,Health education,0.5,0.9%,Spain
2019,Population policy and administrative management,0.4,0.7%,Spain
2019,Other prevention and treatment of NCDs,0.33,0.6%,Spain
2019,Control of harmful use of alcohol and drugs,0.19,0.4%,Spain
2019,Promotion of mental health and well-being,0.08,0.1%,Spain
2019,"NCDs control, general",0.05,0.1%,Spain
2019,Tuberculosis control,0.05,0.1%,Spain
