"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Australia"
"2019","IBRD","15.5","322.7%","international bank for reconstruction and development","Australia"
"2020","IBRD","1","22%","international bank for reconstruction and development","Australia"
"2021","IBRD","16.5","357.2%","international bank for reconstruction and development","Australia"
"2022","IBRD","16.4","212%","international bank for reconstruction and development","Australia"
"2018","FAO","3.8","78.8%","food and agricultural organisation","Australia"
"2019","FAO","7.1","146.9%","food and agricultural organisation","Australia"
"2020","FAO","7","154.7%","food and agricultural organisation","Australia"
"2021","FAO","7.6","165.5%","food and agricultural organisation","Australia"
"2022","FAO","6","77.2%","food and agricultural organisation","Australia"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Australia"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Australia"
"2020","WHO - assessed contributions","0","0.4%","world health organisation assessed contributions","Australia"
"2021","WHO - assessed contributions","0.1","2.1%","world health organisation assessed contributions","Australia"
"2022","WHO - assessed contributions","0.2","2.7%","world health organisation assessed contributions","Australia"
"2018",NA,"NA","NA%","world organisation for animal health","Australia"
"2019",NA,"NA","NA%","world organisation for animal health","Australia"
"2020",NA,"NA","NA%","world organisation for animal health","Australia"
"2021",NA,"NA","NA%","world organisation for animal health","Australia"
"2022",NA,"0.2","2.1%","world organisation for animal health","Australia"
"2018","UNDP","0","0.1%","united nations development programme","Australia"
"2019","UNDP","0","0.7%","united nations development programme","Australia"
"2020","UNDP","0","0.6%","united nations development programme","Australia"
"2021","UNDP","0","0.9%","united nations development programme","Australia"
"2022","UNDP","0.1","0.7%","united nations development programme","Australia"
"2018","UN","NA","NA%","united nations","Australia"
"2019","UN","NA","NA%","united nations","Australia"
"2020","UN","NA","NA%","united nations","Australia"
"2021","UN","NA","NA%","united nations","Australia"
"2022","UN","0","0.5%","united nations","Australia"
"2018","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Australia"
"2019","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Australia"
"2020","WTO - international trade centre","0.1","1.7%","world trade organisation international trade centre","Australia"
"2021","WTO - international trade centre","0","0.6%","world trade organisation international trade centre","Australia"
"2022","WTO - international trade centre","0","0.5%","world trade organisation international trade centre","Australia"
"2018","ADB","1","21.4%","asian development bank","Australia"
"2019","ADB","1","19.8%","asian development bank","Australia"
"2020","ADB","1","22%","asian development bank","Australia"
"2021","ADB","NA","NA%","asian development bank","Australia"
"2022","ADB","NA","NA%","asian development bank","Australia"
"2018","GEF Fund","1.1","22.2%","global environment facility trust fund","Australia"
"2019","GEF Fund","NA","NA%","global environment facility trust fund","Australia"
"2020","GEF Fund","NA","NA%","global environment facility trust fund","Australia"
"2021","GEF Fund","NA","NA%","global environment facility trust fund","Australia"
"2022","GEF Fund","NA","NA%","global environment facility trust fund","Australia"
"2018","Global Green Growth Institute","0.1","2.5%","global green growth institute","Australia"
"2019","Global Green Growth Institute","0.4","8%","global green growth institute","Australia"
"2020","Global Green Growth Institute","NA","NA%","global green growth institute","Australia"
"2021","Global Green Growth Institute","NA","NA%","global green growth institute","Australia"
"2022","Global Green Growth Institute","NA","NA%","global green growth institute","Australia"
"2018","IDA","21.7","447.7%","international development association","Australia"
"2019","IDA","NA","NA%","international development association","Australia"
"2020","IDA","20.4","452.4%","international development association","Australia"
"2021","IDA","NA","NA%","international development association","Australia"
"2022","IDA","NA","NA%","international development association","Australia"
"2018",NA,"0.6","12.3%","asian infrastructure investment bank","Australia"
"2019",NA,"1","21.5%","asian infrastructure investment bank","Australia"
"2020",NA,"NA","NA%","asian infrastructure investment bank","Australia"
"2021",NA,"NA","NA%","asian infrastructure investment bank","Australia"
"2022",NA,"NA","NA%","asian infrastructure investment bank","Australia"
"2018","UNICEF","0","0%","united nations childrenâ€™s fund","Australia"
"2019","UNICEF","0","0%","united nations childrenâ€™s fund","Australia"
"2020","UNICEF","0","0.1%","united nations childrenâ€™s fund","Australia"
"2021","UNICEF","0","0.1%","united nations childrenâ€™s fund","Australia"
"2022","UNICEF","NA","NA%","united nations childrenâ€™s fund","Australia"
"2018","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Australia"
"2019","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Australia"
"2020","WHO - core voluntary contributions","0","0%","world health organisation core voluntary contributions account","Australia"
"2021","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Australia"
"2022","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Australia"
