"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","21.8","450.9%","european commission development share of budget","Denmark"
"2019","EC - Development Share of Budget","20.3","422.6%","european commission development share of budget","Denmark"
"2020","EC - Development Share of Budget","20.4","452.4%","european commission development share of budget","Denmark"
"2021","EC - Development Share of Budget","22.1","478.7%","european commission development share of budget","Denmark"
"2022","EC - Development Share of Budget","24.7","319.7%","european commission development share of budget","Denmark"
"2018","IDA","14","289.7%","international development association","Denmark"
"2019","IDA","13.1","273%","international development association","Denmark"
"2020","IDA","21.8","483.7%","international development association","Denmark"
"2021","IDA","11.6","252.1%","international development association","Denmark"
"2022","IDA","6.5","83.7%","international development association","Denmark"
"2018","African Development Fund","2.3","46.7%","african development fund","Denmark"
"2019","African Development Fund","9.4","195.4%","african development fund","Denmark"
"2020","African Development Fund","3.4","75.3%","african development fund","Denmark"
"2021","African Development Fund","3.1","66.9%","african development fund","Denmark"
"2022","African Development Fund","2.7","34.9%","african development fund","Denmark"
"2018","NDF","NA","NA%","nordic development fund","Denmark"
"2019","NDF","NA","NA%","nordic development fund","Denmark"
"2020","NDF","NA","NA%","nordic development fund","Denmark"
"2021","NDF","1.1","24.1%","nordic development fund","Denmark"
"2022","NDF","1.6","21.1%","nordic development fund","Denmark"
"2018","FAO","1","21%","food and agricultural organisation","Denmark"
"2019","FAO","1","21.7%","food and agricultural organisation","Denmark"
"2020","FAO","1.6","35.4%","food and agricultural organisation","Denmark"
"2021","FAO","1.4","31.2%","food and agricultural organisation","Denmark"
"2022","FAO","1.4","18.4%","food and agricultural organisation","Denmark"
"2018","AfDB","0","0.1%","african development bank","Denmark"
"2019","AfDB","0","0.1%","african development bank","Denmark"
"2020","AfDB","0.9","21%","african development bank","Denmark"
"2021","AfDB","0.9","20.3%","african development bank","Denmark"
"2022","AfDB","1.1","13.7%","african development bank","Denmark"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Denmark"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Denmark"
"2020","IBRD","2.3","51.6%","international bank for reconstruction and development","Denmark"
"2021","IBRD","0.3","6.5%","international bank for reconstruction and development","Denmark"
"2022","IBRD","0.9","11.2%","international bank for reconstruction and development","Denmark"
"2018","EIB","0.2","3.2%","european investment bank","Denmark"
