"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","107.5","1580.8%","european commission development share of budget","United Kingdom"
"2019","EC - Development Share of Budget","104.5","1365.1%","european commission development share of budget","United Kingdom"
"2020","EC - Development Share of Budget","110.5","1457.2%","european commission development share of budget","United Kingdom"
"2021","EC - Development Share of Budget","59.5","669.4%","european commission development share of budget","United Kingdom"
"2022","EC - Development Share of Budget","44.4","380.6%","european commission development share of budget","United Kingdom"
"2018","IDA","215.9","3175.9%","international development association","United Kingdom"
"2019","IDA","73.2","955.6%","international development association","United Kingdom"
"2020","IDA","75","989.5%","international development association","United Kingdom"
"2021","IDA","64.8","729.1%","international development association","United Kingdom"
"2022","IDA","15.2","130.6%","international development association","United Kingdom"
"2018","UNRWA","40.5","595.4%","united nations relief and works agency for palestine refugees in the near east","United Kingdom"
"2019","UNRWA","40.1","524%","united nations relief and works agency for palestine refugees in the near east","United Kingdom"
"2020","UNRWA","35.2","464.6%","united nations relief and works agency for palestine refugees in the near east","United Kingdom"
"2021","UNRWA","9","101.7%","united nations relief and works agency for palestine refugees in the near east","United Kingdom"
"2022","UNRWA","10.3","88%","united nations relief and works agency for palestine refugees in the near east","United Kingdom"
"2018","African Development Fund","12.6","184.6%","african development fund","United Kingdom"
"2019","African Development Fund","12.1","158%","african development fund","United Kingdom"
"2020","African Development Fund","8","105.6%","african development fund","United Kingdom"
"2021","African Development Fund","4.3","48.3%","african development fund","United Kingdom"
"2022","African Development Fund","4.6","39.5%","african development fund","United Kingdom"
"2018","IBRD","2.1","31.2%","international bank for reconstruction and development","United Kingdom"
"2019","IBRD","4.1","53.4%","international bank for reconstruction and development","United Kingdom"
"2020","IBRD","2.7","36.1%","international bank for reconstruction and development","United Kingdom"
"2021","IBRD","2","23%","international bank for reconstruction and development","United Kingdom"
"2022","IBRD","2.2","18.8%","international bank for reconstruction and development","United Kingdom"
"2018","UNICEF","4.1","59.9%","united nations childrenâ€™s fund","United Kingdom"
"2019","UNICEF","4.3","56%","united nations childrenâ€™s fund","United Kingdom"
"2020","UNICEF","4.3","57.1%","united nations childrenâ€™s fund","United Kingdom"
"2021","UNICEF","2.4","26.7%","united nations childrenâ€™s fund","United Kingdom"
"2022","UNICEF","0.7","6.4%","united nations childrenâ€™s fund","United Kingdom"
"2018","AfDB","0.3","4.2%","african development bank","United Kingdom"
"2019","AfDB","NA","NA%","african development bank","United Kingdom"
"2020","AfDB","0.5","6.5%","african development bank","United Kingdom"
"2021","AfDB","0.1","1.5%","african development bank","United Kingdom"
"2022","AfDB","0.2","1.7%","african development bank","United Kingdom"
"2018","CDB","NA","NA%","caribbean development bank","United Kingdom"
"2019","CDB","NA","NA%","caribbean development bank","United Kingdom"
"2020","CDB","NA","NA%","caribbean development bank","United Kingdom"
"2021","CDB","0","0.1%","caribbean development bank","United Kingdom"
"2022","CDB","0","0.1%","caribbean development bank","United Kingdom"
"2018","FAO","NA","NA%","food and agricultural organisation","United Kingdom"
"2019","FAO","0","0.5%","food and agricultural organisation","United Kingdom"
"2020","FAO","0","0.5%","food and agricultural organisation","United Kingdom"
"2021","FAO","0","0.4%","food and agricultural organisation","United Kingdom"
"2022","FAO","0","0.1%","food and agricultural organisation","United Kingdom"
"2018","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2019","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2020","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2021","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2022","Adaptation Fund","0","0%","adaptation fund","United Kingdom"
"2018","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","United Kingdom"
"2019","IDB, IIC and MIF","0","0.3%","inter american development bank inter american investment corporation and multilateral investment fund","United Kingdom"
"2020","IDB, IIC and MIF","0","0.2%","inter american development bank inter american investment corporation and multilateral investment fund","United Kingdom"
"2021","IDB, IIC and MIF","0","0.1%","inter american development bank inter american investment corporation and multilateral investment fund","United Kingdom"
"2022","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","United Kingdom"
"2018","UNDP","0","0.3%","united nations development programme","United Kingdom"
"2019","UNDP","0","0.4%","united nations development programme","United Kingdom"
"2020","UNDP","0","0.4%","united nations development programme","United Kingdom"
"2021","UNDP","0","0.1%","united nations development programme","United Kingdom"
"2022","UNDP","NA","NA%","united nations development programme","United Kingdom"
"2018","WFP","2.4","35.8%","world food programme","United Kingdom"
"2019","WFP","1","13.3%","world food programme","United Kingdom"
"2020","WFP","NA","NA%","world food programme","United Kingdom"
"2021","WFP","NA","NA%","world food programme","United Kingdom"
"2022","WFP","NA","NA%","world food programme","United Kingdom"
"2018","IFC","NA","NA%","international finance corporation","United Kingdom"
"2019","IFC","NA","NA%","international finance corporation","United Kingdom"
"2020","IFC","NA","NA%","international finance corporation","United Kingdom"
"2021","IFC","0","0%","international finance corporation","United Kingdom"
"2022","IFC","NA","NA%","international finance corporation","United Kingdom"
