year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,COVID-19 control,7.85,23.8%,New Zealand
2023,Basic health care,4.23,12.8%,New Zealand
2023,Basic health infrastructure,4.2,12.7%,New Zealand
2023,Health policy and administrative management,4.03,12.2%,New Zealand
2023,Medical services,2.9,8.8%,New Zealand
2023,Medical education/training,1.98,6.0%,New Zealand
2023,Basic nutrition,1.35,4.1%,New Zealand
2023,Reproductive health care,1.15,3.5%,New Zealand
2023,Health personnel development,1.07,3.2%,New Zealand
2023,Family planning,1.05,3.2%,New Zealand
2023,Infectious disease control,0.73,2.2%,New Zealand
2023,Other prevention and treatment of NCDs,0.7,2.1%,New Zealand
2023,STD control including HIV/AIDS,0.63,1.9%,New Zealand
2023,Personnel development for population and reproductive health,0.53,1.6%,New Zealand
2023,Research for prevention and control of NCDs,0.19,0.6%,New Zealand
2023,"NCDs control, general",0.18,0.5%,New Zealand
2023,Control of harmful use of alcohol and drugs,0.15,0.5%,New Zealand
2023,Population policy and administrative management,0.08,0.2%,New Zealand
2023,Health education,0.0,0.0%,New Zealand
2023,Tobacco use control,0.0,0.0%,New Zealand
2023,Promotion of mental health and well-being,0.0,0.0%,New Zealand
2022,COVID-19 control,33.2,57.8%,New Zealand
2022,Infectious disease control,6.07,10.6%,New Zealand
2022,Basic health care,3.69,6.4%,New Zealand
2022,Medical services,3.07,5.3%,New Zealand
2022,Basic nutrition,1.71,3.0%,New Zealand
2022,Medical education/training,1.53,2.7%,New Zealand
2022,Basic health infrastructure,1.33,2.3%,New Zealand
2022,Family planning,1.16,2.0%,New Zealand
2022,Reproductive health care,1.11,1.9%,New Zealand
2022,Health personnel development,1.05,1.8%,New Zealand
2022,Health policy and administrative management,1.01,1.8%,New Zealand
2022,STD control including HIV/AIDS,0.73,1.3%,New Zealand
2022,Other prevention and treatment of NCDs,0.69,1.2%,New Zealand
2022,Personnel development for population and reproductive health,0.65,1.1%,New Zealand
2022,Control of harmful use of alcohol and drugs,0.33,0.6%,New Zealand
2022,Population policy and administrative management,0.08,0.1%,New Zealand
2022,Promotion of mental health and well-being,0.02,0.0%,New Zealand
2022,Tobacco use control,0.01,0.0%,New Zealand
2022,"NCDs control, general",0.01,0.0%,New Zealand
2021,COVID-19 control,50.31,70.0%,New Zealand
2021,Basic health care,5.31,7.4%,New Zealand
2021,Medical services,4.59,6.4%,New Zealand
2021,Basic health infrastructure,3.39,4.7%,New Zealand
2021,Other prevention and treatment of NCDs,2.54,3.5%,New Zealand
2021,Reproductive health care,2.18,3.0%,New Zealand
2021,Health personnel development,1.05,1.5%,New Zealand
2021,Health policy and administrative management,1.03,1.4%,New Zealand
2021,Family planning,0.54,0.7%,New Zealand
2021,Control of harmful use of alcohol and drugs,0.35,0.5%,New Zealand
2021,Promotion of mental health and well-being,0.34,0.5%,New Zealand
2021,Infectious disease control,0.28,0.4%,New Zealand
2021,Population policy and administrative management,0.0,0.0%,New Zealand
2020,COVID-19 control,29.4,59.6%,New Zealand
2020,Basic health care,4.88,9.9%,New Zealand
2020,Infectious disease control,4.1,8.3%,New Zealand
2020,Medical services,2.25,4.6%,New Zealand
2020,Reproductive health care,2.23,4.5%,New Zealand
2020,Other prevention and treatment of NCDs,1.91,3.9%,New Zealand
2020,Family planning,1.63,3.3%,New Zealand
2020,Health policy and administrative management,0.88,1.8%,New Zealand
2020,Medical education/training,0.42,0.9%,New Zealand
2020,Population policy and administrative management,0.37,0.8%,New Zealand
2020,Control of harmful use of alcohol and drugs,0.36,0.7%,New Zealand
2020,Health personnel development,0.34,0.7%,New Zealand
2020,Basic nutrition,0.22,0.4%,New Zealand
2020,Health education,0.19,0.4%,New Zealand
2020,Basic health infrastructure,0.11,0.2%,New Zealand
2020,Medical research,0.03,0.1%,New Zealand
2019,Infectious disease control,5.26,24.9%,New Zealand
2019,Medical services,3.67,17.4%,New Zealand
2019,Basic health care,3.3,15.6%,New Zealand
2019,Reproductive health care,2.31,10.9%,New Zealand
2019,Basic health infrastructure,1.71,8.1%,New Zealand
2019,Health personnel development,1.0,4.7%,New Zealand
2019,Family planning,0.9,4.2%,New Zealand
2019,Medical education/training,0.76,3.6%,New Zealand
2019,Health education,0.66,3.1%,New Zealand
2019,Health policy and administrative management,0.62,2.9%,New Zealand
2019,Other prevention and treatment of NCDs,0.44,2.1%,New Zealand
2019,Basic nutrition,0.36,1.7%,New Zealand
2019,"NCDs control, general",0.15,0.7%,New Zealand
