year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Reproductive health care,238.72,56.4%,Netherlands
2023,STD control including HIV/AIDS,50.65,12.0%,Netherlands
2023,Basic nutrition,43.24,10.2%,Netherlands
2023,Family planning,29.07,6.9%,Netherlands
2023,Population policy and administrative management,19.36,4.6%,Netherlands
2023,Basic health care,11.97,2.8%,Netherlands
2023,Promotion of mental health and well-being,11.48,2.7%,Netherlands
2023,Infectious disease control,5.64,1.3%,Netherlands
2023,Health policy and administrative management,5.45,1.3%,Netherlands
2023,Health education,3.37,0.8%,Netherlands
2023,Basic health infrastructure,3.3,0.8%,Netherlands
2023,Personnel development for population and reproductive health,0.88,0.2%,Netherlands
2022,Reproductive health care,214.57,44.9%,Netherlands
2022,COVID-19 control,98.4,20.6%,Netherlands
2022,Basic nutrition,51.72,10.8%,Netherlands
2022,Family planning,44.74,9.4%,Netherlands
2022,Population policy and administrative management,27.26,5.7%,Netherlands
2022,STD control including HIV/AIDS,26.04,5.4%,Netherlands
2022,Health policy and administrative management,8.04,1.7%,Netherlands
2022,Infectious disease control,5.27,1.1%,Netherlands
2022,Health education,1.64,0.3%,Netherlands
2022,Promotion of mental health and well-being,0.37,0.1%,Netherlands
2022,Medical research,0.05,0.0%,Netherlands
2021,Reproductive health care,164.84,35.2%,Netherlands
2021,Basic health infrastructure,83.57,17.9%,Netherlands
2021,Population policy and administrative management,46.7,10.0%,Netherlands
2021,COVID-19 control,45.35,9.7%,Netherlands
2021,STD control including HIV/AIDS,36.45,7.8%,Netherlands
2021,Family planning,35.09,7.5%,Netherlands
2021,Basic nutrition,28.72,6.1%,Netherlands
2021,Health policy and administrative management,19.53,4.2%,Netherlands
2021,Infectious disease control,3.68,0.8%,Netherlands
2021,Health education,2.95,0.6%,Netherlands
2021,Medical services,0.58,0.1%,Netherlands
2021,Promotion of mental health and well-being,0.32,0.1%,Netherlands
2021,Tuberculosis control,0.06,0.0%,Netherlands
2020,Reproductive health care,163.96,44.4%,Netherlands
2020,Basic nutrition,47.59,12.9%,Netherlands
2020,Family planning,43.34,11.7%,Netherlands
2020,Health policy and administrative management,41.64,11.3%,Netherlands
2020,Population policy and administrative management,34.61,9.4%,Netherlands
2020,STD control including HIV/AIDS,17.49,4.7%,Netherlands
2020,COVID-19 control,9.06,2.5%,Netherlands
2020,Basic health infrastructure,6.33,1.7%,Netherlands
2020,Health education,2.82,0.8%,Netherlands
2020,Personnel development for population and reproductive health,1.25,0.3%,Netherlands
2020,Medical services,0.84,0.2%,Netherlands
2020,Tuberculosis control,,,Netherlands
2019,Reproductive health care,200.17,58.3%,Netherlands
2019,Population policy and administrative management,38.44,11.2%,Netherlands
2019,Basic nutrition,34.63,10.1%,Netherlands
2019,Family planning,33.99,9.9%,Netherlands
2019,STD control including HIV/AIDS,17.81,5.2%,Netherlands
2019,Health policy and administrative management,9.44,2.7%,Netherlands
2019,Tuberculosis control,6.43,1.9%,Netherlands
2019,Personnel development for population and reproductive health,1.94,0.6%,Netherlands
2019,Medical research,0.38,0.1%,Netherlands
2019,Basic health infrastructure,0.1,0.0%,Netherlands
2019,Medical services,0.04,0.0%,Netherlands
