year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,1.08,58.4%,Portugal
2023,Rural development,0.38,20.8%,Portugal
2023,Agricultural research,0.1,5.4%,Portugal
2023,Agricultural extension,0.1,5.5%,Portugal
2023,Fishing policy and administrative management,0.1,5.3%,Portugal
2023,Livestock,0.03,1.4%,Portugal
2023,Agricultural policy and administrative management,0.02,1.0%,Portugal
2023,Agricultural water resources,0.02,0.9%,Portugal
2023,Livestock/veterinary services,0.02,1.2%,Portugal
2023,Food crop production,0.0,0.2%,Portugal
2022,Agricultural development,0.62,50.3%,Portugal
2022,Rural development,0.35,27.8%,Portugal
2022,Food crop production,0.18,14.2%,Portugal
2022,Fishing policy and administrative management,0.05,3.8%,Portugal
2022,Livestock/veterinary services,0.02,1.9%,Portugal
2022,Agricultural research,0.01,0.9%,Portugal
2022,Livestock,0.01,1.1%,Portugal
2021,Agricultural development,0.5,55.3%,Portugal
2021,Forestry research,0.18,20.3%,Portugal
2021,Agricultural research,0.06,7.2%,Portugal
2021,Fishing policy and administrative management,0.05,5.4%,Portugal
2021,Food crop production,0.04,4.1%,Portugal
2021,Agricultural policy and administrative management,0.02,2.4%,Portugal
2021,Livestock/veterinary services,0.02,2.7%,Portugal
2021,Fishery development,0.01,1.4%,Portugal
2021,Livestock,0.01,0.8%,Portugal
2021,Agricultural water resources,0.0,0.5%,Portugal
2021,Rural development,0.0,0.0%,Portugal
2020,Agricultural development,0.75,67.0%,Portugal
2020,Agricultural policy and administrative management,0.17,15.5%,Portugal
2020,Food crop production,0.1,8.8%,Portugal
2020,Fishing policy and administrative management,0.04,3.5%,Portugal
2020,Livestock/veterinary services,0.02,2.2%,Portugal
2020,Rural development,0.02,2.1%,Portugal
2020,Agricultural research,0.01,1.0%,Portugal
2019,Agricultural development,0.51,40.1%,Portugal
2019,Rural development,0.35,27.9%,Portugal
2019,Agricultural policy and administrative management,0.21,16.8%,Portugal
2019,Agricultural research,0.08,6.1%,Portugal
2019,Fishery development,0.06,5.0%,Portugal
2019,Food crop production,0.04,3.0%,Portugal
2019,Agricultural co-operatives,0.02,1.2%,Portugal
