year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,67.45,27.5%,Korea
2023,Agricultural water resources,53.84,22.0%,Korea
2023,Agricultural policy and administrative management,21.02,8.6%,Korea
2023,Rural development,18.34,7.5%,Korea
2023,Forestry policy and administrative management,15.61,6.4%,Korea
2023,Agricultural education/training,13.82,5.6%,Korea
2023,Agricultural inputs,6.71,2.7%,Korea
2023,Food crop production,5.86,2.4%,Korea
2023,Agricultural research,5.82,2.4%,Korea
2023,Agricultural services,5.82,2.4%,Korea
2023,Forestry development,5.77,2.4%,Korea
2023,Livestock,4.89,2.0%,Korea
2023,Fishery development,4.47,1.8%,Korea
2023,Agricultural extension,3.13,1.3%,Korea
2023,Fishery education/training,2.88,1.2%,Korea
2023,Livestock/veterinary services,1.59,0.7%,Korea
2023,Agricultural financial services,1.47,0.6%,Korea
2023,Agricultural alternative development,1.3,0.5%,Korea
2023,Fishery services,1.24,0.5%,Korea
2023,Fishing policy and administrative management,1.0,0.4%,Korea
2023,Industrial crops/export crops,0.99,0.4%,Korea
2023,Agricultural co-operatives,0.91,0.4%,Korea
2023,Agrarian reform,0.44,0.2%,Korea
2023,Forestry research,0.35,0.1%,Korea
2023,Fishery research,0.33,0.1%,Korea
2023,Forestry education/training,0.06,0.0%,Korea
2023,Plant and post-harvest protection and pest control,0.03,0.0%,Korea
2023,Agricultural land resources,0.02,0.0%,Korea
2022,Agricultural development,56.47,28.2%,Korea
2022,Agricultural water resources,32.02,16.0%,Korea
2022,Agricultural education/training,17.17,8.6%,Korea
2022,Agricultural policy and administrative management,16.34,8.2%,Korea
2022,Rural development,15.52,7.7%,Korea
2022,Forestry policy and administrative management,14.26,7.1%,Korea
2022,Livestock,5.71,2.8%,Korea
2022,Agricultural services,5.5,2.7%,Korea
2022,Food crop production,5.48,2.7%,Korea
2022,Forestry development,4.31,2.2%,Korea
2022,Agricultural inputs,4.21,2.1%,Korea
2022,Agricultural research,3.79,1.9%,Korea
2022,Fishery development,3.37,1.7%,Korea
2022,Fishery education/training,2.73,1.4%,Korea
2022,Agricultural extension,2.72,1.4%,Korea
2022,Agricultural alternative development,2.5,1.2%,Korea
2022,Fishery services,2.25,1.1%,Korea
2022,Agricultural financial services,1.59,0.8%,Korea
2022,Industrial crops/export crops,1.21,0.6%,Korea
2022,Agricultural land resources,0.78,0.4%,Korea
2022,Fishing policy and administrative management,0.74,0.4%,Korea
2022,Agricultural co-operatives,0.6,0.3%,Korea
2022,Plant and post-harvest protection and pest control,0.47,0.2%,Korea
2022,Livestock/veterinary services,0.29,0.1%,Korea
2022,Forestry research,0.23,0.1%,Korea
2022,Fishery research,0.1,0.0%,Korea
2022,Forestry education/training,0.01,0.0%,Korea
2021,Agricultural development,42.85,26.4%,Korea
2021,Agricultural water resources,20.42,12.6%,Korea
2021,Agricultural education/training,16.9,10.4%,Korea
2021,Rural development,15.74,9.7%,Korea
2021,Forestry policy and administrative management,8.57,5.3%,Korea
2021,Agricultural services,7.74,4.8%,Korea
2021,Food crop production,7.51,4.6%,Korea
2021,Fishery development,6.95,4.3%,Korea
2021,Forestry development,6.37,3.9%,Korea
2021,Fishery services,5.37,3.3%,Korea
2021,Agricultural policy and administrative management,5.32,3.3%,Korea
2021,Agricultural inputs,3.76,2.3%,Korea
2021,Livestock,3.29,2.0%,Korea
2021,Agricultural financial services,2.93,1.8%,Korea
2021,Agricultural co-operatives,2.22,1.4%,Korea
2021,Agricultural land resources,1.48,0.9%,Korea
2021,Agricultural alternative development,1.47,0.9%,Korea
2021,Industrial crops/export crops,0.88,0.5%,Korea
2021,Livestock/veterinary services,0.75,0.5%,Korea
2021,Fishing policy and administrative management,0.61,0.4%,Korea
2021,Agricultural research,0.53,0.3%,Korea
2021,Forestry research,0.24,0.1%,Korea
2021,Agricultural extension,0.23,0.1%,Korea
2021,Forestry education/training,0.12,0.1%,Korea
2021,Fishery research,0.07,0.0%,Korea
2020,Agricultural development,37.02,31.9%,Korea
2020,Rural development,12.67,10.9%,Korea
2020,Agricultural education/training,11.82,10.2%,Korea
2020,Agricultural water resources,8.75,7.5%,Korea
2020,Forestry policy and administrative management,7.85,6.8%,Korea
2020,Agricultural policy and administrative management,7.52,6.5%,Korea
2020,Agricultural services,4.72,4.1%,Korea
2020,Forestry development,3.96,3.4%,Korea
2020,Food crop production,3.68,3.2%,Korea
2020,Fishery development,3.16,2.7%,Korea
2020,Livestock,3.12,2.7%,Korea
2020,Agricultural financial services,2.19,1.9%,Korea
2020,Agricultural co-operatives,1.99,1.7%,Korea
2020,Industrial crops/export crops,1.69,1.5%,Korea
2020,Fishing policy and administrative management,1.11,1.0%,Korea
2020,Plant and post-harvest protection and pest control,0.96,0.8%,Korea
2020,Fishery services,0.76,0.7%,Korea
2020,Fishery education/training,0.74,0.6%,Korea
2020,Agricultural research,0.61,0.5%,Korea
2020,Agricultural land resources,0.52,0.4%,Korea
2020,Agricultural inputs,0.41,0.4%,Korea
2020,Agricultural extension,0.4,0.3%,Korea
2020,Agricultural alternative development,0.32,0.3%,Korea
2020,Forestry research,0.18,0.2%,Korea
2020,Forestry education/training,0.03,0.0%,Korea
2019,Agricultural development,47.84,28.5%,Korea
2019,Agricultural water resources,44.17,26.3%,Korea
2019,Rural development,19.51,11.6%,Korea
2019,Agricultural education/training,11.26,6.7%,Korea
2019,Forestry policy and administrative management,7.13,4.2%,Korea
2019,Agricultural services,5.84,3.5%,Korea
2019,Forestry development,5.62,3.3%,Korea
2019,Agricultural co-operatives,4.89,2.9%,Korea
2019,Fishery development,4.09,2.4%,Korea
2019,Agricultural policy and administrative management,3.64,2.2%,Korea
2019,Livestock,3.0,1.8%,Korea
2019,Agricultural financial services,2.67,1.6%,Korea
2019,Food crop production,2.11,1.3%,Korea
2019,Agricultural extension,1.07,0.6%,Korea
2019,Industrial crops/export crops,1.01,0.6%,Korea
2019,Fishery services,1.0,0.6%,Korea
2019,Fishery education/training,0.85,0.5%,Korea
2019,Agricultural land resources,0.74,0.4%,Korea
2019,Agricultural inputs,0.59,0.3%,Korea
2019,Fishing policy and administrative management,0.35,0.2%,Korea
2019,Agricultural research,0.2,0.1%,Korea
2019,Forestry research,0.19,0.1%,Korea
2019,Forestry education/training,0.15,0.1%,Korea
2019,Livestock/veterinary services,0.12,0.1%,Korea
2019,Plant and post-harvest protection and pest control,0.11,0.1%,Korea
