"","PurposeName","Funding_2021","perc_region_total"
"1","Agricultural policy and administrative management",1829.35,0.16909038643025
"2","Agricultural development",1742.02,0.161018304298918
"3","Rural development",1441.43,0.133234184662397
"4","Agricultural water resources",1011.4,0.0934856735100201
"5","Forestry policy and administrative management",756.36,0.0699118291635741
"6","Agricultural research",580.66,0.0536715356736487
"7","Food crop production",427.27,0.0394933989723416
"8","Forestry development",368.88,0.0340962974534074
"9","Agricultural services",334.16,0.0308870601741233
"10","Livestock",333.56,0.0308316010045504
"11","Agricultural financial services",245.09,0.0226541464510291
"12","Fishery development",241.41,0.0223139968776488
"13","Agricultural land resources",238.95,0.0220866142823999
"14","Fishing policy and administrative management",188.41,0.0174151035653776
"15","Agricultural extension",164.55,0.0152096772553627
"16","Agricultural alternative development",149.6,0.013827819613505
"17","Industrial crops/export crops",145.97,0.0134922916375891
"18","Agricultural education/training",142.94,0.0132122228312461
"19","Agricultural co-operatives",131.4,0.012145558136461
"20","Livestock/veterinary services",104.31,0.0096415766302454
"21","Agricultural inputs",76.87,0.00710524394177896
"22","Plant and post-harvest protection and pest control",58.35,0.0053934042409627
"23","Forestry services",23.64,0.00218509128117152
"24","Fishery education/training",22.44,0.00207417294202576
"25","Fishery services",19.16,0.00177099614836067
"26","Fuelwood/charcoal",10.26,0.000948351799696269
"27","Agrarian reform",10.22,0.000944654521724743
"28","Forestry research",8.33,0.000769958137570167
"29","Fishery research",7.36,0.000680299146760676
"30","Forestry education/training",4.42,0.000408549215853558
