Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,34.19,3.0%,african development fund,United Kingdom
2020,ADF,29.74,3.0%,african development fund,United Kingdom
2021,ADF,27.61,4.0%,african development fund,United Kingdom
2022,ADF,41.93,7.000000000000001%,african development fund,United Kingdom
2023,ADF,30.31,4.0%,african development fund,United Kingdom
2022,AF,6.35,1.0%,adaptation fund,United Kingdom
2019,AIIB,0.44,0.0%,asian infrastructure investment bank,United Kingdom
2020,AfDB,3.46,0.0%,african development bank,United Kingdom
2021,AfDB,4.29,1.0%,african development bank,United Kingdom
2022,AfDB,3.89,1.0%,african development bank,United Kingdom
2023,AfDB,4.04,0.0%,african development bank,United Kingdom
2022,CGIAR ,25.17,4.0%,cgiar fund,United Kingdom
2023,CGIAR ,4.25,0.0%,cgiar fund,United Kingdom
2021,CTF,0.03,0.0%,clean technology fund,United Kingdom
2019,EC-DSB,98.79,9.0%,european commission development share of budget,United Kingdom
2020,EC-DSB,91.03,10.0%,european commission development share of budget,United Kingdom
2021,EC-DSB,52.45,7.000000000000001%,european commission development share of budget,United Kingdom
2022,EC-DSB,34.7,6.0%,european commission development share of budget,United Kingdom
2023,EC-DSB,26.04,3.0%,european commission development share of budget,United Kingdom
2019,EC-EDF,166.23,15.0%,european commission european development fund,United Kingdom
2020,EC-EDF,64.06,7.000000000000001%,european commission european development fund,United Kingdom
2021,EC-EDF,98.42,14.000000000000002%,european commission european development fund,United Kingdom
2022,EC-EDF,27.2,4.0%,european commission european development fund,United Kingdom
2023,EC-EDF,4.63,1.0%,european commission european development fund,United Kingdom
2019,FAO,12.1,1.0%,food and agricultural organisation,United Kingdom
2020,FAO,10.88,1.0%,food and agricultural organisation,United Kingdom
2021,FAO,9.78,1.0%,food and agricultural organisation,United Kingdom
2022,FAO,10.08,2.0%,food and agricultural organisation,United Kingdom
2023,FAO,8.83,1.0%,food and agricultural organisation,United Kingdom
2020,GCF,175.03,18.0%,green climate fund,United Kingdom
2021,GCF,130.74,18.0%,green climate fund,United Kingdom
2022,GCF,137.25,22.0%,green climate fund,United Kingdom
2023,GCF,154.94,18.0%,green climate fund,United Kingdom
2019,GEF-SCCF,1.24,0.0%,global environment facility special climate change fund,United Kingdom
2020,GEF-SCCF,1.18,0.0%,global environment facility special climate change fund,United Kingdom
2019,GEF-TF,0.55,0.0%,global environment facility trust fund,United Kingdom
2020,GEF-TF,1.11,0.0%,global environment facility trust fund,United Kingdom
2021,GEF-TF,6.56,1.0%,global environment facility trust fund,United Kingdom
2022,GEF-TF,8.36,1.0%,global environment facility trust fund,United Kingdom
2023,GEF-TF,32.82,4.0%,global environment facility trust fund,United Kingdom
2019,GGGI,0.27,0.0%,global green growth institute,United Kingdom
2020,GGGI,0.05,0.0%,global green growth institute,United Kingdom
2019,IBRD,4.76,0.0%,international bank for reconstruction and development,United Kingdom
2020,IBRD,4.27,0.0%,international bank for reconstruction and development,United Kingdom
2021,IBRD,3.72,1.0%,international bank for reconstruction and development,United Kingdom
2022,IBRD,4.44,1.0%,international bank for reconstruction and development,United Kingdom
2023,IBRD,4.28,1.0%,international bank for reconstruction and development,United Kingdom
2019,IDA,128.32,12.0%,international development association,United Kingdom
2020,IDA,129.22,14.000000000000002%,international development association,United Kingdom
2021,IDA,100.99,14.000000000000002%,international development association,United Kingdom
2022,IDA,19.42,3.0%,international development association,United Kingdom
2023,IDA,194.42,23.0%,international development association,United Kingdom
2019,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,United Kingdom
2020,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,United Kingdom
2021,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,United Kingdom
2022,IFC,16.35,3.0%,international finance corporation,United Kingdom
2023,IFC,15.3,2.0%,international finance corporation,United Kingdom
2019,SCF,0.0,0.0%,strategic climate fund,United Kingdom
2022,UN,0.09,0.0%,united nations,United Kingdom
2023,UN,0.23,0.0%,united nations,United Kingdom
2019,UNDP,0.12,0.0%,united nations development programme,United Kingdom
2020,UNDP,0.11,0.0%,united nations development programme,United Kingdom
2021,UNDP,0.09,0.0%,united nations development programme,United Kingdom
2023,UNDP,0.15,0.0%,united nations development programme,United Kingdom
2019,WFP,0.03,0.0%,world food programme,United Kingdom
2019,,0.01,0.0%,united nations children’s fund,United Kingdom
2020,,0.02,0.0%,united nations children’s fund,United Kingdom
2021,,0.01,0.0%,united nations children’s fund,United Kingdom
2022,,0.0,0.0%,united nations children’s fund,United Kingdom
2023,,0.02,0.0%,united nations children’s fund,United Kingdom
