year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural research,0.03,40.6%,Lithuania
2023,Agricultural water resources,0.02,24.6%,Lithuania
2023,Agricultural policy and administrative management,0.02,34.7%,Lithuania
2022,Agricultural policy and administrative management,0.14,73.0%,Lithuania
2022,Agricultural research,0.03,15.4%,Lithuania
2022,Agricultural education/training,0.01,5.3%,Lithuania
2022,Livestock,0.01,6.3%,Lithuania
2021,Agricultural education/training,0.03,46.6%,Lithuania
2021,Agricultural research,0.02,30.6%,Lithuania
2021,Agricultural extension,0.01,20.9%,Lithuania
2021,Agricultural policy and administrative management,0.0,1.8%,Lithuania
2020,Agricultural research,0.02,44.2%,Lithuania
2020,Livestock/veterinary services,0.02,44.0%,Lithuania
2020,Agricultural policy and administrative management,0.01,11.8%,Lithuania
2019,Agricultural development,0.03,37.1%,Lithuania
2019,Agricultural policy and administrative management,0.02,21.8%,Lithuania
2019,Livestock/veterinary services,0.02,20.5%,Lithuania
2019,Agricultural research,0.01,16.5%,Lithuania
2019,Agricultural education/training,0.0,4.0%,Lithuania
2019,Forestry policy and administrative management,0.0,0.1%,Lithuania
