year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,1.42,27.5%,Czechia
2023,Agricultural land resources,0.86,16.7%,Czechia
2023,Livestock,0.7,13.5%,Czechia
2023,Food crop production,0.52,10.2%,Czechia
2023,Agricultural policy and administrative management,0.38,7.4%,Czechia
2023,Rural development,0.37,7.2%,Czechia
2023,Fishery development,0.33,6.5%,Czechia
2023,Agricultural education/training,0.2,3.9%,Czechia
2023,Forestry policy and administrative management,0.19,3.7%,Czechia
2023,Agricultural inputs,0.13,2.4%,Czechia
2023,Livestock/veterinary services,0.03,0.6%,Czechia
2023,Agricultural services,0.02,0.4%,Czechia
2023,Agricultural extension,0.0,0.0%,Czechia
2022,Agricultural development,0.88,25.1%,Czechia
2022,Food crop production,0.84,24.0%,Czechia
2022,Agricultural land resources,0.66,18.9%,Czechia
2022,Rural development,0.54,15.4%,Czechia
2022,Forestry policy and administrative management,0.2,5.8%,Czechia
2022,Agricultural education/training,0.2,5.6%,Czechia
2022,Agricultural policy and administrative management,0.08,2.1%,Czechia
2022,Livestock,0.07,2.1%,Czechia
2022,Agricultural co-operatives,0.02,0.7%,Czechia
2022,Agricultural research,0.01,0.2%,Czechia
2021,Agricultural development,1.3,24.2%,Czechia
2021,Agricultural land resources,0.76,14.2%,Czechia
2021,Rural development,0.76,14.1%,Czechia
2021,Food crop production,0.75,13.9%,Czechia
2021,Agricultural policy and administrative management,0.66,12.3%,Czechia
2021,Forestry policy and administrative management,0.61,11.4%,Czechia
2021,Agricultural education/training,0.2,3.8%,Czechia
2021,Agricultural extension,0.13,2.4%,Czechia
2021,Livestock/veterinary services,0.05,0.8%,Czechia
2021,Agricultural inputs,0.04,0.8%,Czechia
2021,Industrial crops/export crops,0.04,0.7%,Czechia
2021,Livestock,0.03,0.5%,Czechia
2021,Fishery education/training,0.03,0.5%,Czechia
2021,Agricultural research,0.01,0.1%,Czechia
2021,Forestry education/training,0.01,0.3%,Czechia
2020,Agricultural development,2.91,42.5%,Czechia
2020,Rural development,1.13,16.5%,Czechia
2020,Agricultural land resources,0.91,13.4%,Czechia
2020,Agricultural education/training,0.48,7.0%,Czechia
2020,Agricultural extension,0.44,6.4%,Czechia
2020,Agricultural policy and administrative management,0.41,5.9%,Czechia
2020,Food crop production,0.21,3.1%,Czechia
2020,Fishery services,0.11,1.7%,Czechia
2020,Agricultural alternative development,0.08,1.2%,Czechia
2020,Industrial crops/export crops,0.05,0.7%,Czechia
2020,Fishery education/training,0.03,0.4%,Czechia
2020,Agricultural water resources,0.03,0.4%,Czechia
2020,Forestry policy and administrative management,0.02,0.3%,Czechia
2020,Livestock/veterinary services,0.02,0.3%,Czechia
2020,Forestry education/training,0.01,0.1%,Czechia
2020,Agricultural research,0.0,0.1%,Czechia
2019,Agricultural policy and administrative management,1.94,26.2%,Czechia
2019,Agricultural development,1.27,17.1%,Czechia
2019,Agricultural land resources,0.94,12.7%,Czechia
2019,Rural development,0.83,11.1%,Czechia
2019,Agricultural extension,0.59,7.9%,Czechia
2019,Plant and post-harvest protection and pest control,0.54,7.3%,Czechia
2019,Livestock/veterinary services,0.41,5.6%,Czechia
2019,Agricultural education/training,0.4,5.4%,Czechia
2019,Agricultural inputs,0.23,3.0%,Czechia
2019,Agricultural services,0.17,2.3%,Czechia
2019,Agricultural alternative development,0.06,0.8%,Czechia
2019,Fishery development,0.03,0.3%,Czechia
2019,Forestry education/training,0.02,0.3%,Czechia
2019,Agricultural research,0.01,0.1%,Czechia
