donor,"ODA to Agriculture (incl. forestry, fishing, rural development) as % of Total ODA",Year,Rank
Korea,8.13%,2022,1st
Luxembourg,7.65%,2022,2nd
Iceland,7.59%,2022,3rd
Hungary,7.2%,2022,4th
New Zealand,7.11%,2022,5th
Belgium,6.88%,2022,6th
Germany,6.07%,2022,7th
France,6.05%,2022,8th
Canada,5.45%,2022,9th
Norway,5.39%,2022,10th
Switzerland,5.35%,2022,11th
Netherlands,5.33%,2022,12th
Slovak Republic,5.23%,2022,13th
Spain,5.16%,2022,14th
Australia,4.95%,2022,15th
Finland,4.57%,2022,16th
Austria,4.48%,2022,17th
Sweden,4.06%,2022,18th
Italy,3.99%,2022,19th
Japan,3.9%,2022,20th
United Kingdom,3.73%,2022,21st
Portugal,3.54%,2022,22nd
Slovenia,3.23%,2022,23rd
Ireland,2.92%,2022,24th
Lithuania,2.73%,2022,25th
Denmark,2.42%,2022,26th
Czechia,2.23%,2022,27th
United States,1.77%,2022,28th
Poland,1.55%,2022,29th
Estonia,1.5%,2022,30th
New Zealand,9.65%,2023,1st
Korea,8.88%,2023,2nd
Iceland,7.7%,2023,3rd
Finland,6.99%,2023,4th
Belgium,6.59%,2023,5th
Luxembourg,6.48%,2023,6th
Norway,6.44%,2023,7th
Netherlands,6.25%,2023,8th
Spain,5.81%,2023,9th
Austria,5.68%,2023,10th
Sweden,5.45%,2023,11th
Australia,5.34%,2023,12th
Slovak Republic,5.22%,2023,13th
Switzerland,4.95%,2023,14th
France,4.85%,2023,15th
United Kingdom,4.73%,2023,16th
Japan,4.72%,2023,17th
Italy,4.54%,2023,18th
Germany,4.19%,2023,19th
Slovenia,3.9%,2023,20th
Denmark,3.49%,2023,21st
Canada,3.48%,2023,22nd
Hungary,3.44%,2023,23rd
Estonia,3.18%,2023,24th
Czechia,3.13%,2023,25th
Portugal,3.07%,2023,26th
Ireland,2.91%,2023,27th
United States,2.86%,2023,28th
Lithuania,2.44%,2023,29th
Poland,2.21%,2023,30th
