year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural policy and administrative management,1054.39,81.2%,United States
2023,Agricultural alternative development,72.75,5.6%,United States
2023,Agricultural development,67.06,5.2%,United States
2023,Food crop production,30.88,2.4%,United States
2023,Agricultural water resources,16.92,1.3%,United States
2023,Livestock/veterinary services,15.31,1.2%,United States
2023,Agrarian reform,9.35,0.7%,United States
2023,Agricultural research,7.25,0.6%,United States
2023,Forestry policy and administrative management,6.97,0.5%,United States
2023,Rural development,6.42,0.5%,United States
2023,Forestry development,3.32,0.3%,United States
2023,Industrial crops/export crops,2.41,0.2%,United States
2023,Agricultural services,1.8,0.1%,United States
2023,Forestry services,0.81,0.1%,United States
2023,Livestock,0.75,0.1%,United States
2023,Agricultural co-operatives,0.6,0.0%,United States
2023,Forestry education/training,0.25,0.0%,United States
2023,Agricultural inputs,0.24,0.0%,United States
2023,Forestry research,0.23,0.0%,United States
2023,Agricultural financial services,0.11,0.0%,United States
2023,Fishery development,0.09,0.0%,United States
2023,Plant and post-harvest protection and pest control,0.06,0.0%,United States
2023,Fishery services,0.02,0.0%,United States
2023,Fishing policy and administrative management,0.0,0.0%,United States
2023,Agricultural education/training,0.0,0.0%,United States
2023,Agricultural extension,,,United States
2022,Agricultural policy and administrative management,599.32,71.9%,United States
2022,Agricultural development,92.77,11.1%,United States
2022,Agricultural alternative development,61.56,7.4%,United States
2022,Agricultural water resources,25.52,3.1%,United States
2022,Livestock/veterinary services,16.93,2.0%,United States
2022,Food crop production,15.93,1.9%,United States
2022,Forestry policy and administrative management,4.24,0.5%,United States
2022,Agricultural research,3.78,0.5%,United States
2022,Rural development,3.63,0.4%,United States
2022,Agrarian reform,2.96,0.4%,United States
2022,Industrial crops/export crops,1.66,0.2%,United States
2022,Agricultural co-operatives,1.39,0.2%,United States
2022,Agricultural services,0.84,0.1%,United States
2022,Agricultural inputs,0.62,0.1%,United States
2022,Forestry services,0.62,0.1%,United States
2022,Forestry education/training,0.39,0.0%,United States
2022,Forestry development,0.25,0.0%,United States
2022,Livestock,0.21,0.0%,United States
2022,Agricultural financial services,0.2,0.0%,United States
2022,Agricultural education/training,0.09,0.0%,United States
2022,Fishing policy and administrative management,0.09,0.0%,United States
2022,Plant and post-harvest protection and pest control,0.04,0.0%,United States
2022,Fishery services,0.02,0.0%,United States
2022,Agricultural land resources,0.02,0.0%,United States
2022,Fishery development,0.0,0.0%,United States
2022,Forestry research,0.0,0.0%,United States
2021,Agricultural policy and administrative management,833.75,76.0%,United States
2021,Agricultural alternative development,121.59,11.1%,United States
2021,Agricultural development,84.3,7.7%,United States
2021,Agricultural water resources,19.14,1.7%,United States
2021,Food crop production,16.33,1.5%,United States
2021,Livestock/veterinary services,8.69,0.8%,United States
2021,Agricultural services,2.67,0.2%,United States
2021,Industrial crops/export crops,2.19,0.2%,United States
2021,Agrarian reform,1.76,0.2%,United States
2021,Agricultural research,1.62,0.1%,United States
2021,Agricultural inputs,1.6,0.1%,United States
2021,Agricultural co-operatives,1.42,0.1%,United States
2021,Livestock,0.79,0.1%,United States
2021,Rural development,0.33,0.0%,United States
2021,Agricultural financial services,0.19,0.0%,United States
2021,Forestry policy and administrative management,0.18,0.0%,United States
2021,Agricultural education/training,0.16,0.0%,United States
2021,Plant and post-harvest protection and pest control,0.15,0.0%,United States
2021,Fishery services,0.13,0.0%,United States
2021,Fishing policy and administrative management,0.08,0.0%,United States
2021,Agricultural land resources,0.07,0.0%,United States
2021,Fishery development,0.05,0.0%,United States
2021,Forestry education/training,0.0,0.0%,United States
2021,Forestry services,0.0,0.0%,United States
2021,Forestry development,0.0,0.0%,United States
2021,Agricultural extension,,,United States
2020,Agricultural policy and administrative management,758.4,73.8%,United States
2020,Agricultural development,125.02,12.2%,United States
2020,Agricultural alternative development,95.31,9.3%,United States
2020,Food crop production,12.16,1.2%,United States
2020,Agricultural water resources,11.2,1.1%,United States
2020,Livestock/veterinary services,5.69,0.6%,United States
2020,Agricultural research,5.04,0.5%,United States
2020,Agrarian reform,3.77,0.4%,United States
2020,Agricultural co-operatives,2.28,0.2%,United States
2020,Industrial crops/export crops,1.76,0.2%,United States
2020,Agricultural services,1.6,0.2%,United States
2020,Forestry development,1.14,0.1%,United States
2020,Forestry education/training,0.9,0.1%,United States
2020,Livestock,0.72,0.1%,United States
2020,Rural development,0.61,0.1%,United States
2020,Agricultural inputs,0.54,0.1%,United States
2020,Agricultural financial services,0.32,0.0%,United States
2020,Agricultural education/training,0.19,0.0%,United States
2020,Fishing policy and administrative management,0.15,0.0%,United States
2020,Fishery development,0.15,0.0%,United States
2020,Fishery services,0.05,0.0%,United States
2020,Forestry policy and administrative management,0.01,0.0%,United States
2020,Forestry services,0.0,0.0%,United States
2020,Forestry research,0.0,0.0%,United States
2020,Plant and post-harvest protection and pest control,0.0,0.0%,United States
2020,Agricultural land resources,,,United States
2020,Agricultural extension,,,United States
2019,Agricultural policy and administrative management,682.64,63.1%,United States
2019,Agricultural development,240.88,22.3%,United States
2019,Agricultural alternative development,104.04,9.6%,United States
2019,Food crop production,14.64,1.4%,United States
2019,Agricultural water resources,8.61,0.8%,United States
2019,Livestock/veterinary services,6.81,0.6%,United States
2019,Agricultural research,4.86,0.4%,United States
2019,Agricultural co-operatives,4.19,0.4%,United States
2019,Agrarian reform,2.95,0.3%,United States
2019,Agricultural services,2.28,0.2%,United States
2019,Industrial crops/export crops,1.81,0.2%,United States
2019,Agricultural inputs,1.76,0.2%,United States
2019,Rural development,1.45,0.1%,United States
2019,Forestry policy and administrative management,1.37,0.1%,United States
2019,Forestry development,1.17,0.1%,United States
2019,Forestry education/training,0.82,0.1%,United States
2019,Livestock,0.58,0.1%,United States
2019,Agricultural education/training,0.57,0.1%,United States
2019,Agricultural financial services,0.34,0.0%,United States
2019,Agricultural land resources,0.2,0.0%,United States
2019,Fishing policy and administrative management,0.19,0.0%,United States
2019,Fishery development,0.15,0.0%,United States
2019,Forestry services,0.05,0.0%,United States
2019,Plant and post-harvest protection and pest control,0.01,0.0%,United States
2019,Forestry research,0.0,0.0%,United States
