year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,54.34,37.4%,Sweden
2023,Rural development,23.4,16.1%,Sweden
2023,Agricultural water resources,11.07,7.6%,Sweden
2023,Forestry policy and administrative management,7.59,5.2%,Sweden
2023,Agricultural research,6.79,4.7%,Sweden
2023,Agricultural land resources,6.11,4.2%,Sweden
2023,Agricultural policy and administrative management,5.46,3.8%,Sweden
2023,Agricultural financial services,5.31,3.7%,Sweden
2023,Forestry development,5.28,3.6%,Sweden
2023,Fishery development,5.15,3.5%,Sweden
2023,Livestock,3.35,2.3%,Sweden
2023,Forestry research,3.04,2.1%,Sweden
2023,Fishing policy and administrative management,1.51,1.0%,Sweden
2023,Food crop production,1.37,0.9%,Sweden
2023,Agricultural co-operatives,1.22,0.8%,Sweden
2023,Agricultural inputs,1.1,0.8%,Sweden
2023,Livestock/veterinary services,0.94,0.6%,Sweden
2023,Agricultural extension,0.78,0.5%,Sweden
2023,Plant and post-harvest protection and pest control,0.62,0.4%,Sweden
2023,Agricultural education/training,0.62,0.4%,Sweden
2023,Fishery education/training,0.16,0.1%,Sweden
2023,Agricultural alternative development,0.13,0.1%,Sweden
2023,Fishery research,0.08,0.1%,Sweden
2023,Forestry education/training,0.05,0.0%,Sweden
2022,Agricultural development,53.39,37.0%,Sweden
2022,Rural development,24.6,17.1%,Sweden
2022,Forestry development,19.54,13.6%,Sweden
2022,Agricultural research,9.84,6.8%,Sweden
2022,Agricultural policy and administrative management,6.83,4.7%,Sweden
2022,Fishery development,6.64,4.6%,Sweden
2022,Forestry policy and administrative management,5.92,4.1%,Sweden
2022,Fishing policy and administrative management,4.11,2.8%,Sweden
2022,Agricultural water resources,4.03,2.8%,Sweden
2022,Livestock,2.02,1.4%,Sweden
2022,Agricultural co-operatives,1.83,1.3%,Sweden
2022,Food crop production,1.21,0.8%,Sweden
2022,Agricultural education/training,0.9,0.6%,Sweden
2022,Forestry research,0.85,0.6%,Sweden
2022,Agricultural extension,0.64,0.4%,Sweden
2022,Plant and post-harvest protection and pest control,0.6,0.4%,Sweden
2022,Agricultural services,0.45,0.3%,Sweden
2022,Agricultural financial services,0.38,0.3%,Sweden
2022,Agricultural land resources,0.31,0.2%,Sweden
2022,Agricultural alternative development,0.1,0.1%,Sweden
2022,Livestock/veterinary services,0.0,0.0%,Sweden
2022,Industrial crops/export crops,0.0,0.0%,Sweden
2021,Agricultural development,66.68,34.6%,Sweden
2021,Rural development,33.78,17.6%,Sweden
2021,Agricultural research,24.76,12.9%,Sweden
2021,Fishery development,11.87,6.2%,Sweden
2021,Forestry development,9.73,5.1%,Sweden
2021,Agricultural policy and administrative management,8.98,4.7%,Sweden
2021,Agricultural water resources,8.25,4.3%,Sweden
2021,Forestry policy and administrative management,8.11,4.2%,Sweden
2021,Livestock,3.37,1.7%,Sweden
2021,Agricultural co-operatives,3.26,1.7%,Sweden
2021,Fishing policy and administrative management,3.13,1.6%,Sweden
2021,Agricultural financial services,2.86,1.5%,Sweden
2021,Food crop production,2.43,1.3%,Sweden
2021,Agricultural extension,1.77,0.9%,Sweden
2021,Agricultural land resources,1.16,0.6%,Sweden
2021,Forestry research,0.84,0.4%,Sweden
2021,Agricultural education/training,0.84,0.4%,Sweden
2021,Plant and post-harvest protection and pest control,0.43,0.2%,Sweden
2021,Agricultural alternative development,0.16,0.1%,Sweden
2021,Agricultural services,0.08,0.0%,Sweden
2020,Agricultural development,57.63,31.9%,Sweden
2020,Rural development,40.52,22.4%,Sweden
2020,Agricultural research,29.42,16.3%,Sweden
2020,Forestry development,11.88,6.6%,Sweden
2020,Forestry policy and administrative management,10.02,5.5%,Sweden
2020,Agricultural policy and administrative management,8.04,4.4%,Sweden
2020,Agricultural co-operatives,6.49,3.6%,Sweden
2020,Agricultural financial services,5.45,3.0%,Sweden
2020,Agricultural water resources,4.11,2.3%,Sweden
2020,Food crop production,2.16,1.2%,Sweden
2020,Livestock,1.81,1.0%,Sweden
2020,Agricultural education/training,1.41,0.8%,Sweden
2020,Forestry research,0.66,0.4%,Sweden
2020,Fishery research,0.41,0.2%,Sweden
2020,Agricultural services,0.31,0.2%,Sweden
2020,Fishery development,0.29,0.2%,Sweden
2020,Plant and post-harvest protection and pest control,0.25,0.1%,Sweden
2020,Livestock/veterinary services,0.03,0.0%,Sweden
2020,Fishing policy and administrative management,0.03,0.0%,Sweden
2019,Agricultural development,62.89,32.4%,Sweden
2019,Rural development,34.33,17.7%,Sweden
2019,Agricultural research,26.89,13.9%,Sweden
2019,Forestry development,17.89,9.2%,Sweden
2019,Forestry policy and administrative management,15.37,7.9%,Sweden
2019,Agricultural policy and administrative management,10.38,5.4%,Sweden
2019,Agricultural water resources,6.14,3.2%,Sweden
2019,Agricultural co-operatives,3.95,2.0%,Sweden
2019,Agricultural financial services,3.85,2.0%,Sweden
2019,Fishing policy and administrative management,2.87,1.5%,Sweden
2019,Fishery development,2.27,1.2%,Sweden
2019,Agricultural land resources,2.1,1.1%,Sweden
2019,Food crop production,1.9,1.0%,Sweden
2019,Livestock,1.66,0.9%,Sweden
2019,Agricultural services,0.88,0.5%,Sweden
2019,Fishery research,0.52,0.3%,Sweden
2019,Agricultural inputs,0.03,0.0%,Sweden
2019,Forestry research,,,Sweden
2019,Livestock/veterinary services,,,Sweden
2019,Agricultural alternative development,,,Sweden
