Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.99,0.0%,asian development bank,Canada
2020,ADB,1.08,0.0%,asian development bank,Canada
2021,ADB,0.96,0.0%,asian development bank,Canada
2022,ADB,1.05,0.0%,asian development bank,Canada
2023,ADB,1.09,0.0%,asian development bank,Canada
2019,ADF,12.45,4.0%,african development fund,Canada
2020,ADF,12.41,3.0%,african development fund,Canada
2021,ADF,14.18,3.0%,african development fund,Canada
2022,ADF,32.95,7.000000000000001%,african development fund,Canada
2023,ADF,16.21,5.0%,african development fund,Canada
2019,AF,1.03,0.0%,adaptation fund,Canada
2022,AF,4.76,1.0%,adaptation fund,Canada
2019,AIIB,0.15,0.0%,asian infrastructure investment bank,Canada
2020,AIIB,0.1,0.0%,asian infrastructure investment bank,Canada
2021,AIIB,0.17,0.0%,asian infrastructure investment bank,Canada
2022,CGIAR ,18.76,4.0%,cgiar fund,Canada
2023,CGIAR ,11.12,3.0%,cgiar fund,Canada
2019,FAO,15.01,5.0%,food and agricultural organisation,Canada
2020,FAO,6.8,2.0%,food and agricultural organisation,Canada
2021,FAO,5.88,1.0%,food and agricultural organisation,Canada
2022,FAO,5.35,1.0%,food and agricultural organisation,Canada
2023,FAO,5.55,2.0%,food and agricultural organisation,Canada
2019,GCF,2.2,1.0%,green climate fund,Canada
2020,GCF,8.55,2.0%,green climate fund,Canada
2021,GCF,3.89,1.0%,green climate fund,Canada
2022,GCF,67.01,13.0%,green climate fund,Canada
2019,GEF-TF,2.24,1.0%,global environment facility trust fund,Canada
2020,GEF-TF,1.51,0.0%,global environment facility trust fund,Canada
2021,GEF-TF,3.3,1.0%,global environment facility trust fund,Canada
2022,GEF-TF,1.7,0.0%,global environment facility trust fund,Canada
2023,GEF-TF,13.6,4.0%,global environment facility trust fund,Canada
2019,IBRD,15.52,6.0%,international bank for reconstruction and development,Canada
2022,IBRD,1.73,0.0%,international bank for reconstruction and development,Canada
2019,IDA,49.63,18.0%,international development association,Canada
2020,IDA,45.74,11.0%,international development association,Canada
2021,IDA,36.59,9.0%,international development association,Canada
2022,IDA,55.26,11.0%,international development association,Canada
2023,IDA,91.09,28.000000000000004%,international development association,Canada
2019,IDB-FSO,0.0,0.0%,inter american development bank fund for special operations,Canada
2020,IDB-FSO,0.02,0.0%,inter american development bank fund for special operations,Canada
2019,IDB-IIC-MIF,0.38,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2020,IDB-IIC-MIF,0.16,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2021,IDB-IIC-MIF,0.08,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2022,IDB-IIC-MIF,0.03,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2022,IFC,50.91,10.0%,international finance corporation,Canada
2022,UN,0.05,0.0%,united nations,Canada
2023,UN,0.14,0.0%,united nations,Canada
2019,UNDP,0.05,0.0%,united nations development programme,Canada
2020,UNDP,0.05,0.0%,united nations development programme,Canada
2021,UNDP,0.09,0.0%,united nations development programme,Canada
2022,UNDP,0.11,0.0%,united nations development programme,Canada
2023,UNDP,0.16,0.0%,united nations development programme,Canada
2019,WFP,0.01,0.0%,world food programme,Canada
2019,,0.0,0.0%,united nations children’s fund,Canada
2020,,0.0,0.0%,united nations children’s fund,Canada
2021,,0.0,0.0%,united nations children’s fund,Canada
2022,,0.01,0.0%,united nations children’s fund,Canada
2023,,0.01,0.0%,united nations children’s fund,Canada
