year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,30.83,35.5%,Belgium
2023,Rural development,16.02,18.4%,Belgium
2023,Agricultural services,14.24,16.4%,Belgium
2023,Agricultural extension,4.54,5.2%,Belgium
2023,Food crop production,4.43,5.1%,Belgium
2023,Industrial crops/export crops,4.09,4.7%,Belgium
2023,Agricultural research,3.11,3.6%,Belgium
2023,Livestock/veterinary services,2.51,2.9%,Belgium
2023,Agricultural land resources,1.09,1.3%,Belgium
2023,Forestry policy and administrative management,0.91,1.0%,Belgium
2023,Agricultural water resources,0.79,0.9%,Belgium
2023,Agricultural co-operatives,0.75,0.9%,Belgium
2023,Fishery development,0.67,0.8%,Belgium
2023,Agricultural alternative development,0.65,0.7%,Belgium
2023,Agricultural education/training,0.52,0.6%,Belgium
2023,Forestry development,0.43,0.5%,Belgium
2023,Plant and post-harvest protection and pest control,0.4,0.5%,Belgium
2023,Livestock,0.31,0.4%,Belgium
2023,Agricultural financial services,0.29,0.3%,Belgium
2023,Agricultural policy and administrative management,0.25,0.3%,Belgium
2023,Forestry research,0.1,0.1%,Belgium
2022,Agricultural development,35.81,37.5%,Belgium
2022,Rural development,14.28,15.0%,Belgium
2022,Agricultural services,12.11,12.7%,Belgium
2022,Food crop production,5.4,5.7%,Belgium
2022,Agricultural extension,4.8,5.0%,Belgium
2022,Livestock,3.51,3.7%,Belgium
2022,Agricultural research,3.27,3.4%,Belgium
2022,Agricultural water resources,3.14,3.3%,Belgium
2022,Agricultural policy and administrative management,2.82,3.0%,Belgium
2022,Livestock/veterinary services,2.52,2.6%,Belgium
2022,Industrial crops/export crops,2.02,2.1%,Belgium
2022,Agricultural co-operatives,1.07,1.1%,Belgium
2022,Agricultural land resources,1.04,1.1%,Belgium
2022,Forestry policy and administrative management,0.96,1.0%,Belgium
2022,Fishery development,0.74,0.8%,Belgium
2022,Fishery research,0.64,0.7%,Belgium
2022,Agricultural education/training,0.61,0.6%,Belgium
2022,Plant and post-harvest protection and pest control,0.34,0.4%,Belgium
2022,Forestry development,0.27,0.3%,Belgium
2022,Forestry research,0.1,0.1%,Belgium
2022,Agricultural financial services,0.0,0.0%,Belgium
2021,Agricultural development,34.77,35.0%,Belgium
2021,Agricultural co-operatives,20.61,20.8%,Belgium
2021,Agricultural services,11.38,11.5%,Belgium
2021,Livestock,9.54,9.6%,Belgium
2021,Food crop production,4.93,5.0%,Belgium
2021,Agricultural extension,4.55,4.6%,Belgium
2021,Rural development,3.62,3.6%,Belgium
2021,Forestry development,3.28,3.3%,Belgium
2021,Agricultural research,2.75,2.8%,Belgium
2021,Industrial crops/export crops,0.88,0.9%,Belgium
2021,Fishery research,0.69,0.7%,Belgium
2021,Agricultural financial services,0.56,0.6%,Belgium
2021,Agricultural land resources,0.52,0.5%,Belgium
2021,Forestry policy and administrative management,0.49,0.5%,Belgium
2021,Fishery development,0.41,0.4%,Belgium
2021,Agricultural policy and administrative management,0.14,0.1%,Belgium
2021,Agricultural water resources,0.1,0.1%,Belgium
2020,Agricultural development,34.49,28.6%,Belgium
2020,Agricultural co-operatives,23.1,19.2%,Belgium
2020,Agricultural services,16.93,14.1%,Belgium
2020,Livestock,12.23,10.2%,Belgium
2020,Agricultural extension,7.25,6.0%,Belgium
2020,Forestry development,6.57,5.5%,Belgium
2020,Rural development,5.67,4.7%,Belgium
2020,Food crop production,5.18,4.3%,Belgium
2020,Agricultural policy and administrative management,3.14,2.6%,Belgium
2020,Agricultural research,2.11,1.7%,Belgium
2020,Industrial crops/export crops,1.8,1.5%,Belgium
2020,Agricultural land resources,0.85,0.7%,Belgium
2020,Agricultural water resources,0.59,0.5%,Belgium
2020,Forestry policy and administrative management,0.51,0.4%,Belgium
2019,Agricultural development,41.13,33.4%,Belgium
2019,Agricultural co-operatives,21.37,17.3%,Belgium
2019,Agricultural services,9.31,7.6%,Belgium
2019,Food crop production,9.31,7.5%,Belgium
2019,Livestock,8.74,7.1%,Belgium
2019,Rural development,8.55,6.9%,Belgium
2019,Agricultural policy and administrative management,8.37,6.8%,Belgium
2019,Agricultural extension,4.96,4.0%,Belgium
2019,Forestry development,3.42,2.8%,Belgium
2019,Agricultural education/training,2.89,2.3%,Belgium
2019,Industrial crops/export crops,1.11,0.9%,Belgium
2019,Fishery development,1.05,0.9%,Belgium
2019,Agricultural research,1.04,0.8%,Belgium
2019,Forestry policy and administrative management,0.84,0.7%,Belgium
2019,Agricultural land resources,0.83,0.7%,Belgium
2019,Fishing policy and administrative management,0.16,0.1%,Belgium
2019,Agricultural water resources,0.13,0.1%,Belgium
2019,Fishery research,0.1,0.1%,Belgium
