year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural development,27.54,15.2%,Canada
2023,Food crop production,20.29,11.2%,Canada
2023,Agricultural co-operatives,20.25,11.2%,Canada
2023,Agricultural education/training,15.34,8.5%,Canada
2023,Agricultural services,10.72,5.9%,Canada
2023,Agricultural financial services,10.44,5.8%,Canada
2023,Rural development,9.87,5.5%,Canada
2023,Agricultural extension,9.75,5.4%,Canada
2023,Agricultural water resources,9.25,5.1%,Canada
2023,Agricultural policy and administrative management,8.79,4.9%,Canada
2023,Agricultural inputs,7.25,4.0%,Canada
2023,Agricultural land resources,6.82,3.8%,Canada
2023,Fishery development,6.38,3.5%,Canada
2023,Forestry development,6.36,3.5%,Canada
2023,Forestry policy and administrative management,2.82,1.6%,Canada
2023,Agricultural research,2.1,1.2%,Canada
2023,Livestock,1.06,0.6%,Canada
2023,Fishing policy and administrative management,1.02,0.6%,Canada
2023,Livestock/veterinary services,0.87,0.5%,Canada
2023,Industrial crops/export crops,0.85,0.5%,Canada
2023,Forestry education/training,0.79,0.4%,Canada
2023,Plant and post-harvest protection and pest control,0.59,0.3%,Canada
2023,Fishery education/training,0.58,0.3%,Canada
2023,Fuelwood/charcoal,0.42,0.2%,Canada
2023,Fishery research,0.24,0.1%,Canada
2023,Forestry research,0.21,0.1%,Canada
2023,Forestry services,0.11,0.1%,Canada
2023,Fishery services,0.08,0.0%,Canada
2023,Agricultural alternative development,0.0,0.0%,Canada
2022,Agricultural financial services,59.99,22.8%,Canada
2022,Agricultural inputs,41.38,15.7%,Canada
2022,Agricultural development,36.86,14.0%,Canada
2022,Agricultural education/training,16.52,6.3%,Canada
2022,Agricultural co-operatives,15.64,6.0%,Canada
2022,Food crop production,14.22,5.4%,Canada
2022,Agricultural services,11.63,4.4%,Canada
2022,Agricultural policy and administrative management,10.87,4.1%,Canada
2022,Agricultural extension,10.32,3.9%,Canada
2022,Agricultural land resources,7.43,2.8%,Canada
2022,Agricultural water resources,6.7,2.5%,Canada
2022,Forestry development,5.89,2.2%,Canada
2022,Agricultural research,5.88,2.2%,Canada
2022,Livestock,4.78,1.8%,Canada
2022,Fishery development,4.12,1.6%,Canada
2022,Rural development,3.76,1.4%,Canada
2022,Forestry policy and administrative management,1.19,0.5%,Canada
2022,Industrial crops/export crops,1.1,0.4%,Canada
2022,Livestock/veterinary services,1.1,0.4%,Canada
2022,Forestry education/training,0.92,0.3%,Canada
2022,Fishery education/training,0.84,0.3%,Canada
2022,Plant and post-harvest protection and pest control,0.47,0.2%,Canada
2022,Fishing policy and administrative management,0.45,0.2%,Canada
2022,Fishery research,0.29,0.1%,Canada
2022,Fuelwood/charcoal,0.26,0.1%,Canada
2022,Forestry research,0.25,0.1%,Canada
