year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Agricultural water resources,241.57,29.3%,Japan
2023,Agricultural financial services,176.22,21.4%,Japan
2023,Agricultural inputs,62.36,7.6%,Japan
2023,Forestry development,49.11,6.0%,Japan
2023,Agricultural policy and administrative management,45.78,5.6%,Japan
2023,Industrial crops/export crops,37.97,4.6%,Japan
2023,Agricultural development,32.69,4.0%,Japan
2023,Food crop production,32.35,3.9%,Japan
2023,Forestry policy and administrative management,29.48,3.6%,Japan
2023,Fishing policy and administrative management,22.66,2.8%,Japan
2023,Rural development,20.47,2.5%,Japan
2023,Fishery development,20.34,2.5%,Japan
2023,Agricultural services,16.88,2.0%,Japan
2023,Agricultural education/training,11.61,1.4%,Japan
2023,Livestock,8.44,1.0%,Japan
2023,Livestock/veterinary services,4.44,0.5%,Japan
2023,Fishery education/training,4.28,0.5%,Japan
2023,Agricultural research,3.39,0.4%,Japan
2023,Agricultural alternative development,1.82,0.2%,Japan
2023,Agricultural land resources,1.04,0.1%,Japan
2023,Agricultural extension,0.49,0.1%,Japan
2023,Agricultural co-operatives,0.21,0.0%,Japan
2023,Forestry education/training,0.06,0.0%,Japan
2023,Fishery services,0.04,0.0%,Japan
2023,Plant and post-harvest protection and pest control,0.03,0.0%,Japan
2023,Forestry research,0.02,0.0%,Japan
2023,Agrarian reform,,,Japan
2023,Fuelwood/charcoal,,,Japan
2022,Agricultural water resources,200.8,34.3%,Japan
2022,Food crop production,44.49,7.6%,Japan
2022,Forestry development,44.41,7.6%,Japan
2022,Agricultural policy and administrative management,44.02,7.5%,Japan
2022,Agricultural development,37.16,6.3%,Japan
2022,Forestry policy and administrative management,36.21,6.2%,Japan
2022,Rural development,35.58,6.1%,Japan
2022,Agricultural financial services,28.12,4.8%,Japan
2022,Fishery development,27.19,4.6%,Japan
2022,Fishing policy and administrative management,23.58,4.0%,Japan
2022,Agricultural services,20.11,3.4%,Japan
2022,Agricultural inputs,12.92,2.2%,Japan
2022,Livestock,9.27,1.6%,Japan
2022,Livestock/veterinary services,6.0,1.0%,Japan
2022,Agricultural education/training,4.55,0.8%,Japan
2022,Plant and post-harvest protection and pest control,3.94,0.7%,Japan
2022,Fishery education/training,2.6,0.4%,Japan
2022,Agrarian reform,1.96,0.3%,Japan
2022,Agricultural research,1.13,0.2%,Japan
2022,Fishery services,1.05,0.2%,Japan
2022,Agricultural land resources,0.4,0.1%,Japan
2022,Fishery research,0.32,0.1%,Japan
2022,Forestry research,0.02,0.0%,Japan
2022,Agricultural co-operatives,0.02,0.0%,Japan
2022,Fuelwood/charcoal,,,Japan
2022,Industrial crops/export crops,,,Japan
2021,Agricultural water resources,155.67,31.7%,Japan
2021,Fishery development,49.0,10.0%,Japan
2021,Rural development,44.18,9.0%,Japan
2021,Forestry development,37.25,7.6%,Japan
2021,Agricultural policy and administrative management,35.9,7.3%,Japan
2021,Forestry policy and administrative management,32.28,6.6%,Japan
2021,Agricultural development,28.74,5.8%,Japan
2021,Food crop production,22.98,4.7%,Japan
2021,Fishing policy and administrative management,22.14,4.5%,Japan
2021,Agricultural services,16.13,3.3%,Japan
