year,Sub-Sector,Bilateral ODA for,Share
2023,Agricultural policy and administrative management,1452.38,19.8%
2023,Agricultural development,1358.27,18.5%
2023,Rural development,801.09,10.9%
2023,Forestry policy and administrative management,530.66,7.2%
2023,Agricultural research,480.57,6.5%
2023,Agricultural water resources,461.53,6.3%
2023,Agricultural financial services,354.53,4.8%
2023,Forestry development,283.37,3.9%
2023,Food crop production,265.37,3.6%
2023,Agricultural land resources,151.99,2.1%
2023,Agricultural education/training,130.7,1.8%
2023,Fishery development,129.36,1.8%
2023,Fishing policy and administrative management,123.13,1.7%
2023,Agricultural alternative development,121.01,1.6%
2023,Agricultural inputs,117.36,1.6%
2023,Industrial crops/export crops,111.24,1.5%
2023,Agricultural services,106.56,1.5%
2023,Livestock,71.25,1.0%
2023,Agricultural co-operatives,65.75,0.9%
2023,Agricultural extension,53.75,0.7%
2023,Livestock/veterinary services,44.67,0.6%
2023,Plant and post-harvest protection and pest control,30.98,0.4%
2023,Fishery research,27.03,0.4%
2023,Fishery education/training,25.39,0.3%
2023,Agrarian reform,18.0,0.2%
2023,Fuelwood/charcoal,11.72,0.2%
2023,Forestry research,8.1,0.1%
2023,Forestry education/training,4.05,0.1%
2023,Fishery services,3.73,0.1%
2023,Forestry services,2.97,0.0%
2022,Agricultural development,1561.29,19.8%
2022,Agricultural policy and administrative management,1419.67,18.0%
2022,Rural development,1060.86,13.5%
2022,Agricultural financial services,728.99,9.2%
2022,Forestry policy and administrative management,504.01,6.4%
2022,Agricultural research,449.35,5.7%
2022,Agricultural water resources,403.28,5.1%
2022,Forestry development,278.09,3.5%
2022,Food crop production,219.62,2.8%
2022,Agricultural land resources,132.08,1.7%
2022,Agricultural services,129.88,1.6%
2022,Fishery development,113.36,1.4%
2022,Agricultural inputs,109.59,1.4%
2022,Agricultural education/training,107.9,1.4%
2022,Industrial crops/export crops,99.63,1.3%
2022,Agricultural alternative development,97.9,1.2%
2022,Livestock,95.18,1.2%
2022,Fishing policy and administrative management,85.88,1.1%
2022,Agricultural co-operatives,64.95,0.8%
2022,Agricultural extension,57.51,0.7%
2022,Livestock/veterinary services,47.14,0.6%
2022,Plant and post-harvest protection and pest control,38.22,0.5%
2022,Fishery education/training,20.76,0.3%
2022,Agrarian reform,11.72,0.1%
2022,Fuelwood/charcoal,11.61,0.1%
2022,Fishery services,8.19,0.1%
2022,Forestry research,8.14,0.1%
2022,Fishery research,7.53,0.1%
2022,Forestry services,4.42,0.1%
2022,Forestry education/training,4.33,0.1%
2021,Agricultural development,1541.21,20.4%
2021,Agricultural policy and administrative management,1534.96,20.3%
2021,Rural development,1060.77,14.0%
2021,Forestry policy and administrative management,546.81,7.2%
2021,Agricultural research,497.53,6.6%
2021,Agricultural water resources,396.02,5.2%
2021,Food crop production,235.63,3.1%
2021,Forestry development,205.83,2.7%
2021,Agricultural financial services,173.37,2.3%
2021,Agricultural services,164.41,2.2%
2021,Agricultural alternative development,161.55,2.1%
2021,Fishery development,145.21,1.9%
2021,Agricultural land resources,129.72,1.7%
2021,Agricultural education/training,125.81,1.7%
2021,Livestock,110.14,1.5%
2021,Agricultural co-operatives,109.21,1.4%
2021,Fishing policy and administrative management,105.03,1.4%
2021,Industrial crops/export crops,82.9,1.1%
2021,Agricultural extension,57.52,0.8%
2021,Agricultural inputs,43.13,0.6%
2021,Livestock/veterinary services,35.35,0.5%
2021,Plant and post-harvest protection and pest control,20.87,0.3%
2021,Fishery education/training,16.86,0.2%
2021,Forestry services,11.47,0.2%
2021,Agrarian reform,10.08,0.1%
2021,Fishery services,9.87,0.1%
2021,Fishery research,6.12,0.1%
2021,Fuelwood/charcoal,5.58,0.1%
2021,Forestry research,4.95,0.1%
2021,Forestry education/training,4.11,0.1%
2020,Agricultural development,1996.13,24.9%
2020,Agricultural policy and administrative management,1313.19,16.4%
2020,Rural development,980.46,12.2%
2020,Agricultural research,554.25,6.9%
2020,Agricultural financial services,512.17,6.4%
2020,Forestry policy and administrative management,497.89,6.2%
2020,Agricultural water resources,350.06,4.4%
2020,Forestry development,287.42,3.6%
2020,Food crop production,263.52,3.3%
2020,Fishery development,140.6,1.8%
2020,Agricultural services,128.08,1.6%
2020,Agricultural alternative development,126.85,1.6%
2020,Agricultural education/training,113.46,1.4%
2020,Agricultural land resources,107.91,1.3%
2020,Industrial crops/export crops,105.37,1.3%
2020,Agricultural co-operatives,102.82,1.3%
2020,Fishing policy and administrative management,98.05,1.2%
2020,Livestock,86.92,1.1%
2020,Agricultural extension,64.18,0.8%
2020,Agricultural inputs,63.7,0.8%
2020,Plant and post-harvest protection and pest control,34.21,0.4%
2020,Agrarian reform,31.26,0.4%
2020,Livestock/veterinary services,28.74,0.4%
2020,Fishery education/training,10.48,0.1%
2020,Forestry research,6.6,0.1%
2020,Forestry services,6.47,0.1%
2020,Fuelwood/charcoal,5.51,0.1%
2020,Fishery services,4.63,0.1%
2020,Fishery research,4.32,0.1%
2020,Forestry education/training,3.14,0.0%
2019,Agricultural development,1657.07,22.4%
2019,Agricultural policy and administrative management,1314.95,17.8%
2019,Rural development,1039.31,14.1%
2019,Agricultural research,572.17,7.7%
2019,Agricultural water resources,394.42,5.3%
2019,Forestry policy and administrative management,352.21,4.8%
2019,Food crop production,239.85,3.2%
2019,Forestry development,224.97,3.0%
2019,Fishery development,196.89,2.7%
2019,Agricultural financial services,186.92,2.5%
2019,Industrial crops/export crops,136.49,1.8%
2019,Agricultural alternative development,134.79,1.8%
2019,Agricultural services,125.97,1.7%
2019,Agricultural co-operatives,122.0,1.7%
2019,Agricultural education/training,120.39,1.6%
2019,Agricultural land resources,116.22,1.6%
2019,Fishing policy and administrative management,110.67,1.5%
2019,Livestock,96.23,1.3%
2019,Agricultural extension,66.5,0.9%
2019,Agricultural inputs,63.1,0.9%
2019,Livestock/veterinary services,27.22,0.4%
2019,Agrarian reform,18.53,0.3%
2019,Fishery services,14.38,0.2%
2019,Plant and post-harvest protection and pest control,12.12,0.2%
2019,Fishery education/training,11.61,0.2%
2019,Forestry research,8.11,0.1%
2019,Forestry education/training,7.42,0.1%
2019,Fuelwood/charcoal,6.75,0.1%
2019,Fishery research,5.43,0.1%
2019,Forestry services,3.31,0.0%
