"Donor","total_gender","Rank"
"Germany",10387.6,"1st"
"EU Institutions",7887.9,"2nd"
"Japan",6511.2,"3rd"
"United States",5403.9,"4th"
"United Kingdom",4356.9,"5th"
"Canada",3764.1,"6th"
"France",3726.4,"7th"
"Sweden",2612,"8th"
"Netherlands",2363,"9th"
"Switzerland",1507.6,"10th"
"Norway",1321.4,"11th"
"Australia",1144.3,"12th"
"Denmark",657.4,"13th"
"Belgium",586.3,"14th"
"Korea",532,"15th"
"Italy",485.6,"16th"
"Spain",417.7,"17th"
"Finland",362.5,"18th"
"Ireland",356.3,"19th"
"New Zealand",197.9,"20th"
"Austria",165,"21st"
"Hungary",120.6,"22nd"
"Luxembourg",119.1,"23rd"
"Portugal",46.6,"24th"
"Iceland",36.5,"25th"
"Czechia",24.7,"26th"
"Poland",4.3,"27th"
"Slovak Republic",4.1,"28th"
"Slovenia",1.8,"29th"
"Greece",0.5,"30th"
