"Year","Sector","Bilateral ODA for","Share","Donor"
"2017","Humanitarian aid",65.707551,"18%","Luxembourg"
"2018","Humanitarian aid",68.580517,"17%","Luxembourg"
"2019","Humanitarian aid",70.532914,"16%","Luxembourg"
"2020","Humanitarian aid",67.255846,"19%","Luxembourg"
"2021","Humanitarian aid",66.969451,"18%","Luxembourg"
"2017","Health & populations",41.971891,"11%","Luxembourg"
"2018","Health & populations",42.425899,"11%","Luxembourg"
"2019","Health & populations",68.364037,"16%","Luxembourg"
"2020","Health & populations",36.251759,"10%","Luxembourg"
"2021","Health & populations",53.92206,"15%","Luxembourg"
"2017","Education",49.113145,"13%","Luxembourg"
"2018","Education",58.128774,"15%","Luxembourg"
"2019","Education",58.863784,"14%","Luxembourg"
"2020","Education",43.021555,"12%","Luxembourg"
"2021","Education",50.22275,"14%","Luxembourg"
"2017","Agriculture (incl. forestry, fishing, rural development)",40.281708,"11%","Luxembourg"
"2018","Agriculture (incl. forestry, fishing, rural development)",43.716146,"11%","Luxembourg"
"2019","Agriculture (incl. forestry, fishing, rural development)",47.859392,"11%","Luxembourg"
"2020","Agriculture (incl. forestry, fishing, rural development)",40.097832,"12%","Luxembourg"
"2021","Agriculture (incl. forestry, fishing, rural development)",35.665808,"10%","Luxembourg"
"2017","Financial services & business support",20.144922,"5%","Luxembourg"
"2018","Financial services & business support",25.533656,"6%","Luxembourg"
"2019","Financial services & business support",31.410333,"7%","Luxembourg"
"2020","Financial services & business support",26.031147,"8%","Luxembourg"
"2021","Financial services & business support",29.993337,"8%","Luxembourg"
"2017","Government & civil society",29.8139,"8%","Luxembourg"
"2018","Government & civil society",28.307873,"7%","Luxembourg"
"2019","Government & civil society",38.022075,"9%","Luxembourg"
"2020","Government & civil society",25.753826,"7%","Luxembourg"
"2021","Government & civil society",27.975702,"8%","Luxembourg"
"2017","Donor administration costs",24.307737,"7%","Luxembourg"
"2018","Donor administration costs",24.170353,"6%","Luxembourg"
"2019","Donor administration costs",24.358427,"6%","Luxembourg"
"2020","Donor administration costs",23.497106,"7%","Luxembourg"
"2021","Donor administration costs",25.318987,"7%","Luxembourg"
"2017","Unspecified",30.152149,"8%","Luxembourg"
"2018","Unspecified",37.383064,"9%","Luxembourg"
"2019","Unspecified",32.705142,"8%","Luxembourg"
"2020","Unspecified",21.863984,"6%","Luxembourg"
"2021","Unspecified",24.71935,"7%","Luxembourg"
"2017","Water and sanitation",18.852943,"5%","Luxembourg"
"2018","Water and sanitation",25.864005,"7%","Luxembourg"
"2019","Water and sanitation",26.138564,"6%","Luxembourg"
"2020","Water and sanitation",21.869937,"6%","Luxembourg"
"2021","Water and sanitation",16.489844,"5%","Luxembourg"
"2017","Other social services",15.926448,"4%","Luxembourg"
"2018","Other social services",14.046626,"4%","Luxembourg"
"2019","Other social services",10.450846,"2%","Luxembourg"
"2020","Other social services",5.427786,"2%","Luxembourg"
"2021","Other social services",11.747762,"3%","Luxembourg"
"2017","Infrastructure",12.655301,"3%","Luxembourg"
"2018","Infrastructure",5.687301,"1%","Luxembourg"
"2019","Infrastructure",1.94736,"0%","Luxembourg"
"2020","Infrastructure",6.276785,"2%","Luxembourg"
"2021","Infrastructure",7.007904,"2%","Luxembourg"
"2017","Other multisector",7.495446,"2%","Luxembourg"
"2018","Other multisector",9.377053,"2%","Luxembourg"
"2019","Other multisector",7.994083,"2%","Luxembourg"
"2020","Other multisector",22.467606,"6%","Luxembourg"
"2021","Other multisector",5.116117,"1%","Luxembourg"
"2017","Energy",1.257625,"0%","Luxembourg"
"2018","Energy",2.338156,"1%","Luxembourg"
"2019","Energy",4.312117,"1%","Luxembourg"
"2020","Energy",2.739669,"1%","Luxembourg"
"2021","Energy",3.959278,"1%","Luxembourg"
"2017","Food aid and commodity assistance",5.307126,"1%","Luxembourg"
"2018","Food aid and commodity assistance",1.074231,"0%","Luxembourg"
