"Year","Sector","Bilateral ODA for","Share","Donor"
"2017","Humanitarian aid",392.335615,"19.38%","Denmark"
"2018","Humanitarian aid",384.425873,"19.39%","Denmark"
"2019","Humanitarian aid",460.810616,"22.68%","Denmark"
"2020","Humanitarian aid",393.995716,"21.44%","Denmark"
"2021","Humanitarian aid",402.889743,"19.61%","Denmark"
"2017","Government & civil society",278.874091,"13.78%","Denmark"
"2018","Government & civil society",246.745683,"12.45%","Denmark"
"2019","Government & civil society",295.854661,"14.56%","Denmark"
"2020","Government & civil society",279.813678,"15.23%","Denmark"
"2021","Government & civil society",317.394508,"15.45%","Denmark"
"2017","Health & populations",127.97119,"6.32%","Denmark"
"2018","Health & populations",141.377841,"7.13%","Denmark"
"2019","Health & populations",114.260861,"5.62%","Denmark"
"2020","Health & populations",108.579971,"5.91%","Denmark"
"2021","Health & populations",193.540659,"9.42%","Denmark"
"2017","Unspecified",221.80911,"10.96%","Denmark"
"2018","Unspecified",170.29908,"8.59%","Denmark"
"2019","Unspecified",216.173239,"10.64%","Denmark"
"2020","Unspecified",227.410678,"12.38%","Denmark"
"2021","Unspecified",173.478472,"8.44%","Denmark"
"2017","Donor administration costs",162.553106,"8.03%","Denmark"
"2018","Donor administration costs",162.564986,"8.20%","Denmark"
"2019","Donor administration costs",156.012484,"7.68%","Denmark"
"2020","Donor administration costs",171.172875,"9.32%","Denmark"
"2021","Donor administration costs",170.485354,"8.30%","Denmark"
"2017","Energy",49.622276,"2.45%","Denmark"
"2018","Energy",85.48332,"4.31%","Denmark"
"2019","Energy",98.761196,"4.86%","Denmark"
"2020","Energy",70.694293,"3.85%","Denmark"
"2021","Energy",104.024003,"5.06%","Denmark"
"2017","Conflict, peace & security",154.793709,"7.65%","Denmark"
"2018","Conflict, peace & security",112.081641,"5.65%","Denmark"
"2019","Conflict, peace & security",117.638152,"5.79%","Denmark"
"2020","Conflict, peace & security",86.771932,"4.72%","Denmark"
"2021","Conflict, peace & security",93.33677,"4.54%","Denmark"
"2017","Other social services",8.481306,"0.42%","Denmark"
"2018","Other social services",58.542755,"2.95%","Denmark"
"2019","Other social services",68.02814,"3.35%","Denmark"
"2020","Other social services",68.840742,"3.75%","Denmark"
"2021","Other social services",93.237152,"4.54%","Denmark"
"2017","Water and sanitation",45.029124,"2.22%","Denmark"
"2018","Water and sanitation",40.714441,"2.05%","Denmark"
"2019","Water and sanitation",43.212054,"2.13%","Denmark"
"2020","Water and sanitation",30.098434,"1.64%","Denmark"
"2021","Water and sanitation",85.580893,"4.17%","Denmark"
"2017","Education",91.172448,"4.50%","Denmark"
"2018","Education",135.471355,"6.83%","Denmark"
"2019","Education",97.167954,"4.78%","Denmark"
"2020","Education",116.335819,"6.33%","Denmark"
"2021","Education",76.209248,"3.71%","Denmark"
"2017","Agriculture (incl. forestry, fishing, rural development)",116.879845,"5.77%","Denmark"
"2018","Agriculture (incl. forestry, fishing, rural development)",119.401987,"6.02%","Denmark"
"2019","Agriculture (incl. forestry, fishing, rural development)",68.040463,"3.35%","Denmark"
"2020","Agriculture (incl. forestry, fishing, rural development)",74.629906,"4.06%","Denmark"
"2021","Agriculture (incl. forestry, fishing, rural development)",64.523637,"3.14%","Denmark"
"2017","Refugees in donor countries",131.994407,"6.52%","Denmark"
"2018","Refugees in donor countries",71.8608,"3.63%","Denmark"
"2019","Refugees in donor countries",60.361355,"2.97%","Denmark"
"2020","Refugees in donor countries",61.354576,"3.34%","Denmark"
"2021","Refugees in donor countries",63.198742,"3.08%","Denmark"
"2017","Environmental protection",62.228227,"3.07%","Denmark"
"2018","Environmental protection",46.655414,"2.35%","Denmark"
"2019","Environmental protection",39.390634,"1.94%","Denmark"
"2020","Environmental protection",36.007487,"1.96%","Denmark"
"2021","Environmental protection",62.674461,"3.05%","Denmark"
"2017","Financial services & business support",60.655754,"3.00%","Denmark"
"2018","Financial services & business support",67.477159,"3.40%","Denmark"
"2019","Financial services & business support",91.073359,"4.48%","Denmark"
"2020","Financial services & business support",31.427926,"1.71%","Denmark"
"2021","Financial services & business support",59.654038,"2.90%","Denmark"
"2017","Debt relief",2.70615,"0.13%","Denmark"
"2018","Debt relief",3.280997,"0.17%","Denmark"
"2019","Debt relief",7.19475,"0.35%","Denmark"
"2020","Debt relief",8.337169,"0.45%","Denmark"
"2021","Debt relief",39.199268,"1.91%","Denmark"
"2017","Other multisector",49.547026,"2.45%","Denmark"
"2018","Other multisector",39.434148,"1.99%","Denmark"
"2019","Other multisector",50.07304,"2.46%","Denmark"
"2020","Other multisector",36.575086,"1.99%","Denmark"
"2021","Other multisector",38.474907,"1.87%","Denmark"
"2017","Industry, construction & mining",23.370647,"1.15%","Denmark"
"2018","Industry, construction & mining",27.214231,"1.37%","Denmark"
"2019","Industry, construction & mining",15.653633,"0.77%","Denmark"
"2020","Industry, construction & mining",14.111127,"0.77%","Denmark"
"2021","Industry, construction & mining",10.632123,"0.52%","Denmark"
"2017","Food aid and commodity assistance",8.535593,"0.42%","Denmark"
"2018","Food aid and commodity assistance",22.914754,"1.16%","Denmark"
"2019","Food aid and commodity assistance",20.807289,"1.02%","Denmark"
"2020","Food aid and commodity assistance",15.993376,"0.87%","Denmark"
"2021","Food aid and commodity assistance",4.165606,"0.20%","Denmark"
"2017","Trade policy",15.182899,"0.75%","Denmark"
