"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",3.471291,"0.162322992870966%","Finland"
2018,"Health policy and administrative management",1.253666,"0.0558128274507012%","Finland"
2019,"Health policy and administrative management",1.408637,"0.0619020752119022%","Finland"
2020,"Health policy and administrative management",2.530139,"0.0624246812346519%","Finland"
2021,"Health policy and administrative management",1.34,"0.0293973725111093%","Finland"
2017,"Medical education/training",0.062827,"0.00293788872010562%","Finland"
2018,"Medical education/training",0.056667,"0.00252279753391165%","Finland"
2019,"Medical education/training",0.005642,"0.00024793577646019%","Finland"
2021,"Medical education/training",0.069181,"0.00151771614006795%","Finland"
2017,"Medical research",0.28154,"0.0131652504537625%","Finland"
2018,"Medical research",0.015614,"0.000695130511488107%","Finland"
2019,"Medical research",0.020719,"0.000910489427947301%","Finland"
2021,"Medical research",0.012276,"0.000269315033542073%","Finland"
2017,"Medical services",1.906189,"0.0891363770590577%","Finland"
2018,"Medical services",4.407266,"0.19621013634201%","Finland"
2019,"Medical services",1.656317,"0.0727862888087934%","Finland"
2020,"Medical services",3.863788,"0.0953290448699748%","Finland"
2021,"Medical services",2.396628,"0.0525780343929514%","Finland"
2017,"Basic health care",0.246415,"0.0115227505525463%","Finland"
2018,"Basic health care",3.490152,"0.155380501148408%","Finland"
2019,"Basic health care",5.700426,"0.250503287214437%","Finland"
2020,"Basic health care",3.547443,"0.0875240445181459%","Finland"
2021,"Basic health care",1.681012,"0.0368786089251081%","Finland"
2017,"Basic health infrastructure",0.17914,"0.00837686640011017%","Finland"
2018,"Basic health infrastructure",0.244615,"0.0108901850946371%","Finland"
2019,"Basic health infrastructure",0.122424,"0.0053798811586959%","Finland"
2020,"Basic health infrastructure",0.247388,"0.00610366349092997%","Finland"
2021,"Basic health infrastructure",0.086217,"0.00189145766103755%","Finland"
2017,"Basic nutrition",1.175406,"0.0549638217477274%","Finland"
2018,"Basic nutrition",0.178546,"0.00794881339209399%","Finland"
2019,"Basic nutrition",0.296802,"0.0130428632266815%","Finland"
2020,"Basic nutrition",0.252436,"0.00622820992528497%","Finland"
2021,"Basic nutrition",0.416433,"0.00913584778128267%","Finland"
2017,"Infectious disease control",0.082167,"0.00384225734898879%","Finland"
2018,"Infectious disease control",0.445067,"0.0198142469166439%","Finland"
2019,"Infectious disease control",0.111512,"0.00490035701960806%","Finland"
2020,"Infectious disease control",7.993065,"0.197208348913974%","Finland"
2021,"Infectious disease control",18.596283,"0.407971536323141%","Finland"
2017,"Health education",4.557257,"0.213104460421831%","Finland"
2018,"Health education",2.707186,"0.120523093946038%","Finland"
2019,"Health education",3.110366,"0.136683978958769%","Finland"
2020,"Health education",3.670235,"0.0905536217303724%","Finland"
2021,"Health education",3.037331,"0.0666339931690598%","Finland"
2017,"Malaria control",0.040862,"0.00191077098828459%","Finland"
2018,"Malaria control",0.161005,"0.00716789342911122%","Finland"
2019,"Malaria control",0.017359,"0.000762835367524359%","Finland"
2020,"Malaria control",0.017105,"0.000422021941292048%","Finland"
2021,"Malaria control",0.01668,"0.000365931472750226%","Finland"
2017,"Tuberculosis control",0.364399,"0.0170398668043639%","Finland"
2018,"Tuberculosis control",0.251819,"0.0112109049745372%","Finland"
2019,"Tuberculosis control",0.195232,"0.00857940402514636%","Finland"
2020,"Tuberculosis control",0.166749,"0.00411410328491714%","Finland"
2021,"Tuberculosis control",0.156102,"0.00342461839084267%","Finland"
2017,"Health personnel development",0.323777,"0.015140318591205%","Finland"
2018,"Health personnel development",0.823005,"0.0366399312544684%","Finland"
2019,"Health personnel development",0.81458,"0.0357964418271786%","Finland"
2020,"Health personnel development",0.858861,"0.0211901892148512%","Finland"
2021,"Health personnel development",0.1934,"0.00424287451018548%","Finland"
2018,"Population policy and administrative management",0.634295,"0.0282386196864576%","Finland"
2019,"Population policy and administrative management",1.129721,"0.0496452061890078%","Finland"
2020,"Population policy and administrative management",1.549325,"0.0382256149776265%","Finland"
