"Sector","climate-related ODA to","Share","Donor"
"Environmental protection",64.3,"26%","Belgium"
"Agriculture (incl. forestry, fishing, rural development)",61.5,"24%","Belgium"
"Humanitarian aid",27.5,"11%","Belgium"
"Education",18.4,"7%","Belgium"
"Other multisector",18.4,"7%","Belgium"
"Financial services and business support",13.2,"5%","Belgium"
"Water and sanitation",10.5,"4%","Belgium"
"Health",9.9,"4%","Belgium"
"Unspecified",9.7,"4%","Belgium"
"Government & civil society",8.8,"4%","Belgium"
"Other social services",8,"3%","Belgium"
"Energy",1.1,"0%","Belgium"
"Trade policy",0.7,"0%","Belgium"
"Conflict, peace and security",0,"0%","Belgium"
"Donor administration costs",0,"0%","Belgium"
"Food aid and commodity assistance",0,"0%","Belgium"
"Industry, construction & mining",0,"0%","Belgium"
"Infrastructure",0,"0%","Belgium"
"Tourism",0,"0%","Belgium"
