"Year","Income Group","ODA","Share","Donor"
"2017","WorldBank Low income countries",239.596529,"45%","Ireland"
"2018","WorldBank Low income countries",231.139851,"42%","Ireland"
"2019","WorldBank Low income countries",234.590849,"39%","Ireland"
"2020","WorldBank Low income countries",233.898697,"43%","Ireland"
"2021","WorldBank Low income countries",243.798361,"39%","Ireland"
"2017","WorldBank Lower-middle income countries",87.220809,"16%","Ireland"
"2018","WorldBank Lower-middle income countries",91.354405,"17%","Ireland"
"2019","WorldBank Lower-middle income countries",94.75853,"16%","Ireland"
"2020","WorldBank Lower-middle income countries",91.536234,"17%","Ireland"
"2021","WorldBank Lower-middle income countries",95.185825,"15%","Ireland"
"2017","WorldBank Upper-middle income countries",31.661658,"6%","Ireland"
"2018","WorldBank Upper-middle income countries",24.694305,"5%","Ireland"
"2019","WorldBank Upper-middle income countries",24.435775,"4%","Ireland"
"2020","WorldBank Upper-middle income countries",27.441547,"5%","Ireland"
"2021","WorldBank Upper-middle income countries",21.943307,"4%","Ireland"
"2017","Part I Unallocated by income",5.45354,"1%","Ireland"
"2018","Part I Unallocated by income",7.218857,"1%","Ireland"
"2019","Part I Unallocated by income",9.096945,"2%","Ireland"
"2020","Part I Unallocated by income",7.698574,"1%","Ireland"
"2021","Part I Unallocated by income",19.500626,"3%","Ireland"
"2017","Countries not classified by the World Bank",0,"0%","Ireland"
"2018","Countries not classified by the World Bank",0.055836,"0%","Ireland"
"2019","Countries not classified by the World Bank",1.429477,"0%","Ireland"
"2020","Countries not classified by the World Bank",1.806651,"0%","Ireland"
"2021","Countries not classified by the World Bank",0.591296,"0%","Ireland"
"2017","WorldBank High income countries",0.019208,"0%","Ireland"
"2018","WorldBank High income countries",0,"0%","Ireland"
"2019","WorldBank High income countries",0,"0%","Ireland"
"2020","WorldBank High income countries",0.356338,"0%","Ireland"
"2021","WorldBank High income countries",0,"0%","Ireland"
