"Year","Sector","climate-related ODA to","Share","Donor"
"2017","Water and sanitation",8.5407739989544,"10%","Austria"
"2018","Water and sanitation",14.6448428874212,"20%","Austria"
"2019","Water and sanitation",10.1202694362985,"13%","Austria"
"2020","Water and sanitation",11.7133461405499,"6%","Austria"
"2021","Water and sanitation",54.2521798101852,"37%","Austria"
"2017","Energy",27.2850298417887,"32%","Austria"
"2018","Energy",18.8410041831765,"26%","Austria"
"2019","Energy",8.28178845345992,"11%","Austria"
"2020","Energy",92.2660394013554,"50%","Austria"
"2021","Energy",27.0844810655957,"19%","Austria"
"2017","Agriculture (incl. forestry, fishing, rural development)",20.5415744748062,"24%","Austria"
"2018","Agriculture (incl. forestry, fishing, rural development)",15.43640871623,"21%","Austria"
"2019","Agriculture (incl. forestry, fishing, rural development)",17.2876317571218,"22%","Austria"
"2020","Agriculture (incl. forestry, fishing, rural development)",17.6559147673179,"10%","Austria"
"2021","Agriculture (incl. forestry, fishing, rural development)",25.4519235910332,"18%","Austria"
"2017","Other multisector",8.05136869176104,"10%","Austria"
"2018","Other multisector",7.5195274604652,"10%","Austria"
"2019","Other multisector",20.5304676088794,"26%","Austria"
"2020","Other multisector",13.8396082862592,"7%","Austria"
"2021","Other multisector",14.2862455703689,"10%","Austria"
"2017","Environmental protection",3.1416616335644,"4%","Austria"
"2018","Environmental protection",4.45584688481648,"6%","Austria"
"2019","Environmental protection",5.09591442981424,"7%","Austria"
"2020","Environmental protection",8.16342626799528,"4%","Austria"
"2021","Environmental protection",9.32727083759936,"6%","Austria"
"2017","Financial services and business support",4.24290607235352,"5%","Austria"
"2018","Financial services and business support",1.64981924160752,"2%","Austria"
"2019","Financial services and business support",3.2966833294236,"4%","Austria"
"2020","Financial services and business support",5.40657773963088,"3%","Austria"
"2021","Financial services and business support",6.30953483814656,"4%","Austria"
"2017","Humanitarian aid",5.00551287000168,"6%","Austria"
"2018","Humanitarian aid",0.47246193345728,"1%","Austria"
"2019","Humanitarian aid",2.45773066598624,"3%","Austria"
"2020","Humanitarian aid",3.32967604535272,"2%","Austria"
"2021","Humanitarian aid",2.968305965378,"2%","Austria"
"2017","Government & civil society",0.50835287192392,"1%","Austria"
"2018","Government & civil society",0.14578196420448,"0%","Austria"
"2019","Government & civil society",0.4787654884052,"1%","Austria"
"2020","Government & civil society",1.42925807537912,"1%","Austria"
"2021","Government & civil society",2.02708052140328,"1%","Austria"
"2017","Education",0.00635416050696,"0%","Austria"
"2018","Education",2.05728044304288,"3%","Austria"
"2019","Education",1.29030891592752,"2%","Austria"
"2020","Education",0.09267564712192,"0%","Austria"
"2021","Education",2.00666961259048,"1%","Austria"
"2017","Conflict, peace and security",0.0571895531276,"0%","Austria"
"2018","Conflict, peace and security",0,"0%","Austria"
"2019","Conflict, peace and security",0.11369171407824,"0%","Austria"
"2020","Conflict, peace and security",1.20146136849048,"1%","Austria"
"2021","Conflict, peace and security",1.18259182066344,"1%","Austria"
"2017","Infrastructure",3.27998560350536,"4%","Austria"
"2018","Infrastructure",1.02233561229104,"1%","Austria"
"2019","Infrastructure",6.7255736818392,"9%","Austria"
"2020","Infrastructure",0.2065181235948,"0%","Austria"
"2021","Infrastructure",0.16479384016632,"0%","Austria"
"2017","Industry, construction & mining",0.2541769631032,"0%","Austria"
"2018","Industry, construction & mining",3.4597439291928,"5%","Austria"
"2019","Industry, construction & mining",1.07694744475504,"1%","Austria"
"2020","Industry, construction & mining",30.075729272021,"16%","Austria"
"2021","Industry, construction & mining",0.08041645044448,"0%","Austria"
"2017","Other social services",2.57455676187752,"3%","Austria"
"2018","Other social services",0,"0%","Austria"
"2019","Other social services",0.62057702479,"1%","Austria"
"2020","Other social services",0,"0%","Austria"
"2021","Other social services",0.0191932125484,"0%","Austria"
"2017","Health",0.01906353580336,"0%","Austria"
"2018","Health",2.2362016684412,"3%","Austria"
"2019","Health",0,"0%","Austria"
"2020","Health",0,"0%","Austria"
"2021","Health",0.0011702535528,"0%","Austria"
"2017","Donor administration costs",0,"0%","Austria"
"2018","Donor administration costs",0.9851268207244,"1%","Austria"
"2019","Donor administration costs",0,"0%","Austria"
"2020","Donor administration costs",0,"0%","Austria"
"2021","Donor administration costs",0,"0%","Austria"
"2017","Tourism",0,"0%","Austria"
"2018","Tourism",0,"0%","Austria"
"2019","Tourism",0,"0%","Austria"
"2020","Tourism",0,"0%","Austria"
"2021","Tourism",0,"0%","Austria"
"2017","Unspecified",0.72160469771848,"1%","Austria"
"2018","Unspecified",0.50221694789032,"1%","Austria"
"2019","Unspecified",0.4648805881436,"1%","Austria"
"2020","Unspecified",0,"0%","Austria"
"2021","Unspecified",0,"0%","Austria"
