"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2017","Ethiopia",22.566918,NA,"3.50%","Finland"
"2018","Ethiopia",19.961422,NA,"4.27%","Finland"
"2019","Ethiopia",25.198836,NA,"4.17%","Finland"
"2020","Ethiopia",27.494357,NA,"4.70%","Finland"
"2021","Ethiopia",36.663321,NA,"6.04%","Finland"
"2017","Ethiopia",NA,2.932389,"6.75%","Finland"
"2018","Ethiopia",NA,5.392384,"9.64%","Finland"
"2019","Ethiopia",NA,0,NA,"Finland"
"2020","Ethiopia",NA,0,NA,"Finland"
"2021","Ethiopia",NA,0.551088,"0.56%","Finland"
"2017","Ethiopia",NA,NA,"3.71%","Finland"
"2018","Ethiopia",NA,NA,"4.84%","Finland"
"2019","Ethiopia",NA,NA,"3.79%","Finland"
"2020","Ethiopia",NA,NA,"3.93%","Finland"
"2021","Ethiopia",NA,NA,"5.29%","Finland"
"2017","Afghanistan",23.317188,NA,"3.62%","Finland"
"2018","Afghanistan",24.170868,NA,"5.17%","Finland"
"2019","Afghanistan",28.625132,NA,"4.74%","Finland"
"2020","Afghanistan",29.726305,NA,"5.08%","Finland"
"2021","Afghanistan",35.803895,NA,"5.90%","Finland"
"2017","Afghanistan",NA,0,NA,"Finland"
"2018","Afghanistan",NA,0,NA,"Finland"
"2019","Afghanistan",NA,0,NA,"Finland"
"2020","Afghanistan",NA,0,NA,"Finland"
"2021","Afghanistan",NA,0,NA,"Finland"
"2017","Afghanistan",NA,NA,"3.39%","Finland"
"2018","Afghanistan",NA,NA,"4.62%","Finland"
"2019","Afghanistan",NA,NA,"4.31%","Finland"
"2020","Afghanistan",NA,NA,"4.25%","Finland"
"2021","Afghanistan",NA,NA,"5.09%","Finland"
"2017","Nepal",23.78855,NA,"3.69%","Finland"
"2018","Nepal",17.685938,NA,"3.78%","Finland"
"2019","Nepal",14.147577,NA,"2.34%","Finland"
"2020","Nepal",21.9191,NA,"3.75%","Finland"
"2021","Nepal",21.595301,NA,"3.56%","Finland"
"2017","Nepal",NA,1.936155,"4.46%","Finland"
"2018","Nepal",NA,2.355747,"4.21%","Finland"
"2019","Nepal",NA,2.058601,"3.39%","Finland"
"2020","Nepal",NA,0,NA,"Finland"
"2021","Nepal",NA,1.482567,"1.52%","Finland"
"2017","Nepal",NA,NA,"3.74%","Finland"
"2018","Nepal",NA,NA,"3.83%","Finland"
"2019","Nepal",NA,NA,"2.44%","Finland"
"2020","Nepal",NA,NA,"3.14%","Finland"
"2021","Nepal",NA,NA,"3.28%","Finland"
"2017","Somalia",17.206126,NA,"2.67%","Finland"
"2018","Somalia",15.465079,NA,"3.31%","Finland"
"2019","Somalia",16.969797,NA,"2.81%","Finland"
"2020","Somalia",30.646348,NA,"5.24%","Finland"
"2021","Somalia",22.355757,NA,"3.69%","Finland"
"2017","Somalia",NA,0,NA,"Finland"
"2018","Somalia",NA,0,NA,"Finland"
"2019","Somalia",NA,0,NA,"Finland"
"2020","Somalia",NA,0,NA,"Finland"
"2021","Somalia",NA,0,NA,"Finland"
"2017","Somalia",NA,NA,"2.50%","Finland"
"2018","Somalia",NA,NA,"2.96%","Finland"
"2019","Somalia",NA,NA,"2.55%","Finland"
"2020","Somalia",NA,NA,"4.38%","Finland"
"2021","Somalia",NA,NA,"3.18%","Finland"
"2017","Tanzania",19.284162,NA,"2.99%","Finland"
"2018","Tanzania",15.851598,NA,"3.39%","Finland"
"2019","Tanzania",14.481903,NA,"2.40%","Finland"
"2020","Tanzania",16.716699,NA,"2.86%","Finland"
"2021","Tanzania",20.396394,NA,"3.36%","Finland"
"2017","Tanzania",NA,0,NA,"Finland"
"2018","Tanzania",NA,0,NA,"Finland"
"2019","Tanzania",NA,0,NA,"Finland"
"2020","Tanzania",NA,0,NA,"Finland"
"2021","Tanzania",NA,0.345,"0.35%","Finland"
"2017","Tanzania",NA,NA,"2.80%","Finland"
"2018","Tanzania",NA,NA,"3.03%","Finland"
"2019","Tanzania",NA,NA,"2.18%","Finland"
"2020","Tanzania",NA,NA,"2.39%","Finland"
"2021","Tanzania",NA,NA,"2.95%","Finland"
"2017","Mozambique",19.335218,NA,"3.00%","Finland"
"2018","Mozambique",14.755086,NA,"3.16%","Finland"
"2019","Mozambique",19.199749,NA,"3.18%","Finland"
"2020","Mozambique",20.600467,NA,"3.52%","Finland"
"2021","Mozambique",17.260947,NA,"2.85%","Finland"
"2017","Mozambique",NA,0,NA,"Finland"
"2018","Mozambique",NA,0,NA,"Finland"
"2019","Mozambique",NA,0,NA,"Finland"
"2020","Mozambique",NA,0,NA,"Finland"
"2021","Mozambique",NA,0,NA,"Finland"
"2017","Mozambique",NA,NA,"2.81%","Finland"
"2018","Mozambique",NA,NA,"2.82%","Finland"
"2019","Mozambique",NA,NA,"2.89%","Finland"
"2020","Mozambique",NA,NA,"2.95%","Finland"
"2021","Mozambique",NA,NA,"2.45%","Finland"
"2017","Syrian Arab Republic",11.824984,NA,"1.84%","Finland"
"2018","Syrian Arab Republic",10.925349,NA,"2.34%","Finland"
"2019","Syrian Arab Republic",18.880864,NA,"3.13%","Finland"
"2020","Syrian Arab Republic",17.444687,NA,"2.98%","Finland"
"2021","Syrian Arab Republic",16.933509,NA,"2.79%","Finland"
"2017","Syrian Arab Republic",NA,0,NA,"Finland"
"2018","Syrian Arab Republic",NA,0,NA,"Finland"
"2019","Syrian Arab Republic",NA,0,NA,"Finland"
"2020","Syrian Arab Republic",NA,0,NA,"Finland"
"2021","Syrian Arab Republic",NA,0,NA,"Finland"
"2017","Syrian Arab Republic",NA,NA,"1.72%","Finland"
"2018","Syrian Arab Republic",NA,NA,"2.09%","Finland"
"2019","Syrian Arab Republic",NA,NA,"2.84%","Finland"
"2020","Syrian Arab Republic",NA,NA,"2.50%","Finland"
"2021","Syrian Arab Republic",NA,NA,"2.41%","Finland"
"2017","Myanmar",13.449953,NA,"2.09%","Finland"
"2018","Myanmar",10.608858,NA,"2.27%","Finland"
"2019","Myanmar",17.336783,NA,"2.87%","Finland"
"2020","Myanmar",26.258461,NA,"4.49%","Finland"
"2021","Myanmar",13.242848,NA,"2.18%","Finland"
"2017","Myanmar",NA,0,NA,"Finland"
"2018","Myanmar",NA,0,NA,"Finland"
"2019","Myanmar",NA,0,NA,"Finland"
"2020","Myanmar",NA,2.837435,"2.48%","Finland"
"2021","Myanmar",NA,2.000013,"2.05%","Finland"
"2017","Myanmar",NA,NA,"1.96%","Finland"
"2018","Myanmar",NA,NA,"2.03%","Finland"
"2019","Myanmar",NA,NA,"2.61%","Finland"
"2020","Myanmar",NA,NA,"4.16%","Finland"
"2021","Myanmar",NA,NA,"2.16%","Finland"
"2017","Kenya",12.765626,NA,"1.98%","Finland"
"2018","Kenya",8.455688,NA,"1.81%","Finland"
"2019","Kenya",10.100158,NA,"1.67%","Finland"
"2020","Kenya",12.076278,NA,"2.06%","Finland"
"2021","Kenya",10.880527,NA,"1.79%","Finland"
"2017","Kenya",NA,5.47955,"12.62%","Finland"
"2018","Kenya",NA,8.754052,"15.65%","Finland"
"2019","Kenya",NA,0,NA,"Finland"
"2020","Kenya",NA,0.670422,"0.59%","Finland"
"2021","Kenya",NA,0.307664,"0.32%","Finland"
"2017","Kenya",NA,NA,"2.65%","Finland"
"2018","Kenya",NA,NA,"3.29%","Finland"
"2019","Kenya",NA,NA,"1.52%","Finland"
"2020","Kenya",NA,NA,"1.82%","Finland"
"2021","Kenya",NA,NA,"1.59%","Finland"
"2017","Ukraine",8.151249,NA,"1.27%","Finland"
"2018","Ukraine",5.876173,NA,"1.26%","Finland"
"2019","Ukraine",9.787593,NA,"1.62%","Finland"
"2020","Ukraine",8.019287,NA,"1.37%","Finland"
"2021","Ukraine",10.461308,NA,"1.72%","Finland"
"2017","Ukraine",NA,0,NA,"Finland"
"2018","Ukraine",NA,0,NA,"Finland"
"2019","Ukraine",NA,0,NA,"Finland"
