"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",44.776813,"31.43%","Switzerland"
2018,"Health policy and administrative management",39.287237,"28.88%","Switzerland"
2019,"Health policy and administrative management",41.408564,"28.18%","Switzerland"
2020,"Health policy and administrative management",58.850028,"21.42%","Switzerland"
2021,"Health policy and administrative management",74.989251,"16.32%","Switzerland"
2017,"Medical education/training",1.625877,"1.14%","Switzerland"
2018,"Medical education/training",0.401717,"0.3%","Switzerland"
2019,"Medical education/training",0.38612,"0.26%","Switzerland"
2020,"Medical education/training",0.381687,"0.14%","Switzerland"
2021,"Medical education/training",0.963698,"0.21%","Switzerland"
2017,"Medical research",0.165697,"0.12%","Switzerland"
2019,"Medical research",0.301716,"0.21%","Switzerland"
2020,"Medical research",0.069423,"0.03%","Switzerland"
2021,"Medical research",0.512497,"0.11%","Switzerland"
2017,"Medical services",13.102111,"9.2%","Switzerland"
2018,"Medical services",6.637971,"4.88%","Switzerland"
2019,"Medical services",7.523387,"5.12%","Switzerland"
2020,"Medical services",11.019716,"4.01%","Switzerland"
2021,"Medical services",5.518031,"1.2%","Switzerland"
2017,"Basic health care",38.391867,"26.95%","Switzerland"
2018,"Basic health care",38.63085,"28.4%","Switzerland"
2019,"Basic health care",39.566084,"26.93%","Switzerland"
2020,"Basic health care",59.357757,"21.61%","Switzerland"
2021,"Basic health care",95.145005,"20.7%","Switzerland"
2017,"Basic health infrastructure",1.428267,"1%","Switzerland"
2018,"Basic health infrastructure",1.967933,"1.45%","Switzerland"
2019,"Basic health infrastructure",4.188934,"2.85%","Switzerland"
2020,"Basic health infrastructure",6.638599,"2.42%","Switzerland"
2021,"Basic health infrastructure",3.855686,"0.84%","Switzerland"
2017,"Basic nutrition",6.357779,"4.46%","Switzerland"
2018,"Basic nutrition",12.916148,"9.49%","Switzerland"
2019,"Basic nutrition",9.596088,"6.53%","Switzerland"
2020,"Basic nutrition",8.782662,"3.2%","Switzerland"
2021,"Basic nutrition",8.157132,"1.78%","Switzerland"
2017,"Infectious disease control",11.3641,"7.98%","Switzerland"
2018,"Infectious disease control",10.87753,"8%","Switzerland"
2019,"Infectious disease control",10.8564,"7.39%","Switzerland"
2020,"Infectious disease control",68.126622,"24.8%","Switzerland"
2021,"Infectious disease control",93.428161,"20.33%","Switzerland"
2017,"Health education",1.838757,"1.29%","Switzerland"
2018,"Health education",2.936573,"2.16%","Switzerland"
2019,"Health education",5.318746,"3.62%","Switzerland"
2020,"Health education",11.108679,"4.04%","Switzerland"
2021,"Health education",9.459055,"2.06%","Switzerland"
2017,"Malaria control",3.511304,"2.46%","Switzerland"
2018,"Malaria control",3.680793,"2.71%","Switzerland"
2019,"Malaria control",4.928648,"3.35%","Switzerland"
2020,"Malaria control",3.909976,"1.42%","Switzerland"
2021,"Malaria control",3.229126,"0.7%","Switzerland"
2018,"Tuberculosis control",0.360209,"0.26%","Switzerland"
2019,"Tuberculosis control",0.448773,"0.31%","Switzerland"
2020,"Tuberculosis control",0.345988,"0.13%","Switzerland"
2021,"Tuberculosis control",0.18616,"0.04%","Switzerland"
2017,"Health personnel development",0.082549,"0.06%","Switzerland"
2018,"Health personnel development",0.086477,"0.06%","Switzerland"
2019,"Health personnel development",0.06528,"0.04%","Switzerland"
2020,"Health personnel development",0.657757,"0.24%","Switzerland"
2021,"Health personnel development",0.111468,"0.02%","Switzerland"
2017,"Population policy and administrative management",0.097984,"0.07%","Switzerland"
2018,"Population policy and administrative management",0.181187,"0.13%","Switzerland"
2019,"Population policy and administrative management",0.005486,"0%","Switzerland"
2021,"Population policy and administrative management",0.046363,"0.01%","Switzerland"
2017,"Reproductive health care",10.536531,"7.4%","Switzerland"
2018,"Reproductive health care",10.269662,"7.55%","Switzerland"
2019,"Reproductive health care",11.683484,"7.95%","Switzerland"
2020,"Reproductive health care",11.840104,"4.31%","Switzerland"
2021,"Reproductive health care",11.330803,"2.47%","Switzerland"
2017,"Family planning",0.226894,"0.16%","Switzerland"
2018,"Family planning",0.021922,"0.02%","Switzerland"
2020,"Family planning",0.219286,"0.08%","Switzerland"
2021,"Family planning",0.40395,"0.09%","Switzerland"
2017,"STD control including HIV/AIDS",8.559756,"6.01%","Switzerland"
2018,"STD control including HIV/AIDS",6.431733,"4.73%","Switzerland"
2019,"STD control including HIV/AIDS",6.854418,"4.66%","Switzerland"
2020,"STD control including HIV/AIDS",7.500055,"2.73%","Switzerland"
2021,"STD control including HIV/AIDS",8.069842,"1.76%","Switzerland"
2017,"Personnel development for population and reproductive health",0.389387,"0.27%","Switzerland"
2018,"Personnel development for population and reproductive health",0.094759,"0.07%","Switzerland"
2019,"Personnel development for population and reproductive health",0.073508,"0.05%","Switzerland"
2020,"Personnel development for population and reproductive health",0.148244,"0.05%","Switzerland"
2021,"Personnel development for population and reproductive health",0.285436,"0.06%","Switzerland"
2018,"NCDs control, general",0.091854,"0.07%","Switzerland"
2019,"NCDs control, general",0.267798,"0.18%","Switzerland"
2020,"NCDs control, general",2.713782,"0.99%","Switzerland"
2021,"NCDs control, general",3.813963,"0.83%","Switzerland"
2018,"Control of harmful use of alcohol and drugs",0.059972,"0.04%","Switzerland"
2019,"Control of harmful use of alcohol and drugs",0.14318,"0.1%","Switzerland"
2020,"Control of harmful use of alcohol and drugs",0.039781,"0.01%","Switzerland"
2021,"Control of harmful use of alcohol and drugs",0.205909,"0.04%","Switzerland"
2018,"Promotion of mental health and well-being",1.033157,"0.76%","Switzerland"
2019,"Promotion of mental health and well-being",3.057556,"2.08%","Switzerland"
2020,"Promotion of mental health and well-being",5.265251,"1.92%","Switzerland"
2021,"Promotion of mental health and well-being",5.375022,"1.17%","Switzerland"
2018,"Other prevention and treatment of NCDs",0.080123,"0.06%","Switzerland"
