"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",0.642716,"0.0830567321381749%","Austria"
2018,"Health policy and administrative management",1.100829,"0.150661515003414%","Austria"
2019,"Health policy and administrative management",0.900452,"0.0991901663322148%","Austria"
2020,"Health policy and administrative management",0.878345,"0.109331976390084%","Austria"
2021,"Health policy and administrative management",0.569972,"0.0122069134059203%","Austria"
2017,"Medical education/training",0.20293,"0.02622418401409%","Austria"
2018,"Medical education/training",0.090603,"0.0124000959675429%","Austria"
2019,"Medical education/training",0.030766,"0.00338905866984239%","Austria"
2020,"Medical education/training",0.060278,"0.00750310285006628%","Austria"
2021,"Medical education/training",0.05913,"0.00126636885617551%","Austria"
2017,"Medical services",2.474063,"0.319717554695961%","Austria"
2018,"Medical services",4.942765,"0.676476058684727%","Austria"
2019,"Medical services",6.893831,"0.759396662516357%","Austria"
2020,"Medical services",4.640902,"0.577676184065136%","Austria"
2021,"Medical services",8.500004,"0.182041947285089%","Austria"
2017,"Basic health care",2.146693,"0.277412271491444%","Austria"
2018,"Basic health care",0.233222,"0.031919198942003%","Austria"
2019,"Basic health care",0.359512,"0.0396023942180452%","Austria"
2020,"Basic health care",0.240251,"0.0299052384424047%","Austria"
2021,"Basic health care",2.899901,"0.0621062795939833%","Austria"
2017,"Basic health infrastructure",1.198158,"0.154835243039245%","Austria"
2018,"Basic health infrastructure",0.172539,"0.0236140101116286%","Austria"
2019,"Basic health infrastructure",0.263419,"0.0290171762904249%","Austria"
2020,"Basic health infrastructure",0.269618,"0.0335606951828058%","Austria"
2021,"Basic health infrastructure",0.15349,"0.003287247687035%","Austria"
2017,"Basic nutrition",0.318972,"0.0412200286963106%","Austria"
2018,"Basic nutrition",0.362713,"0.0496415792929086%","Austria"
2019,"Basic nutrition",0.066921,"0.00737174787897427%","Austria"
2020,"Basic nutrition",0.10609,"0.0132055506381023%","Austria"
2021,"Basic nutrition",0.137421,"0.00294310290181795%","Austria"
2019,"Infectious disease control",0.193144,"0.0212759652775154%","Austria"
2020,"Infectious disease control",0.337631,"0.0420266120038941%","Austria"
2021,"Infectious disease control",0.427861,"0.00916336622986829%","Austria"
2017,"Health education",0.010607,"0.00137071857210591%","Austria"
2018,"Health education",0.130681,"0.0178852459756794%","Austria"
2019,"Health education",0.05733,"0.00631524194052084%","Austria"
2021,"Health education",0.014782,"0.000316581505699077%","Austria"
2017,"Malaria control",0.255042,"0.0329584996763491%","Austria"
2018,"Malaria control",0.016923,"0.0023161134185262%","Austria"
2019,"Tuberculosis control",0.024726,"0.00272371659203416%","Austria"
2020,"Tuberculosis control",0.024111,"0.00300121624503049%","Austria"
2021,"Tuberculosis control",0.11826,"0.00253273771235103%","Austria"
2017,"Health personnel development",0.007668,"0.000990918262553796%","Austria"
2018,"Health personnel development",0.080473,"0.0110136852289227%","Austria"
2019,"Health personnel development",0.042391,"0.00466962185767694%","Austria"
2021,"Health personnel development",0.039719,"0.000850649494308054%","Austria"
2017,"Population policy and administrative management",0.08051,"0.0104041248458798%","Austria"
2019,"Population policy and administrative management",0.008124,"0.0008949071258467%","Austria"
2017,"Reproductive health care",0.293925,"0.0379832616485556%","Austria"
2018,"Reproductive health care",0.042261,"0.00578391946938106%","Austria"
2019,"Reproductive health care",0.162006,"0.0178459285856623%","Austria"
2020,"Reproductive health care",0.136832,"0.0170321604761317%","Austria"
2021,"Reproductive health care",0.288872,"0.00618668195875415%","Austria"
2019,"Family planning",0.013599,"0.00149801107882684%","Austria"
2020,"Family planning",0.002893,"0.000360106117410029%","Austria"
2021,"Family planning",0.039026,"0.00083580772841376%","Austria"
2017,"STD control including HIV/AIDS",0.099964,"0.0129181211786551%","Austria"
2018,"STD control including HIV/AIDS",0.084098,"0.0115098095060696%","Austria"
2019,"STD control including HIV/AIDS",0.043271,"0.00476655911404635%","Austria"
2020,"STD control including HIV/AIDS",0.062869,"0.00782561752348812%","Austria"
2021,"STD control including HIV/AIDS",0.075612,"0.00161935873419826%","Austria"
2017,"Personnel development for population and reproductive health",0.007029,"0.000908341740674313%","Austria"
2018,"Personnel development for population and reproductive health",0.01569,"0.00214736273336146%","Austria"
2019,"Personnel development for population and reproductive health",0.012363,"0.00136185829601708%","Austria"
2021,"Personnel development for population and reproductive health",0.055582,"0.00119038244146706%","Austria"
2018,"Control of harmful use of alcohol and drugs",0.005648,"0.000772995839262304%","Austria"
2018,"Promotion of mental health and well-being",0.028192,"0.00385840982657274%","Austria"
2019,"Promotion of mental health and well-being",0.006182,"0.000680984225995113%","Austria"
2020,"Promotion of mental health and well-being",0.168779,"0.0210087626651736%","Austria"
2021,"Promotion of mental health and well-being",0.193685,"0.00414809152559368%","Austria"
2021,"Other prevention and treatment of NCDs",0.002956,"0.0000633077344639746%","Austria"
2020,"COVID-19 control",1.105144,"0.137562777400273%","Austria"
2021,"COVID-19 control",33.116284,"0.709241175204862%","Austria"
