"year","Multi_short","ODA","Share","Full Name","Donor"
2017,"Global Fund","12.2","5.4%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
2017,"EU Com budget","6.3","2.8%","European Commission - Development Share of Budget","Ireland"
2017,"EU Com EDF","4.1","1.8%","European Commission - European Development Fund","Ireland"
2017,"Gavi","3.6","1.6%","Global Alliance for Vaccines and Immunization","Ireland"
2017,"IDA","2.8","1.2%","International Development Association","Ireland"
2017,"IDA","2.8","1.2%","International Development Association","Ireland"
2017,"UNAIDS","2.1","0.9%","Joint United Nations Programme on HIV/AIDS","Ireland"
2017,"UNFPA","2","0.9%","United Nations Population Fund","Ireland"
2017,"UNICEF","1.4","0.6%","United Nations Children's Fund","Ireland"
2017,"WHO - assessed contributions","1.2","0.5%","World Health Organisation - assessed contributions","Ireland"
2017,"WFP","0.8","0.4%","World Food Programme","Ireland"
2017,"UNRWA","0.6","0.3%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Ireland"
2017,"UNDP","0.2","0.1%","United Nations Development Programme","Ireland"
2017,"FAO","0.1","0.1%","Food and Agricultural Organisation","Ireland"
2017,"ADF","0.1","0%","Asian Development Fund","Ireland"
2017,"EIB","0","0%","European Investment Bank","Ireland"
2017,"GEF","0","0%","Global Environment Facility Trust Fund","Ireland"
2017,"UNECE","0","0%","United Nations Economic Commission for Europe (extrabudgetary contributions only)","Ireland"
2018,"Global Fund","12.1","5.7%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
2018,"EU Com budget","6","2.8%","European Commission - Development Share of Budget","Ireland"
2018,"EU Com EDF","3.7","1.8%","European Commission - European Development Fund","Ireland"
2018,"Gavi","3.6","1.7%","Global Alliance for Vaccines and Immunization","Ireland"
2018,"IDA","2.8","1.3%","International Development Association","Ireland"
2018,"IDA","2.8","1.3%","International Development Association","Ireland"
2018,"UNAIDS","2.4","1.1%","Joint United Nations Programme on HIV/AIDS","Ireland"
2018,"UNFPA","2.2","1%","United Nations Population Fund","Ireland"
2018,"UNICEF","1.5","0.7%","United Nations Children's Fund","Ireland"
2018,"UNRWA","1.2","0.6%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Ireland"
2018,"WHO - assessed contributions","1.2","0.5%","World Health Organisation - assessed contributions","Ireland"
2018,"WFP","1.1","0.5%","World Food Programme","Ireland"
2018,"UNDP","0.1","0.1%","United Nations Development Programme","Ireland"
2018,"ADF","0.1","0.1%","Asian Development Fund","Ireland"
2018,"FAO","0.1","0%","Food and Agricultural Organisation","Ireland"
2018,"EIB","0.1","0%","European Investment Bank","Ireland"
2018,"GEF - LDC Fund","0","0%","Global Environment Facility - Least Developed Countries Fund","Ireland"
2018,"GEF","0","0%","Global Environment Facility Trust Fund","Ireland"
2019,"Global Fund","14.5","6.6%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
2019,"EU Com budget","5.2","2.3%","European Commission - Development Share of Budget","Ireland"
2019,"EU Com EDF","3.5","1.6%","European Commission - European Development Fund","Ireland"
2019,"Gavi","3.4","1.6%","Global Alliance for Vaccines and Immunization","Ireland"
2019,"IDA","2.9","1.3%","International Development Association","Ireland"
2019,"IDA","2.9","1.3%","International Development Association","Ireland"
2019,"UNAIDS","1.8","0.8%","Joint United Nations Programme on HIV/AIDS","Ireland"
2019,"UNFPA","1.5","0.7%","United Nations Population Fund","Ireland"
2019,"UNICEF","1.3","0.6%","United Nations Children's Fund","Ireland"
2019,"WHO - assessed contributions","1.1","0.5%","World Health Organisation - assessed contributions","Ireland"
2019,"UNRWA","1.1","0.5%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Ireland"
2019,"WFP","0.8","0.3%","World Food Programme","Ireland"
2019,"ADF","0.2","0.1%","Asian Development Fund","Ireland"
2019,"UNDP","0.1","0.1%","United Nations Development Programme","Ireland"
2019,"FAO","0.1","0%","Food and Agricultural Organisation","Ireland"
2019,"EIB","0.1","0%","European Investment Bank","Ireland"
2019,"ADB","0","0%","Asian Development Bank","Ireland"
2019,"GEF","0","0%","Global Environment Facility Trust Fund","Ireland"
2019,"CEB","0","0%","Council of Europe Development Bank","Ireland"
2020,"Global Fund","17.6","4.9%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
2020,"EU Com budget","5.6","1.6%","European Commission - Development Share of Budget","Ireland"
2020,"Gavi","3.5","1%","Global Alliance for Vaccines and Immunization","Ireland"
2020,"IDA","3.4","0.9%","International Development Association","Ireland"
2020,"IDA","3.4","0.9%","International Development Association","Ireland"
2020,"EU Com EDF","3.4","0.9%","European Commission - European Development Fund","Ireland"
2020,"UNICEF","1.5","0.4%","United Nations Children's Fund","Ireland"
2020,"WHO - assessed contributions","1.3","0.4%","World Health Organisation - assessed contributions","Ireland"
2020,"UNFPA","1.2","0.3%","United Nations Population Fund","Ireland"
2020,"UNRWA","1.2","0.3%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Ireland"
2020,"UNAIDS","1.2","0.3%","Joint United Nations Programme on HIV/AIDS","Ireland"
2020,"WFP","0.5","0.1%","World Food Programme","Ireland"
2020,"ADF","0.5","0.1%","Asian Development Fund","Ireland"
2020,"UNDP","0.2","0.1%","United Nations Development Programme","Ireland"
2020,"African Development Fund","0.2","0%","African Development Fund","Ireland"
2020,"ADB","0.1","0%","Asian Development Bank","Ireland"
2020,"EIB","0.1","0%","European Investment Bank","Ireland"
2020,"FAO","0.1","0%","Food and Agricultural Organisation","Ireland"
2020,"GEF","0","0%","Global Environment Facility Trust Fund","Ireland"
2020,"Peacebuilding Fund","0","0%","United Nations Peacebuilding Fund","Ireland"
2020,"CEB","0","0%","Council of Europe Development Bank","Ireland"
2021,"Global Fund","17.7","3.3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Ireland"
2021,"EU Com budget","14.5","2.7%","European Commission - Development Share of Budget","Ireland"
2021,"Gavi","3.5","0.7%","Global Alliance for Vaccines and Immunization","Ireland"
2021,"IDA","3.2","0.6%","International Development Association","Ireland"
2021,"IDA","3.2","0.6%","International Development Association","Ireland"
2021,"EU Com EDF","2.7","0.5%","European Commission - European Development Fund","Ireland"
2021,"UNICEF","1.6","0.3%","United Nations Children's Fund","Ireland"
2021,"UNFPA","1.2","0.2%","United Nations Population Fund","Ireland"
2021,"ADF","0.6","0.1%","Asian Development Fund","Ireland"
2021,"WFP","0.5","0.1%","World Food Programme","Ireland"
2021,"UNDP","0.4","0.1%","United Nations Development Programme","Ireland"
2021,"African Development Fund","0.2","0%","African Development Fund","Ireland"
2021,"UNAIDS","0.2","0%","Joint United Nations Programme on HIV/AIDS","Ireland"
2021,"EIB","0.2","0%","European Investment Bank","Ireland"
2021,"FAO","0.1","0%","Food and Agricultural Organisation","Ireland"
2021,"GEF","0","0%","Global Environment Facility Trust Fund","Ireland"
