donor_name,Global health ODA as a % of total ODA from,Rank
Canada,31%,1st
United States,30%,2nd
Australia,25%,3rd
Iceland,22%,4th
Korea,22%,5th
Norway,18%,6th
Hungary,16%,7th
Spain,16%,8th
Italy,16%,9th
United Kingdom,15%,10th
Slovenia,14%,11th
New Zealand,14%,12th
Luxembourg,14%,13th
Switzerland,13%,14th
Germany,13%,15th
Greece,13%,16th
Ireland,13%,17th
Slovak Republic,12%,18th
Sweden,12%,19th
Netherlands,11%,20th
Portugal,11%,21st
France,10%,22nd
Poland,9%,23rd
Belgium,9%,24th
Japan,9%,25th
Denmark,9%,26th
EU Institutions,8%,27th
Austria,6%,28th
Czechia,6%,29th
Finland,6%,30th
