"Sector","climate-related ODA to","Share","Donor"
"Agriculture (incl. forestry, fishing, rural development)",128.3,"18%","Switzerland"
"Government & civil society",98.2,"14%","Switzerland"
"Financial services and business support",83.7,"12%","Switzerland"
"Energy",72.1,"10%","Switzerland"
"Other social services",52.8,"8%","Switzerland"
"Other multisector",52.5,"8%","Switzerland"
"Water and sanitation",51.5,"7%","Switzerland"
"Industry, construction & mining",44,"6%","Switzerland"
"Humanitarian aid",42,"6%","Switzerland"
"Environmental protection",26.7,"4%","Switzerland"
"Education",14.7,"2%","Switzerland"
"Infrastructure",9.7,"1%","Switzerland"
"Health",9.7,"1%","Switzerland"
"Trade policy",5.9,"1%","Switzerland"
"Unspecified",2.9,"0%","Switzerland"
"Conflict, peace and security",0.7,"0%","Switzerland"
"General budget support",0,"0%","Switzerland"
"Tourism",0,"0%","Switzerland"
