"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Education",28.83,"30.02%","Luxembourg"
"2018","Education",40.59,"35.21%","Luxembourg"
"2019","Education",37.09,"28.52%","Luxembourg"
"2020","Education",2.23,"11.09%","Luxembourg"
"2021","Education",37.24,"31.28%","Luxembourg"
"2017","Agriculture (incl. forestry, fishing, rural development)",21.81,"22.72%","Luxembourg"
"2018","Agriculture (incl. forestry, fishing, rural development)",24.2,"20.99%","Luxembourg"
"2019","Agriculture (incl. forestry, fishing, rural development)",29.06,"22.34%","Luxembourg"
"2020","Agriculture (incl. forestry, fishing, rural development)",4.56,"22.69%","Luxembourg"
"2021","Agriculture (incl. forestry, fishing, rural development)",25.35,"21.28%","Luxembourg"
"2017","Health & populations",17.36,"18.08%","Luxembourg"
"2018","Health & populations",13.78,"11.96%","Luxembourg"
"2019","Health & populations",25.05,"19.26%","Luxembourg"
"2020","Health & populations",2.1,"10.43%","Luxembourg"
"2021","Health & populations",21.61,"18.15%","Luxembourg"
"2017","Water and sanitation",13.05,"13.6%","Luxembourg"
"2018","Water and sanitation",23.14,"20.08%","Luxembourg"
"2019","Water and sanitation",21.56,"16.58%","Luxembourg"
"2020","Water and sanitation",1.29,"6.41%","Luxembourg"
"2021","Water and sanitation",14.45,"12.14%","Luxembourg"
"2017","Government & civil society",12,"12.5%","Luxembourg"
"2018","Government & civil society",10.68,"9.27%","Luxembourg"
"2019","Government & civil society",12.65,"9.73%","Luxembourg"
"2020","Government & civil society",6.19,"30.78%","Luxembourg"
"2021","Government & civil society",8.97,"7.53%","Luxembourg"
"2017","Other social services",0.44,"0.46%","Luxembourg"
"2018","Other social services",0.31,"0.27%","Luxembourg"
"2019","Other social services",2.02,"1.55%","Luxembourg"
"2020","Other social services",2.74,"13.65%","Luxembourg"
"2021","Other social services",8.96,"7.52%","Luxembourg"
"2017","Energy",0,"0%","Luxembourg"
"2018","Energy",0.39,"0.33%","Luxembourg"
"2019","Energy",1.94,"1.49%","Luxembourg"
"2020","Energy",0,"0%","Luxembourg"
"2021","Energy",0.88,"0.74%","Luxembourg"
"2017","Other multisector",0.24,"0.25%","Luxembourg"
"2018","Other multisector",0.47,"0.41%","Luxembourg"
"2019","Other multisector",0.27,"0.21%","Luxembourg"
"2020","Other multisector",0.39,"1.94%","Luxembourg"
"2021","Other multisector",0.69,"0.58%","Luxembourg"
"2017","Financial services & business support",0.6,"0.62%","Luxembourg"
"2018","Financial services & business support",0.5,"0.43%","Luxembourg"
"2019","Financial services & business support",0.04,"0.03%","Luxembourg"
"2020","Financial services & business support",0.32,"1.6%","Luxembourg"
"2021","Financial services & business support",0.59,"0.5%","Luxembourg"
"2017","Humanitarian aid",0.15,"0.16%","Luxembourg"
"2018","Humanitarian aid",0.12,"0.1%","Luxembourg"
"2019","Humanitarian aid",0.27,"0.21%","Luxembourg"
"2020","Humanitarian aid",0.25,"1.23%","Luxembourg"
"2021","Humanitarian aid",0.26,"0.22%","Luxembourg"
"2017","Unspecified",0,"0%","Luxembourg"
"2018","Unspecified",0.23,"0.2%","Luxembourg"
"2019","Unspecified",0,"0%","Luxembourg"
"2020","Unspecified",0.04,"0.19%","Luxembourg"
"2021","Unspecified",0.06,"0.05%","Luxembourg"
"2017","Industry, construction & mining",0.09,"0.1%","Luxembourg"
"2018","Industry, construction & mining",0.01,"0.01%","Luxembourg"
"2019","Industry, construction & mining",0.01,"0.01%","Luxembourg"
"2020","Industry, construction & mining",0,"0%","Luxembourg"
"2021","Industry, construction & mining",0,"0%","Luxembourg"
"2017","Conflict, peace & security",0.3,"0.31%","Luxembourg"
"2018","Conflict, peace & security",0.33,"0.29%","Luxembourg"
"2019","Conflict, peace & security",0,"0%","Luxembourg"
"2020","Conflict, peace & security",0,"0%","Luxembourg"
"2021","Conflict, peace & security",0,"0%","Luxembourg"
"2017","Food aid and commodity assistance",0.46,"0.48%","Luxembourg"
"2018","Food aid and commodity assistance",0,"0%","Luxembourg"
"2019","Food aid and commodity assistance",0,"0%","Luxembourg"
"2020","Food aid and commodity assistance",0,"0%","Luxembourg"
"2021","Food aid and commodity assistance",0,"0%","Luxembourg"
"2017","Tourism",0.68,"0.71%","Luxembourg"
"2018","Tourism",0.52,"0.45%","Luxembourg"
"2019","Tourism",0.1,"0.08%","Luxembourg"
"2020","Tourism",0,"0%","Luxembourg"
"2021","Tourism",0,"0%","Luxembourg"
