"Sector","climate-related ODA to","Share","Donor"
"Energy",115.8,"29%","Denmark"
"Water and sanitation",108,"27%","Denmark"
"Environmental protection",51.6,"13%","Denmark"
"Financial services and business support",41.5,"11%","Denmark"
"Other multisector",31.8,"8%","Denmark"
"Agriculture (incl. forestry, fishing, rural development)",15.5,"4%","Denmark"
"Other social services",11.9,"3%","Denmark"
"Unspecified",10.3,"3%","Denmark"
"Government & civil society",7.3,"2%","Denmark"
"Infrastructure",0.2,"0%","Denmark"
"Education",0.2,"0%","Denmark"
"Conflict, peace and security",0.1,"0%","Denmark"
"Industry, construction & mining",0.1,"0%","Denmark"
"Humanitarian aid",0,"0%","Denmark"
"Food aid and commodity assistance",0,"0%","Denmark"
"General budget support",0,"0%","Denmark"
"Health",0,"0%","Denmark"
"Trade policy",0,"0%","Denmark"
