"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Health & populations",69.62,"10.4%","Switzerland"
"2018","Health & populations",95.45,"8.71%","Switzerland"
"2019","Health & populations",94.82,"8.84%","Switzerland"
"2020","Health & populations",159.5,"13.46%","Switzerland"
"2021","Health & populations",354.53,"23.52%","Switzerland"
"2017","Government & civil society",120.56,"18.01%","Switzerland"
"2018","Government & civil society",221.58,"20.23%","Switzerland"
"2019","Government & civil society",257.98,"24.05%","Switzerland"
"2020","Government & civil society",299.79,"25.29%","Switzerland"
"2021","Government & civil society",336.8,"22.34%","Switzerland"
"2017","Education",78.55,"11.73%","Switzerland"
"2018","Education",107.61,"9.82%","Switzerland"
"2019","Education",121.75,"11.35%","Switzerland"
"2020","Education",123.57,"10.42%","Switzerland"
"2021","Education",136.92,"9.08%","Switzerland"
"2017","Agriculture (incl. forestry, fishing, rural development)",102.35,"15.29%","Switzerland"
"2018","Agriculture (incl. forestry, fishing, rural development)",138.32,"12.63%","Switzerland"
"2019","Agriculture (incl. forestry, fishing, rural development)",121.88,"11.36%","Switzerland"
"2020","Agriculture (incl. forestry, fishing, rural development)",122.33,"10.32%","Switzerland"
"2021","Agriculture (incl. forestry, fishing, rural development)",136.55,"9.06%","Switzerland"
"2017","Humanitarian aid",51.05,"7.63%","Switzerland"
"2018","Humanitarian aid",161.45,"14.74%","Switzerland"
"2019","Humanitarian aid",79.58,"7.42%","Switzerland"
"2020","Humanitarian aid",102.62,"8.66%","Switzerland"
"2021","Humanitarian aid",117.18,"7.77%","Switzerland"
"2017","Other social services",20.19,"3.02%","Switzerland"
"2018","Other social services",28.19,"2.57%","Switzerland"
"2019","Other social services",41.79,"3.9%","Switzerland"
"2020","Other social services",55.18,"4.65%","Switzerland"
"2021","Other social services",71.58,"4.75%","Switzerland"
"2017","Water and sanitation",29.19,"4.36%","Switzerland"
"2018","Water and sanitation",61.38,"5.6%","Switzerland"
"2019","Water and sanitation",65.46,"6.1%","Switzerland"
"2020","Water and sanitation",70.1,"5.91%","Switzerland"
"2021","Water and sanitation",67.68,"4.49%","Switzerland"
"2017","Financial services & business support",32.33,"4.83%","Switzerland"
"2018","Financial services & business support",38.79,"3.54%","Switzerland"
"2019","Financial services & business support",47.76,"4.45%","Switzerland"
"2020","Financial services & business support",43.53,"3.67%","Switzerland"
"2021","Financial services & business support",65.55,"4.35%","Switzerland"
"2017","Industry, construction & mining",33.42,"4.99%","Switzerland"
"2018","Industry, construction & mining",45.77,"4.18%","Switzerland"
"2019","Industry, construction & mining",40.24,"3.75%","Switzerland"
"2020","Industry, construction & mining",46.43,"3.92%","Switzerland"
"2021","Industry, construction & mining",51.44,"3.41%","Switzerland"
"2017","Conflict, peace & security",43.16,"6.45%","Switzerland"
"2018","Conflict, peace & security",53.96,"4.93%","Switzerland"
"2019","Conflict, peace & security",42.89,"4%","Switzerland"
"2020","Conflict, peace & security",45.9,"3.87%","Switzerland"
"2021","Conflict, peace & security",47.95,"3.18%","Switzerland"
"2017","Other multisector",15.98,"2.39%","Switzerland"
"2018","Other multisector",16.07,"1.47%","Switzerland"
"2019","Other multisector",16.31,"1.52%","Switzerland"
"2020","Other multisector",48.73,"4.11%","Switzerland"
"2021","Other multisector",45.03,"2.99%","Switzerland"
"2017","Energy",3.29,"0.49%","Switzerland"
"2018","Energy",3.83,"0.35%","Switzerland"
"2019","Energy",24.32,"2.27%","Switzerland"
"2020","Energy",10.74,"0.91%","Switzerland"
"2021","Energy",23.5,"1.56%","Switzerland"
"2017","Trade policy",23.32,"3.48%","Switzerland"
"2018","Trade policy",20.3,"1.85%","Switzerland"
"2019","Trade policy",18.92,"1.76%","Switzerland"
"2020","Trade policy",21.37,"1.8%","Switzerland"
"2021","Trade policy",19.25,"1.28%","Switzerland"
"2017","Unspecified",13.36,"2%","Switzerland"
"2018","Unspecified",51.39,"4.69%","Switzerland"
"2019","Unspecified",69.85,"6.51%","Switzerland"
"2020","Unspecified",15.14,"1.28%","Switzerland"
"2021","Unspecified",14.82,"0.98%","Switzerland"
"2017","Environmental protection",16.71,"2.5%","Switzerland"
"2018","Environmental protection",28.93,"2.64%","Switzerland"
"2019","Environmental protection",12.88,"1.2%","Switzerland"
"2020","Environmental protection",10.84,"0.91%","Switzerland"
"2021","Environmental protection",10.2,"0.68%","Switzerland"
"2017","Tourism",1.91,"0.29%","Switzerland"
"2018","Tourism",6.43,"0.59%","Switzerland"
"2019","Tourism",7.74,"0.72%","Switzerland"
"2020","Tourism",5.69,"0.48%","Switzerland"
"2021","Tourism",5.43,"0.36%","Switzerland"
"2017","Infrastructure",14.47,"2.16%","Switzerland"
"2018","Infrastructure",11.59,"1.06%","Switzerland"
"2019","Infrastructure",8.35,"0.78%","Switzerland"
"2020","Infrastructure",2.75,"0.23%","Switzerland"
"2021","Infrastructure",3.19,"0.21%","Switzerland"
"2017","Donor administration costs",0,"0%","Switzerland"
"2018","Donor administration costs",0,"0%","Switzerland"
"2019","Donor administration costs",0,"0%","Switzerland"
"2020","Donor administration costs",0.12,"0.01%","Switzerland"
"2021","Donor administration costs",0,"0%","Switzerland"
"2017","Food aid and commodity assistance",0,"0%","Switzerland"
"2018","Food aid and commodity assistance",4.38,"0.4%","Switzerland"
"2019","Food aid and commodity assistance",0,"0%","Switzerland"
"2020","Food aid and commodity assistance",1.08,"0.09%","Switzerland"
"2021","Food aid and commodity assistance",0,"0%","Switzerland"
