"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2017","Afghanistan",31.416656,0,"1%","Switzerland"
"2018","Afghanistan",36.319264,0,"1%","Switzerland"
"2019","Afghanistan",34.217356,0,"1%","Switzerland"
"2020","Afghanistan",37.666214,0,"1%","Switzerland"
"2021","Afghanistan",61.711972,0,"2%","Switzerland"
"2017","Afghanistan",0,0,"0%","Switzerland"
"2018","Afghanistan",0,0,"0%","Switzerland"
"2019","Afghanistan",0,0,"0%","Switzerland"
"2020","Afghanistan",0,0,"0%","Switzerland"
"2021","Afghanistan",0,0,"0%","Switzerland"
"2017","Burkina Faso",37.652355,0,"1%","Switzerland"
"2018","Burkina Faso",39.032262,0,"2%","Switzerland"
"2019","Burkina Faso",41.732023,0,"2%","Switzerland"
"2020","Burkina Faso",52.956336,0,"2%","Switzerland"
"2021","Burkina Faso",52.818017,0,"2%","Switzerland"
"2017","Burkina Faso",0,0,"0%","Switzerland"
"2018","Burkina Faso",0,0,"0%","Switzerland"
"2019","Burkina Faso",0,0,"0%","Switzerland"
"2020","Burkina Faso",0,0,"0%","Switzerland"
"2021","Burkina Faso",0,0,"0%","Switzerland"
"2017","Nepal",42.756327,0,"2%","Switzerland"
"2018","Nepal",36.94142,0,"1%","Switzerland"
"2019","Nepal",41.91588,0,"2%","Switzerland"
"2020","Nepal",40.628003,0,"1%","Switzerland"
"2021","Nepal",46.874922,0,"2%","Switzerland"
"2017","Nepal",0,0,"0%","Switzerland"
"2018","Nepal",0,0,"0%","Switzerland"
"2019","Nepal",0,0,"0%","Switzerland"
"2020","Nepal",0,0,"0%","Switzerland"
"2021","Nepal",0,0,"0%","Switzerland"
"2017","Myanmar",46.572141,0,"2%","Switzerland"
"2018","Myanmar",51.631544,0,"2%","Switzerland"
"2019","Myanmar",48.864294,0,"2%","Switzerland"
"2020","Myanmar",50.35773,0,"2%","Switzerland"
"2021","Myanmar",45.975259,0,"2%","Switzerland"
"2017","Myanmar",0,0,"0%","Switzerland"
"2018","Myanmar",0,0,"0%","Switzerland"
"2019","Myanmar",0,0,"0%","Switzerland"
"2020","Myanmar",0,0,"0%","Switzerland"
"2021","Myanmar",0,0,"0%","Switzerland"
"2017","Ukraine",30.068397,0,"1%","Switzerland"
"2018","Ukraine",32.605584,0,"1%","Switzerland"
"2019","Ukraine",34.447709,0,"1%","Switzerland"
"2020","Ukraine",35.802494,0,"1%","Switzerland"
"2021","Ukraine",45.826884,0,"2%","Switzerland"
"2017","Ukraine",0,0,"0%","Switzerland"
"2018","Ukraine",0,0,"0%","Switzerland"
"2019","Ukraine",0,0,"0%","Switzerland"
"2020","Ukraine",0,0,"0%","Switzerland"
"2021","Ukraine",0,0,"0%","Switzerland"
"2017","Bangladesh",42.943826,0,"2%","Switzerland"
"2018","Bangladesh",49.036224,0,"2%","Switzerland"
"2019","Bangladesh",43.702941,0,"2%","Switzerland"
"2020","Bangladesh",37.563266,0,"1%","Switzerland"
"2021","Bangladesh",43.548067,0,"1%","Switzerland"
"2017","Bangladesh",0,0,"0%","Switzerland"
"2018","Bangladesh",0,0,"0%","Switzerland"
"2019","Bangladesh",0,0,"0%","Switzerland"
"2020","Bangladesh",0,0,"0%","Switzerland"
"2021","Bangladesh",0,0,"0%","Switzerland"
"2017","Mali",35.669503,0,"1%","Switzerland"
"2018","Mali",42.867781,0,"2%","Switzerland"
"2019","Mali",41.287537,0,"2%","Switzerland"
"2020","Mali",44.597314,0,"2%","Switzerland"
"2021","Mali",42.582185,0,"1%","Switzerland"
"2017","Mali",0,0,"0%","Switzerland"
"2018","Mali",0,0,"0%","Switzerland"
"2019","Mali",0,0,"0%","Switzerland"
"2020","Mali",0,0,"0%","Switzerland"
"2021","Mali",0,0,"0%","Switzerland"
"2020","Mali",0,0,"1%","Switzerland"
