"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Government & civil society",164.31,"26.97%","Denmark"
"2018","Government & civil society",144.3,"20.14%","Denmark"
"2019","Government & civil society",188.61,"24.27%","Denmark"
"2020","Government & civil society",181.84,"25.12%","Denmark"
"2021","Government & civil society",156.22,"23.76%","Denmark"
"2017","Health & populations",99.83,"16.39%","Denmark"
"2018","Health & populations",103.97,"14.51%","Denmark"
"2019","Health & populations",91.93,"11.83%","Denmark"
"2020","Health & populations",68.01,"9.39%","Denmark"
"2021","Health & populations",83.13,"12.65%","Denmark"
"2017","Water and sanitation",25.39,"4.17%","Denmark"
"2018","Water and sanitation",31.49,"4.4%","Denmark"
"2019","Water and sanitation",40.97,"5.27%","Denmark"
"2020","Water and sanitation",28.06,"3.88%","Denmark"
"2021","Water and sanitation",65.9,"10.03%","Denmark"
"2017","Conflict, peace & security",30.22,"4.96%","Denmark"
"2018","Conflict, peace & security",47.93,"6.69%","Denmark"
"2019","Conflict, peace & security",67.94,"8.74%","Denmark"
"2020","Conflict, peace & security",47.58,"6.57%","Denmark"
"2021","Conflict, peace & security",61.55,"9.36%","Denmark"
"2017","Education",60.96,"10.01%","Denmark"
"2018","Education",123.11,"17.19%","Denmark"
"2019","Education",95.74,"12.32%","Denmark"
"2020","Education",115.11,"15.9%","Denmark"
"2021","Education",57.38,"8.73%","Denmark"
"2017","Humanitarian aid",3.07,"0.5%","Denmark"
"2018","Humanitarian aid",10.17,"1.42%","Denmark"
"2019","Humanitarian aid",1.61,"0.21%","Denmark"
"2020","Humanitarian aid",45.06,"6.22%","Denmark"
"2021","Humanitarian aid",55.84,"8.49%","Denmark"
"2017","Energy",4.25,"0.7%","Denmark"
"2018","Energy",8.66,"1.21%","Denmark"
"2019","Energy",8.89,"1.14%","Denmark"
"2020","Energy",59.46,"8.21%","Denmark"
"2021","Energy",39.4,"5.99%","Denmark"
"2017","Agriculture (incl. forestry, fishing, rural development)",88.4,"14.51%","Denmark"
"2018","Agriculture (incl. forestry, fishing, rural development)",97.14,"13.56%","Denmark"
"2019","Agriculture (incl. forestry, fishing, rural development)",46.18,"5.94%","Denmark"
"2020","Agriculture (incl. forestry, fishing, rural development)",29.39,"4.06%","Denmark"
"2021","Agriculture (incl. forestry, fishing, rural development)",38.01,"5.78%","Denmark"
"2017","Environmental protection",39,"6.4%","Denmark"
"2018","Environmental protection",35.26,"4.92%","Denmark"
"2019","Environmental protection",32.7,"4.21%","Denmark"
"2020","Environmental protection",32.91,"4.55%","Denmark"
"2021","Environmental protection",34.56,"5.26%","Denmark"
"2017","Other social services",0.9,"0.15%","Denmark"
"2018","Other social services",2.83,"0.39%","Denmark"
"2019","Other social services",18.4,"2.37%","Denmark"
"2020","Other social services",5.64,"0.78%","Denmark"
"2021","Other social services",22.37,"3.4%","Denmark"
"2017","Other multisector",22.15,"3.64%","Denmark"
"2018","Other multisector",16.8,"2.35%","Denmark"
"2019","Other multisector",26.5,"3.41%","Denmark"
"2020","Other multisector",19.46,"2.69%","Denmark"
"2021","Other multisector",15.51,"2.36%","Denmark"
"2017","Financial services & business support",29.6,"4.86%","Denmark"
"2018","Financial services & business support",57.95,"8.09%","Denmark"
"2019","Financial services & business support",74.66,"9.61%","Denmark"
"2020","Financial services & business support",24.2,"3.34%","Denmark"
"2021","Financial services & business support",13.46,"2.05%","Denmark"
"2017","Unspecified",22.27,"3.66%","Denmark"
"2018","Unspecified",0.48,"0.07%","Denmark"
"2019","Unspecified",52.98,"6.82%","Denmark"
"2020","Unspecified",44.28,"6.12%","Denmark"
"2021","Unspecified",8,"1.22%","Denmark"
"2017","Industry, construction & mining",5.87,"0.96%","Denmark"
"2018","Industry, construction & mining",10.89,"1.52%","Denmark"
"2019","Industry, construction & mining",6.5,"0.84%","Denmark"
"2020","Industry, construction & mining",6.23,"0.86%","Denmark"
"2021","Industry, construction & mining",4.8,"0.73%","Denmark"
"2017","Trade policy",3.11,"0.51%","Denmark"
"2018","Trade policy",3.08,"0.43%","Denmark"
"2019","Trade policy",2.35,"0.3%","Denmark"
"2020","Trade policy",0.69,"0.1%","Denmark"
"2021","Trade policy",0.98,"0.15%","Denmark"
"2017","Infrastructure",1.27,"0.21%","Denmark"
"2018","Infrastructure",0.31,"0.04%","Denmark"
"2019","Infrastructure",0.49,"0.06%","Denmark"
"2020","Infrastructure",0.05,"0.01%","Denmark"
"2021","Infrastructure",0.27,"0.04%","Denmark"
"2017","Food aid and commodity assistance",8.54,"1.4%","Denmark"
"2018","Food aid and commodity assistance",22.03,"3.07%","Denmark"
"2019","Food aid and commodity assistance",20.81,"2.68%","Denmark"
"2020","Food aid and commodity assistance",15.99,"2.21%","Denmark"
"2021","Food aid and commodity assistance",0,"0%","Denmark"
