"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2017","Democratic Republic of the Congo",128.965834,NA,"0.0867033228810581%","Belgium"
"2018","Democratic Republic of the Congo",136.666068,NA,"0.0966550628478572%","Belgium"
"2019","Democratic Republic of the Congo",111.379748,NA,"0.0893535644155712%","Belgium"
"2020","Democratic Republic of the Congo",111.573915,NA,"0.0897715270494037%","Belgium"
"2021","Democratic Republic of the Congo",113.008784,NA,"0.0831599277611862%","Belgium"
"2017","Democratic Republic of the Congo",NA,0,NA,"Belgium"
"2018","Democratic Republic of the Congo",NA,0,NA,"Belgium"
"2019","Democratic Republic of the Congo",NA,0,NA,"Belgium"
"2020","Democratic Republic of the Congo",NA,0,NA,"Belgium"
"2021","Democratic Republic of the Congo",NA,0,NA,"Belgium"
"2017","Democratic Republic of the Congo",NA,NA,"0.0854252099714435%","Belgium"
"2018","Democratic Republic of the Congo",NA,NA,"0.0949661058912774%","Belgium"
"2019","Democratic Republic of the Congo",NA,NA,"0.0878304186563953%","Belgium"
"2020","Democratic Republic of the Congo",NA,NA,"0.0888318033410177%","Belgium"
"2021","Democratic Republic of the Congo",NA,NA,"0.0824828685851383%","Belgium"
"2017","Rwanda",46.012105,NA,"0.0309337928699174%","Belgium"
"2018","Rwanda",44.591479,NA,"0.0315366664768895%","Belgium"
"2019","Rwanda",46.175707,NA,"0.0370441133504723%","Belgium"
"2020","Rwanda",63.372697,NA,"0.0509891920788938%","Belgium"
"2021","Rwanda",52.330486,NA,"0.0385085059889483%","Belgium"
"2017","Rwanda",NA,0,NA,"Belgium"
"2018","Rwanda",NA,0,NA,"Belgium"
"2019","Rwanda",NA,0,NA,"Belgium"
"2020","Rwanda",NA,0,NA,"Belgium"
"2021","Rwanda",NA,0,NA,"Belgium"
"2017","Rwanda",NA,NA,"0.0304777909694525%","Belgium"
"2018","Rwanda",NA,NA,"0.0309855926824695%","Belgium"
"2019","Rwanda",NA,NA,"0.0364126490712211%","Belgium"
"2020","Rwanda",NA,NA,"0.0504554398498421%","Belgium"
"2021","Rwanda",NA,NA,"0.0381949831416151%","Belgium"
"2017","Uganda",25.300327,NA,"0.0170093299352242%","Belgium"
"2018","Uganda",27.843389,NA,"0.0196918266038965%","Belgium"
"2019","Uganda",37.578228,NA,"0.0301468505407376%","Belgium"
"2020","Uganda",25.099916,NA,"0.0201952023296105%","Belgium"
"2021","Uganda",49.685464,NA,"0.0365621100481978%","Belgium"
"2017","Uganda",NA,0,NA,"Belgium"
"2018","Uganda",NA,0,NA,"Belgium"
"2019","Uganda",NA,0,NA,"Belgium"
"2020","Uganda",NA,0,NA,"Belgium"
"2021","Uganda",NA,0,NA,"Belgium"
"2017","Uganda",NA,NA,"0.0167585916307197%","Belgium"
"2018","Uganda",NA,NA,"0.0193477303242969%","Belgium"
"2019","Uganda",NA,NA,"0.0296329589254006%","Belgium"
"2020","Uganda",NA,NA,"0.0199837999947216%","Belgium"
"2021","Uganda",NA,NA,"0.0362644340788909%","Belgium"
"2017","Burkina Faso",17.432148,NA,"0.0117195780438592%","Belgium"
"2018","Burkina Faso",15.60068,NA,"0.0110333510573327%","Belgium"
"2019","Burkina Faso",18.457304,NA,"0.0148072331955876%","Belgium"
"2020","Burkina Faso",43.228809,NA,"0.034781572345624%","Belgium"
