"Year","Sector","climate-related ODA to","Share","Donor"
"2017","Agriculture (incl. forestry, fishing, rural development)",140.877372333228,"28%","Switzerland"
"2018","Agriculture (incl. forestry, fishing, rural development)",121.125091679186,"31%","Switzerland"
"2019","Agriculture (incl. forestry, fishing, rural development)",100.650141186686,"22%","Switzerland"
"2020","Agriculture (incl. forestry, fishing, rural development)",118.574645099382,"25%","Switzerland"
"2021","Agriculture (incl. forestry, fishing, rural development)",133.45124414536,"18%","Switzerland"
"2017","Government & civil society",23.2432614234779,"5%","Switzerland"
"2018","Government & civil society",35.3278421837511,"9%","Switzerland"
"2019","Government & civil society",13.7172085395421,"3%","Switzerland"
"2020","Government & civil society",56.9054238242435,"12%","Switzerland"
"2021","Government & civil society",102.084978921377,"14%","Switzerland"
"2017","Financial services and business support",45.2805151547949,"9%","Switzerland"
"2018","Financial services and business support",10.562718317397,"3%","Switzerland"
"2019","Financial services and business support",19.6959715273777,"4%","Switzerland"
"2020","Financial services and business support",4.96862587635586,"1%","Switzerland"
"2021","Financial services and business support",87.0435264171535,"12%","Switzerland"
"2017","Energy",48.4928658796239,"10%","Switzerland"
"2018","Energy",7.76487821243192,"2%","Switzerland"
"2019","Energy",75.4684946947045,"17%","Switzerland"
"2020","Energy",51.1358595255498,"11%","Switzerland"
"2021","Energy",74.9420541666366,"10%","Switzerland"
"2017","Other social services",0.10586269702686,"0%","Switzerland"
"2018","Other social services",0.60508447839676,"0%","Switzerland"
"2019","Other social services",14.8004984373016,"3%","Switzerland"
"2020","Other social services",13.9120122892606,"3%","Switzerland"
"2021","Other social services",54.8494731518071,"8%","Switzerland"
"2017","Other multisector",39.8797957038185,"8%","Switzerland"
"2018","Other multisector",57.680197853291,"15%","Switzerland"
"2019","Other multisector",25.5607603675622,"6%","Switzerland"
"2020","Other multisector",72.3512187807049,"15%","Switzerland"
"2021","Other multisector",54.6020869052204,"8%","Switzerland"
"2017","Water and sanitation",45.7713052282924,"9%","Switzerland"
"2018","Water and sanitation",42.8405323704677,"11%","Switzerland"
"2019","Water and sanitation",76.2674325490381,"17%","Switzerland"
"2020","Water and sanitation",46.9560355695851,"10%","Switzerland"
"2021","Water and sanitation",53.5105680598593,"7%","Switzerland"
"2017","Industry, construction & mining",29.0346780803718,"6%","Switzerland"
"2018","Industry, construction & mining",15.1784123879986,"4%","Switzerland"
"2019","Industry, construction & mining",10.3474971283172,"2%","Switzerland"
"2020","Industry, construction & mining",18.021124900564,"4%","Switzerland"
"2021","Industry, construction & mining",45.7440428101515,"6%","Switzerland"
"2017","Humanitarian aid",34.403786685248,"7%","Switzerland"
"2018","Humanitarian aid",25.2492893978792,"6%","Switzerland"
"2019","Humanitarian aid",23.7805262306125,"5%","Switzerland"
"2020","Humanitarian aid",37.9524220777086,"8%","Switzerland"
"2021","Humanitarian aid",43.6556681709395,"6%","Switzerland"
"2017","Environmental protection",24.6832014384175,"5%","Switzerland"
"2018","Environmental protection",40.3583546539096,"10%","Switzerland"
"2019","Environmental protection",36.9716987228318,"8%","Switzerland"
"2020","Environmental protection",30.9626807832189,"7%","Switzerland"
"2021","Environmental protection",27.7502364767265,"4%","Switzerland"
"2017","Education",5.14251828348948,"1%","Switzerland"
"2018","Education",10.7380435637769,"3%","Switzerland"
"2019","Education",11.0557720273526,"2%","Switzerland"
"2020","Education",2.5325641637251,"1%","Switzerland"
"2021","Education",15.291139819934,"2%","Switzerland"
"2017","Infrastructure",4.47893902669016,"1%","Switzerland"
"2018","Infrastructure",0,"0%","Switzerland"
"2019","Infrastructure",0.0005510920178,"0%","Switzerland"
"2020","Infrastructure",0,"0%","Switzerland"
"2021","Infrastructure",10.1356667148412,"1%","Switzerland"
"2017","Health",11.5872659652441,"2%","Switzerland"
"2018","Health",3.03428457550778,"1%","Switzerland"
"2019","Health",28.1863644608358,"6%","Switzerland"
"2020","Health",8.55856301606,"2%","Switzerland"
"2021","Health",10.0578993127595,"1%","Switzerland"
"2017","Trade policy",29.8023201468719,"6%","Switzerland"
"2018","Trade policy",17.0523737598248,"4%","Switzerland"
"2019","Trade policy",3.3686955302789,"1%","Switzerland"
"2020","Trade policy",8.9052622830318,"2%","Switzerland"
"2021","Trade policy",6.1660542095756,"1%","Switzerland"
"2017","Unspecified",5.32639585410788,"1%","Switzerland"
"2018","Unspecified",1.5402138070689,"0%","Switzerland"
"2019","Unspecified",6.88388067705538,"2%","Switzerland"
"2020","Unspecified",0.64556478659482,"0%","Switzerland"
"2021","Unspecified",2.98938409340846,"0%","Switzerland"
"2017","Conflict, peace and security",2.57174576639442,"1%","Switzerland"
"2018","Conflict, peace and security",2.3081189420228,"1%","Switzerland"
"2019","Conflict, peace and security",1.1944919485815,"0%","Switzerland"
"2020","Conflict, peace and security",3.11662188215214,"1%","Switzerland"
"2021","Conflict, peace and security",0.72889717826,"0%","Switzerland"
"2017","General budget support",0,"0%","Switzerland"
"2018","General budget support",0,"0%","Switzerland"
"2019","General budget support",0,"0%","Switzerland"
"2020","General budget support",0,"0%","Switzerland"
"2021","General budget support",0,"0%","Switzerland"
"2017","Tourism",8.96785489849502,"2%","Switzerland"
"2018","Tourism",0.00220020888616,"0%","Switzerland"
"2019","Tourism",3.85497392780432,"1%","Switzerland"
"2020","Tourism",0,"0%","Switzerland"
"2021","Tourism",0,"0%","Switzerland"
