"Year","Income Group","ODA","Share","Donor"
"2017","WorldBank Low income countries",120.010668,"0.324678185946147%","Luxembourg"
"2018","WorldBank Low income countries",131.454057,"0.331504982793569%","Luxembourg"
"2019","WorldBank Low income countries",134.065584,"0.311535044793195%","Luxembourg"
"2020","WorldBank Low income countries",125.258174,"0.361317202882126%","Luxembourg"
"2021","WorldBank Low income countries",132.765349,"0.36352156434014%","Luxembourg"
"2017","WorldBank Lower-middle income countries",123.354281,"0.333724033464852%","Luxembourg"
"2018","WorldBank Lower-middle income countries",137.282896,"0.346204332638675%","Luxembourg"
"2019","WorldBank Lower-middle income countries",126.819103,"0.29469602678744%","Luxembourg"
"2020","WorldBank Lower-middle income countries",97.926715,"0.282477427391166%","Luxembourg"
"2021","WorldBank Lower-middle income countries",103.779074,"0.284154951652717%","Luxembourg"
"2017","Part I Unallocated by income",15.713305,"0.0425109487984729%","Luxembourg"
"2018","Part I Unallocated by income",18.970995,"0.0478416529286112%","Luxembourg"
"2019","Part I Unallocated by income",25.586691,"0.0594571006888288%","Luxembourg"
"2020","Part I Unallocated by income",21.900459,"0.0631736224073862%","Luxembourg"
"2021","Part I Unallocated by income",22.517796,"0.0616554280847192%","Luxembourg"
"2017","WorldBank Upper-middle income countries",21.569224,"0.0583536167016927%","Luxembourg"
"2018","WorldBank Upper-middle income countries",21.029766,"0.0530335265041137%","Luxembourg"
"2019","WorldBank Upper-middle income countries",22.472208,"0.0522198174729317%","Luxembourg"
"2020","WorldBank Upper-middle income countries",12.986582,"0.0374608325620279%","Luxembourg"
"2021","WorldBank Upper-middle income countries",18.150806,"0.0496982792637738%","Luxembourg"
"2017","Countries not classified by the World Bank",0,"0%","Luxembourg"
"2018","Countries not classified by the World Bank",0,"0%","Luxembourg"
"2019","Countries not classified by the World Bank",0.255668,"0.000594108789562179%","Luxembourg"
"2020","Countries not classified by the World Bank",0.125495,"0.000362000346386116%","Luxembourg"
"2021","Countries not classified by the World Bank",0,"0%","Luxembourg"
"2017","WorldBank High income countries",0.174591,"0.000472340418624482%","Luxembourg"
"2018","WorldBank High income countries",0,"0%","Luxembourg"
"2019","WorldBank High income countries",0,"0%","Luxembourg"
"2020","WorldBank High income countries",0,"0%","Luxembourg"
"2021","WorldBank High income countries",0,"0%","Luxembourg"
