"donorname","perc","Rank"
"Japan","71%",1
"France","57%",2
"Iceland","39%",3
"Netherlands","39%",4
"Australia","39%",5
"Korea","35%",6
"Germany","32%",7
"Austria","30%",8
"Finland","29%",9
"Italy","29%",10
"Switzerland","28%",11
"New Zealand","28%",12
"EU Institutions","27%",13
"Sweden","24%",14
"Denmark","23%",15
"Belgium","23%",16
"Norway","21%",17
"Ireland","19%",18
"Canada","14%",19
"United Kingdom","13%",20
"Spain","9%",21
"Luxembourg","8%",22
"Slovenia","7%",23
"Hungary","5%",24
"Slovak Republic","4%",25
"United States","3%",26
"Poland","2%",27
"Czech Republic","NA%",28
"Czechia","NA%",29
"DAC Countries, Total","NA%",30
"Greece","NA%",31
"Portugal","NA%",32
