"Year","Income Group","ODA","Share","Donor"
"2017","WorldBank Low income countries",393.735667,"0.260805137170837%","Belgium"
"2018","WorldBank Low income countries",391.997578,"0.272390096870807%","Belgium"
"2019","WorldBank Low income countries",376.804324,"0.297135539653582%","Belgium"
"2020","WorldBank Low income countries",393.154206,"0.313017582201771%","Belgium"
"2021","WorldBank Low income countries",428.770167,"0.312950835201348%","Belgium"
"2017","WorldBank Lower-middle income countries",241.12122,"0.159715408400884%","Belgium"
"2018","WorldBank Lower-middle income countries",228.948086,"0.159090756739129%","Belgium"
"2019","WorldBank Lower-middle income countries",204.124215,"0.160965665511813%","Belgium"
"2020","WorldBank Lower-middle income countries",174.608572,"0.13901810588577%","Belgium"
"2021","WorldBank Lower-middle income countries",184.958948,"0.134997865312217%","Belgium"
"2017","WorldBank Upper-middle income countries",87.953835,"0.0582594210391312%","Belgium"
"2018","WorldBank Upper-middle income countries",91.050903,"0.0632691773629898%","Belgium"
"2019","WorldBank Upper-middle income countries",71.259027,"0.0561925330847164%","Belgium"
"2020","WorldBank Upper-middle income countries",71.819673,"0.0571806686890228%","Belgium"
"2021","WorldBank Upper-middle income countries",60.643411,"0.0442624221146166%","Belgium"
"2017","Part I Unallocated by income",11.993198,"0.00794413082599145%","Belgium"
"2018","Part I Unallocated by income",18.649507,"0.0129591132788142%","Belgium"
"2019","Part I Unallocated by income",11.950181,"0.00942352105384275%","Belgium"
"2020","Part I Unallocated by income",31.934853,"0.0254255717514287%","Belgium"
"2021","Part I Unallocated by income",32.298817,"0.0235742655019315%","Belgium"
"2017","Countries not classified by the World Bank",0.004597,"0.0000030449901191561%","Belgium"
"2018","Countries not classified by the World Bank",0.008341,"0.00000579596896897001%","Belgium"
"2019","Countries not classified by the World Bank",0.008279,"0.00000652854804498477%","Belgium"
"2020","Countries not classified by the World Bank",0,"0%","Belgium"
"2021","Countries not classified by the World Bank",0.004428,"0.00000323190931861538%","Belgium"
"2017","WorldBank High income countries",0.233633,"0.000154755313575984%","Belgium"
"2018","WorldBank High income countries",0.03332,"0.0000231533012883444%","Belgium"
"2019","WorldBank High income countries",0.03307,"0.000026077918087649%","Belgium"
"2020","WorldBank High income countries",0.442421,"0.000352242325331475%","Belgium"
"2021","WorldBank High income countries",0,"0%","Belgium"
