"Sector","climate-related ODA to","Share","Donor"
"Agriculture (incl. forestry, fishing, rural development)",19.1,"82%","Luxembourg"
"Energy",2,"9%","Luxembourg"
"Other social services",1,"4%","Luxembourg"
"Water and sanitation",0.3,"1%","Luxembourg"
"Other multisector",0.3,"1%","Luxembourg"
"Education",0.2,"1%","Luxembourg"
"Humanitarian aid",0.2,"1%","Luxembourg"
"Government & civil society",0.2,"1%","Luxembourg"
"Health",0,"0%","Luxembourg"
"Donor administration costs",0,"0%","Luxembourg"
"Environmental protection",0,"0%","Luxembourg"
"Financial services and business support",0,"0%","Luxembourg"
"Food aid and commodity assistance",0,"0%","Luxembourg"
"Industry, construction & mining",0,"0%","Luxembourg"
"Tourism",0,"0%","Luxembourg"
"Unspecified",0,"0%","Luxembourg"
