"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",36.436222,"0.251159343944027%","Belgium"
2018,"Health policy and administrative management",25.978827,"0.20330331943653%","Belgium"
2019,"Health policy and administrative management",15.047788,"0.119213012229734%","Belgium"
2020,"Health policy and administrative management",14.713888,"0.112057719440809%","Belgium"
2021,"Health policy and administrative management",11.267614,"0.0695053287177697%","Belgium"
2017,"Medical education/training",24.678442,"0.170111525346418%","Belgium"
2018,"Medical education/training",17.408685,"0.136235690992705%","Belgium"
2019,"Medical education/training",14.525798,"0.115077653580755%","Belgium"
2020,"Medical education/training",14.710864,"0.112034689325071%","Belgium"
2021,"Medical education/training",12.865947,"0.0793647950223005%","Belgium"
2017,"Medical research",7.498414,"0.0516874867229843%","Belgium"
2018,"Medical research",6.455719,"0.0505207222038731%","Belgium"
2019,"Medical research",6.380432,"0.0505476630882216%","Belgium"
2020,"Medical research",10.373234,"0.0790002578017354%","Belgium"
2021,"Medical research",8.624979,"0.0532039880474128%","Belgium"
2017,"Medical services",2.882529,"0.0198696256856606%","Belgium"
2018,"Medical services",2.701763,"0.021143271258198%","Belgium"
2019,"Medical services",8.365156,"0.066271231660868%","Belgium"
2020,"Medical services",2.655882,"0.0202266103985496%","Belgium"
2021,"Medical services",4.387022,"0.0270617547070824%","Belgium"
2017,"Basic health care",28.795581,"0.19849146907841%","Belgium"
2018,"Basic health care",28.536092,"0.223315788174201%","Belgium"
2019,"Basic health care",29.793332,"0.236031558397853%","Belgium"
2020,"Basic health care",21.437928,"0.163266522160306%","Belgium"
2021,"Basic health care",16.99701,"0.104847642745768%","Belgium"
2017,"Basic health infrastructure",4.188003,"0.028868417969229%","Belgium"
2018,"Basic health infrastructure",6.747278,"0.0528023845942341%","Belgium"
2019,"Basic health infrastructure",4.431093,"0.0351044249161463%","Belgium"
2020,"Basic health infrastructure",5.819077,"0.0443168044958929%","Belgium"
2021,"Basic health infrastructure",7.616214,"0.0469813269832353%","Belgium"
2017,"Basic nutrition",1.576179,"0.0108647950267279%","Belgium"
2018,"Basic nutrition",1.245984,"0.00975073598068171%","Belgium"
2019,"Basic nutrition",6.346205,"0.0502765067049985%","Belgium"
2020,"Basic nutrition",2.048981,"0.0156045864993364%","Belgium"
2021,"Basic nutrition",0.205634,"0.0012684725236017%","Belgium"
2017,"Infectious disease control",9.137454,"0.0629855903270851%","Belgium"
2018,"Infectious disease control",14.779659,"0.115661639951642%","Belgium"
2019,"Infectious disease control",17.468973,"0.13839435350165%","Belgium"
2020,"Infectious disease control",17.961819,"0.13679324418866%","Belgium"
2021,"Infectious disease control",15.021947,"0.0926642822709328%","Belgium"
2017,"Health education",1.807095,"0.012456527316266%","Belgium"
2018,"Health education",0.972781,"0.00761272271395422%","Belgium"
2019,"Health education",1.005929,"0.00796926605951943%","Belgium"
2020,"Health education",0.657708,"0.00500895878356391%","Belgium"
2021,"Health education",0.547031,"0.00337441178529991%","Belgium"
2017,"Malaria control",0.365125,"0.00251685137546815%","Belgium"
2017,"Tuberculosis control",6.417868,"0.0442391507110525%","Belgium"
2018,"Tuberculosis control",5.697708,"0.0445887317999413%","Belgium"
2019,"Tuberculosis control",6.108152,"0.0483905806672098%","Belgium"
2020,"Tuberculosis control",6.553125,"0.0499071518493651%","Belgium"
2021,"Tuberculosis control",6.188404,"0.0381737477214219%","Belgium"
2017,"Health personnel development",2.711202,"0.0186886476764725%","Belgium"
2018,"Health personnel development",2.120066,"0.0165910668416448%","Belgium"
2019,"Health personnel development",2.05215,"0.016257737220065%","Belgium"
2020,"Health personnel development",1.703733,"0.0129752540264033%","Belgium"
2021,"Health personnel development",1.787647,"0.0110272673847662%","Belgium"
2017,"Population policy and administrative management",1.397873,"0.00963570991517916%","Belgium"
2018,"Population policy and administrative management",2.451832,"0.0191873784101456%","Belgium"
2017,"Reproductive health care",7.690404,"0.0530108973236721%","Belgium"
2018,"Reproductive health care",9.016792,"0.0705629913263116%","Belgium"
2019,"Reproductive health care",10.619957,"0.0841344298391395%","Belgium"
2020,"Reproductive health care",21.00331,"0.159956567516916%","Belgium"
2021,"Reproductive health care",26.721749,"0.164835603008652%","Belgium"
2017,"Family planning",6.848657,"0.047208632086435%","Belgium"
2018,"Family planning",0.586704,"0.00459138785314248%","Belgium"
2019,"Family planning",2.320785,"0.0183859428766263%","Belgium"
2020,"Family planning",2.799541,"0.0213206855958834%","Belgium"
2021,"Family planning",2.634815,"0.0162531022704106%","Belgium"
2017,"STD control including HIV/AIDS",1.937092,"0.0133526125699647%","Belgium"
2018,"STD control including HIV/AIDS",2.297041,"0.0179760256374088%","Belgium"
2019,"STD control including HIV/AIDS",0.806223,"0.00638713625942182%","Belgium"
2020,"STD control including HIV/AIDS",4.120866,"0.0313836048012034%","Belgium"
2021,"STD control including HIV/AIDS",1.575793,"0.00972042621056778%","Belgium"
2017,"Personnel development for population and reproductive health",0.703994,"0.00485271692494714%","Belgium"
2018,"Personnel development for population and reproductive health",0.786654,"0.00615614282538716%","Belgium"
2019,"Personnel development for population and reproductive health",0.746588,"0.00591469021058592%","Belgium"
2020,"Personnel development for population and reproductive health",0.279019,"0.0021249470446326%","Belgium"
2021,"Personnel development for population and reproductive health",0.361105,"0.00222750989931233%","Belgium"
2019,"NCDs control, general",0.207492,"0.00164381278720646%","Belgium"
2020,"NCDs control, general",0.381292,"0.00290383561170405%","Belgium"
2021,"NCDs control, general",0.394611,"0.00243419478788036%","Belgium"
