"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Humanitarian aid",29.26,"23.69%","Austria"
"2018","Humanitarian aid",0.65,"0.55%","Austria"
"2019","Humanitarian aid",18.81,"12.66%","Austria"
"2020","Humanitarian aid",24.82,"19.39%","Austria"
"2021","Humanitarian aid",52.95,"32.09%","Austria"
"2017","Government & civil society",16.5,"13.36%","Austria"
"2018","Government & civil society",17.86,"15.12%","Austria"
"2019","Government & civil society",25.04,"16.85%","Austria"
"2020","Government & civil society",20.99,"16.39%","Austria"
"2021","Government & civil society",23.6,"14.3%","Austria"
"2017","Agriculture (incl. forestry, fishing, rural development)",20.2,"16.36%","Austria"
"2018","Agriculture (incl. forestry, fishing, rural development)",14.25,"12.06%","Austria"
"2019","Agriculture (incl. forestry, fishing, rural development)",17.35,"11.67%","Austria"
"2020","Agriculture (incl. forestry, fishing, rural development)",15.77,"12.31%","Austria"
"2021","Agriculture (incl. forestry, fishing, rural development)",17.52,"10.62%","Austria"
"2017","Financial services & business support",0.57,"0.46%","Austria"
"2018","Financial services & business support",0.89,"0.76%","Austria"
"2019","Financial services & business support",2.15,"1.45%","Austria"
"2020","Financial services & business support",5.84,"4.56%","Austria"
"2021","Financial services & business support",11.74,"7.12%","Austria"
"2017","Water and sanitation",6.76,"5.47%","Austria"
"2018","Water and sanitation",12.73,"10.77%","Austria"
"2019","Water and sanitation",11.29,"7.59%","Austria"
"2020","Water and sanitation",10.59,"8.27%","Austria"
"2021","Water and sanitation",10.62,"6.44%","Austria"
"2017","Education",12.11,"9.81%","Austria"
"2018","Education",32.87,"27.82%","Austria"
"2019","Education",35.09,"23.61%","Austria"
"2020","Education",17.24,"13.47%","Austria"
"2021","Education",9.98,"6.05%","Austria"
"2017","Other social services",9.16,"7.42%","Austria"
"2018","Other social services",12.13,"10.26%","Austria"
"2019","Other social services",9.99,"6.72%","Austria"
"2020","Other social services",12.32,"9.62%","Austria"
"2021","Other social services",8.78,"5.32%","Austria"
"2017","Health & populations",2.82,"2.28%","Austria"
"2018","Health & populations",2.23,"1.89%","Austria"
"2019","Health & populations",0.57,"0.38%","Austria"
"2020","Health & populations",2.8,"2.19%","Austria"
"2021","Health & populations",8.44,"5.12%","Austria"
"2017","Other multisector",7.03,"5.69%","Austria"
"2018","Other multisector",12.43,"10.52%","Austria"
"2019","Other multisector",16.06,"10.81%","Austria"
"2020","Other multisector",3.95,"3.09%","Austria"
"2021","Other multisector",8.34,"5.05%","Austria"
"2017","Energy",12.46,"10.09%","Austria"
"2018","Energy",6.99,"5.92%","Austria"
"2019","Energy",5.31,"3.57%","Austria"
"2020","Energy",4.94,"3.86%","Austria"
"2021","Energy",5.32,"3.22%","Austria"
"2017","Conflict, peace & security",2.46,"1.99%","Austria"
"2018","Conflict, peace & security",0.84,"0.71%","Austria"
"2019","Conflict, peace & security",2.47,"1.66%","Austria"
"2020","Conflict, peace & security",1.18,"0.92%","Austria"
"2021","Conflict, peace & security",3.08,"1.87%","Austria"
"2017","Environmental protection",1.47,"1.19%","Austria"
"2018","Environmental protection",1.26,"1.07%","Austria"
"2019","Environmental protection",2.68,"1.8%","Austria"
"2020","Environmental protection",2.95,"2.3%","Austria"
"2021","Environmental protection",2.03,"1.23%","Austria"
"2017","Industry, construction & mining",0.72,"0.58%","Austria"
"2018","Industry, construction & mining",0.58,"0.49%","Austria"
"2019","Industry, construction & mining",0.84,"0.57%","Austria"
"2020","Industry, construction & mining",1.4,"1.09%","Austria"
"2021","Industry, construction & mining",1.6,"0.97%","Austria"
"2017","Food aid and commodity assistance",0.13,"0.11%","Austria"
"2018","Food aid and commodity assistance",0.63,"0.53%","Austria"
"2019","Food aid and commodity assistance",0,"0%","Austria"
"2020","Food aid and commodity assistance",2.59,"2.02%","Austria"
"2021","Food aid and commodity assistance",0.89,"0.54%","Austria"
"2017","Infrastructure",0.94,"0.77%","Austria"
"2018","Infrastructure",0.85,"0.72%","Austria"
"2019","Infrastructure",0.07,"0.05%","Austria"
"2020","Infrastructure",0.15,"0.12%","Austria"
"2021","Infrastructure",0.09,"0.05%","Austria"
"2017","Unspecified",0,"0%","Austria"
"2018","Unspecified",0,"0%","Austria"
"2019","Unspecified",0.2,"0.14%","Austria"
"2020","Unspecified",0.02,"0.01%","Austria"
"2021","Unspecified",0.02,"0.02%","Austria"
"2017","Tourism",0.9,"0.73%","Austria"
"2018","Tourism",0.96,"0.82%","Austria"
"2019","Tourism",0.72,"0.48%","Austria"
"2020","Tourism",0.49,"0.38%","Austria"
"2021","Tourism",0,"0%","Austria"
"2017","Trade policy",0.01,"0.01%","Austria"
"2018","Trade policy",0,"0%","Austria"
"2019","Trade policy",0,"0%","Austria"
"2020","Trade policy",0,"0%","Austria"
"2021","Trade policy",0,"0%","Austria"
