"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",0.642716,"8.31%","Austria"
2018,"Health policy and administrative management",1.100829,"15.07%","Austria"
2019,"Health policy and administrative management",0.900452,"9.92%","Austria"
2020,"Health policy and administrative management",0.878345,"10.93%","Austria"
2021,"Health policy and administrative management",0.569972,"1.22%","Austria"
2017,"Medical education/training",0.20293,"2.62%","Austria"
2018,"Medical education/training",0.090603,"1.24%","Austria"
2019,"Medical education/training",0.030766,"0.34%","Austria"
2020,"Medical education/training",0.060278,"0.75%","Austria"
2021,"Medical education/training",0.05913,"0.13%","Austria"
2017,"Medical services",2.474063,"31.97%","Austria"
2018,"Medical services",4.942765,"67.65%","Austria"
2019,"Medical services",6.893831,"75.94%","Austria"
2020,"Medical services",4.640902,"57.77%","Austria"
2021,"Medical services",8.500004,"18.2%","Austria"
2017,"Basic health care",2.146693,"27.74%","Austria"
2018,"Basic health care",0.233222,"3.19%","Austria"
2019,"Basic health care",0.359512,"3.96%","Austria"
2020,"Basic health care",0.240251,"2.99%","Austria"
2021,"Basic health care",2.899901,"6.21%","Austria"
2017,"Basic health infrastructure",1.198158,"15.48%","Austria"
2018,"Basic health infrastructure",0.172539,"2.36%","Austria"
2019,"Basic health infrastructure",0.263419,"2.9%","Austria"
2020,"Basic health infrastructure",0.269618,"3.36%","Austria"
2021,"Basic health infrastructure",0.15349,"0.33%","Austria"
2017,"Basic nutrition",0.318972,"4.12%","Austria"
2018,"Basic nutrition",0.362713,"4.96%","Austria"
2019,"Basic nutrition",0.066921,"0.74%","Austria"
2020,"Basic nutrition",0.10609,"1.32%","Austria"
2021,"Basic nutrition",0.137421,"0.29%","Austria"
2019,"Infectious disease control",0.193144,"2.13%","Austria"
2020,"Infectious disease control",0.337631,"4.2%","Austria"
2021,"Infectious disease control",0.427861,"0.92%","Austria"
2017,"Health education",0.010607,"0.14%","Austria"
2018,"Health education",0.130681,"1.79%","Austria"
2019,"Health education",0.05733,"0.63%","Austria"
2021,"Health education",0.014782,"0.03%","Austria"
2017,"Malaria control",0.255042,"3.3%","Austria"
2018,"Malaria control",0.016923,"0.23%","Austria"
2019,"Tuberculosis control",0.024726,"0.27%","Austria"
2020,"Tuberculosis control",0.024111,"0.3%","Austria"
2021,"Tuberculosis control",0.11826,"0.25%","Austria"
2017,"Health personnel development",0.007668,"0.1%","Austria"
2018,"Health personnel development",0.080473,"1.1%","Austria"
2019,"Health personnel development",0.042391,"0.47%","Austria"
2021,"Health personnel development",0.039719,"0.09%","Austria"
2017,"Population policy and administrative management",0.08051,"1.04%","Austria"
2019,"Population policy and administrative management",0.008124,"0.09%","Austria"
2017,"Reproductive health care",0.293925,"3.8%","Austria"
2018,"Reproductive health care",0.042261,"0.58%","Austria"
2019,"Reproductive health care",0.162006,"1.78%","Austria"
2020,"Reproductive health care",0.136832,"1.7%","Austria"
2021,"Reproductive health care",0.288872,"0.62%","Austria"
2019,"Family planning",0.013599,"0.15%","Austria"
2020,"Family planning",0.002893,"0.04%","Austria"
2021,"Family planning",0.039026,"0.08%","Austria"
2017,"STD control including HIV/AIDS",0.099964,"1.29%","Austria"
2018,"STD control including HIV/AIDS",0.084098,"1.15%","Austria"
2019,"STD control including HIV/AIDS",0.043271,"0.48%","Austria"
2020,"STD control including HIV/AIDS",0.062869,"0.78%","Austria"
2021,"STD control including HIV/AIDS",0.075612,"0.16%","Austria"
2017,"Personnel development for population and reproductive health",0.007029,"0.09%","Austria"
2018,"Personnel development for population and reproductive health",0.01569,"0.21%","Austria"
2019,"Personnel development for population and reproductive health",0.012363,"0.14%","Austria"
2021,"Personnel development for population and reproductive health",0.055582,"0.12%","Austria"
2018,"Control of harmful use of alcohol and drugs",0.005648,"0.08%","Austria"
2018,"Promotion of mental health and well-being",0.028192,"0.39%","Austria"
2019,"Promotion of mental health and well-being",0.006182,"0.07%","Austria"
2020,"Promotion of mental health and well-being",0.168779,"2.1%","Austria"
2021,"Promotion of mental health and well-being",0.193685,"0.41%","Austria"
2021,"Other prevention and treatment of NCDs",0.002956,"0.01%","Austria"
2020,"COVID-19 control",1.105144,"13.76%","Austria"
2021,"COVID-19 control",33.116284,"70.92%","Austria"
