"Year","Multi_short","ODA","Share","full name","country"
"2017","UN agency, fund or commission",85.975558,"23%","United Nations (UN) agency, fund or commission","Ireland"
"2018","UN agency, fund or commission",107.205793,"26%","United Nations (UN) agency, fund or commission","Ireland"
"2019","UN agency, fund or commission",105.887099,"25%","United Nations (UN) agency, fund or commission","Ireland"
"2020","UN agency, fund or commission",121.337793,"25%","United Nations (UN) agency, fund or commission","Ireland"
"2021","UN agency, fund or commission",116.120964,"22%","United Nations (UN) agency, fund or commission","Ireland"
"2017","CERF",15.970091,"4%","Central Emergency Response Fund","Ireland"
"2018","CERF",14.624913,"4%","Central Emergency Response Fund","Ireland"
"2019","CERF",7.090051,"2%","Central Emergency Response Fund","Ireland"
"2020","CERF",11.877929,"2%","Central Emergency Response Fund","Ireland"
"2021","CERF",13.008514,"2%","Central Emergency Response Fund","Ireland"
"2017","FAO",1.174853,"0%","Food and Agricultural Organisation","Ireland"
"2018","FAO",1.121243,"0%","Food and Agricultural Organisation","Ireland"
"2019","FAO",1.399963,"0%","Food and Agricultural Organisation","Ireland"
"2020","FAO",1.620609,"0%","Food and Agricultural Organisation","Ireland"
"2021","FAO",1.841706,"0%","Food and Agricultural Organisation","Ireland"
"2018","IFAD",2.437485,"1%","International Fund for Agricultural Development","Ireland"
"2019","IFAD",2.954188,"1%","International Fund for Agricultural Development","Ireland"
"2020","IFAD",2.969482,"1%","International Fund for Agricultural Development","Ireland"
"2021","IFAD",2.956481,"1%","International Fund for Agricultural Development","Ireland"
"2017","UNDP",9.520631,"2%","United Nations Development Programme","Ireland"
"2018","UNDP",9.749942,"3%","United Nations Development Programme","Ireland"
"2019","UNDP",9.157982,"2%","United Nations Development Programme","Ireland"
"2020","UNDP",9.205395,"2%","United Nations Development Programme","Ireland"
"2021","UNDP",9.16509,"2%","United Nations Development Programme","Ireland"
"2017","UN Women",1.842703,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2018","UN Women",1.828114,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2019","UN Women",1.772513,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2020","UN Women",1.781689,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2021","UN Women",2.365184,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Ireland"
"2017","UNEP",0.58754,"0%","United Nations Environment Programme","Ireland"
"2018","UNEP",1.630678,"0%","United Nations Environment Programme","Ireland"
"2019","UNEP",0.649928,"0%","United Nations Environment Programme","Ireland"
"2020","UNEP",0.565526,"0%","United Nations Environment Programme","Ireland"
"2021","UNEP",0.479089,"0%","United Nations Environment Programme","Ireland"
"2017","UNFCCC",0.115988,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2018","UNFCCC",0.710527,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2019","UNFCCC",0.074303,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2020","UNFCCC",0.075039,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2021","UNFCCC",0.087,"0%","United Nations Framework Convention on Climate Change","Ireland"
"2017","UNOCHA",4.176793,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2018","UNOCHA",3.534354,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2019","UNOCHA",3.30869,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2020","UNOCHA",3.800937,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2021","UNOCHA",3.784295,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Ireland"
"2017","UNFPA",3.439712,"1%","United Nations Population Fund","Ireland"
"2018","UNFPA",4.2656,"1%","United Nations Population Fund","Ireland"
"2019","UNFPA",4.135863,"1%","United Nations Population Fund","Ireland"
"2020","UNFPA",4.157275,"1%","United Nations Population Fund","Ireland"
"2021","UNFPA",4.139073,"1%","United Nations Population Fund","Ireland"
"2017","WFP",15.355857,"3%","World Food Programme","Ireland"
"2018","WFP",23.156112,"6%","World Food Programme","Ireland"
"2019","WFP",29.896381,"7%","World Food Programme","Ireland"
"2020","WFP",30.526276,"7%","World Food Programme","Ireland"
"2021","WFP",29.564806,"6%","World Food Programme","Ireland"
"2017","WHO - assessed contributions",1.346864,"0%","World Health Organisation - assessed contributions","Ireland"
"2018","WHO - assessed contributions",1.307711,"0%","World Health Organisation - assessed contributions","Ireland"
"2019","WHO - assessed contributions",1.287754,"0%","World Health Organisation - assessed contributions","Ireland"
"2020","WHO - assessed contributions",1.515565,"0%","World Health Organisation - assessed contributions","Ireland"
"2021","WHO - assessed contributions",1.441447,"0%","World Health Organisation - assessed contributions","Ireland"
"2021","WHO - core voluntary contributions",1.53737,"0%","World Health Organisation - core voluntary contributions account","Ireland"
"2017","EUI",221.422673,"59%","European Union Institutions","Ireland"
"2018","EUI",238.29091,"58%","European Union Institutions","Ireland"
"2019","EUI",240.276939,"57%","European Union Institutions","Ireland"
"2020","EUI",264.290062,"54%","European Union Institutions","Ireland"
"2021","EUI",308.821597,"58%","European Union Institutions","Ireland"
"2017","EC - Development Share of Budget",175.939527,"47%","European Commission - Development Share of Budget","Ireland"
"2018","EC - Development Share of Budget",186.036204,"45%","European Commission - Development Share of Budget","Ireland"
"2019","EC - Development Share of Budget",188.173763,"44%","European Commission - Development Share of Budget","Ireland"
"2020","EC - Development Share of Budget",211.917141,"44%","European Commission - Development Share of Budget","Ireland"
"2021","EC - Development Share of Budget",266.013226,"50%","European Commission - Development Share of Budget","Ireland"
"2017","EC - EDF",43.806287,"12%","European Commission - European Development Fund","Ireland"
"2018","EC - EDF",49.482066,"12%","European Commission - European Development Fund","Ireland"
"2019","EC - EDF",48.877204,"12%","European Commission - European Development Fund","Ireland"
"2020","EC - EDF",49.130248,"10%","European Commission - European Development Fund","Ireland"
"2021","EC - EDF",39.498132,"7%","European Commission - European Development Fund","Ireland"
"2017","EIB",1.676859,"0%","European Investment Bank","Ireland"
"2018","EIB",2.77264,"1%","European Investment Bank","Ireland"
"2019","EIB",3.225972,"1%","European Investment Bank","Ireland"
"2020","EIB",3.242673,"1%","European Investment Bank","Ireland"
"2021","EIB",3.310239,"1%","European Investment Bank","Ireland"
