"Year","Donor","Total ODA","Ranking"
2021,"United States",47.8048,"28st"
2021,"Germany",33.27239,"27nd"
2021,"Japan",17.63414,"26rd"
2021,"United Kingdom",15.71201,"25th"
2021,"France",15.50562,"24th"
2021,"Canada",6.30274,"23th"
2021,"Italy",6.08513,"22th"
2021,"Sweden",5.93417,"21th"
2021,"Netherlands",5.28754,"20th"
2021,"Norway",4.67297,"19th"
2021,"Switzerland",3.91202,"18th"
2021,"Spain",3.6419,"17th"
2021,"Australia",3.54644,"16th"
2021,"Denmark",2.921,"15th"
2021,"Korea",2.87251,"14th"
2021,"Belgium",2.61551,"13th"
2021,"Austria",1.46678,"12th"
2021,"Finland",1.44122,"11th"
2021,"Ireland",1.15489,"10th"
2021,"Poland",0.98351,"9th"
2021,"New Zealand",0.68526,"8st"
2021,"Luxembourg",0.53937,"7nd"
2021,"Portugal",0.45894,"6rd"
2021,"Hungary",0.43506,"5th"
2021,"Greece",0.34085,"4th"
2021,"Slovak Republic",0.15528,"3th"
2021,"Slovenia",0.11619,"2th"
2021,"Iceland",0.07084,"1th"
2022,"United States",55.27704,"28st"
2022,"Germany",35.02476,"27nd"
2022,"Japan",17.47533,"26rd"
2022,"France",15.8761,"25th"
2022,"United Kingdom",15.7476,"24th"
2022,"Canada",7.83246,"23th"
2022,"Netherlands",6.46996,"22th"
2022,"Italy",6.46783,"21th"
2022,"Sweden",5.45797,"20th"
2022,"Norway",5.16098,"19th"
2022,"Switzerland",4.47689,"18th"
2022,"Spain",4.20738,"17th"
2022,"Poland",3.37818,"16th"
2022,"Australia",3.03962,"15th"
2022,"Denmark",2.85693,"14th"
2022,"Korea",2.78563,"13th"
2022,"Belgium",2.65725,"12th"
2022,"Ireland",2.45195,"11th"
2022,"Austria",1.84706,"10th"
2022,"Finland",1.61562,"9th"
2022,"New Zealand",0.53761,"8st"
2022,"Luxembourg",0.53012,"7nd"
2022,"Portugal",0.5047,"6rd"
2022,"Hungary",0.39563,"5th"
2022,"Greece",0.36044,"4th"
2022,"Slovak Republic",0.17188,"3th"
2022,"Slovenia",0.16383,"2th"
2022,"Iceland",0.09305,"1th"
