"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",44.776813,"0.31432102391598%","Switzerland"
2018,"Health policy and administrative management",39.287237,"0.288775231783045%","Switzerland"
2019,"Health policy and administrative management",41.408564,"0.281806544266238%","Switzerland"
2020,"Health policy and administrative management",58.850028,"0.214241134000754%","Switzerland"
2021,"Health policy and administrative management",74.989251,"0.163178755028886%","Switzerland"
2017,"Medical education/training",1.625877,"0.0114132134281518%","Switzerland"
2018,"Medical education/training",0.401717,"0.0029527635090803%","Switzerland"
2019,"Medical education/training",0.38612,"0.00262774490011487%","Switzerland"
2020,"Medical education/training",0.381687,"0.00138951600351568%","Switzerland"
2021,"Medical education/training",0.963698,"0.00209703441182294%","Switzerland"
2017,"Medical research",0.165697,"0.00116314778141549%","Switzerland"
2019,"Medical research",0.301716,"0.00205333233265062%","Switzerland"
2020,"Medical research",0.069423,"0.000252731608653344%","Switzerland"
2021,"Medical research",0.512497,"0.00111520813050979%","Switzerland"
2017,"Medical services",13.102111,"0.0919732484082961%","Switzerland"
2018,"Medical services",6.637971,"0.0487914590199899%","Switzerland"
2019,"Medical services",7.523387,"0.0512005123299505%","Switzerland"
2020,"Medical services",11.019716,"0.0401168280192875%","Switzerland"
2021,"Medical services",5.518031,"0.0120073932834827%","Switzerland"
2017,"Basic health care",38.391867,"0.269500443130826%","Switzerland"
2018,"Basic health care",38.63085,"0.283950552764147%","Switzerland"
2019,"Basic health care",39.566084,"0.269267521621559%","Switzerland"
2020,"Basic health care",59.357757,"0.216089500780207%","Switzerland"
2021,"Basic health care",95.145005,"0.207038252230539%","Switzerland"
2017,"Basic health infrastructure",1.428267,"0.0100260450842137%","Switzerland"
2018,"Basic health infrastructure",1.967933,"0.0144650108178517%","Switzerland"
2019,"Basic health infrastructure",4.188934,"0.028507847185895%","Switzerland"
2020,"Basic health infrastructure",6.638599,"0.0241675497237872%","Switzerland"
2021,"Basic health infrastructure",3.855686,"0.00839008301686207%","Switzerland"
2017,"Basic nutrition",6.357779,"0.0446298758491703%","Switzerland"
2018,"Basic nutrition",12.916148,"0.0949383035626587%","Switzerland"
2019,"Basic nutrition",9.596088,"0.065306307114507%","Switzerland"
2020,"Basic nutrition",8.782662,"0.0319729238943664%","Switzerland"
2021,"Basic nutrition",8.157132,"0.0177501525434131%","Switzerland"
2017,"Infectious disease control",11.3641,"0.0797728848608227%","Switzerland"
2018,"Infectious disease control",10.87753,"0.0799537327345526%","Switzerland"
2019,"Infectious disease control",10.8564,"0.0738833775344634%","Switzerland"
2020,"Infectious disease control",68.126622,"0.248012197257081%","Switzerland"
2021,"Infectious disease control",93.428161,"0.20330235058113%","Switzerland"
2017,"Health education",1.838757,"0.012907573010448%","Switzerland"
2018,"Health education",2.936573,"0.0215848609746425%","Switzerland"
2019,"Health education",5.318746,"0.0361967980848087%","Switzerland"
2020,"Health education",11.108679,"0.0404406942034142%","Switzerland"
2021,"Health education",9.459055,"0.020583174229194%","Switzerland"
2017,"Malaria control",3.511304,"0.024648397119292%","Switzerland"
2018,"Malaria control",3.680793,"0.027055143931868%","Switzerland"
2019,"Malaria control",4.928648,"0.0335419808517076%","Switzerland"
2020,"Malaria control",3.909976,"0.0142341086423227%","Switzerland"
2021,"Malaria control",3.229126,"0.00702667053590665%","Switzerland"
2018,"Tuberculosis control",0.360209,"0.00264766487562714%","Switzerland"
2019,"Tuberculosis control",0.448773,"0.00305413074189176%","Switzerland"
2020,"Tuberculosis control",0.345988,"0.00125955524559229%","Switzerland"
2021,"Tuberculosis control",0.18616,"0.000405089484573962%","Switzerland"
2017,"Health personnel development",0.082549,"0.000579471482332613%","Switzerland"
2018,"Health personnel development",0.086477,"0.000635636853742156%","Switzerland"
2019,"Health personnel development",0.06528,"0.000444263925928464%","Switzerland"
2020,"Health personnel development",0.657757,"0.00239453761308209%","Switzerland"
2021,"Health personnel development",0.111468,"0.00024255755622309%","Switzerland"
2017,"Population policy and administrative management",0.097984,"0.000687820975722041%","Switzerland"
