"Year","Sector","climate-related ODA to","Share","Donor"
"2017","Financial services and business support",0,"0%","Finland"
"2018","Financial services and business support",21.5247183037216,"18%","Finland"
"2019","Financial services and business support",0.78712912212,"1%","Finland"
"2020","Financial services and business support",73.4825308460738,"47%","Finland"
"2021","Financial services and business support",62.6584663553288,"23%","Finland"
"2017","Government & civil society",0.0763832828308,"0%","Finland"
"2018","Government & civil society",11.7568881654554,"10%","Finland"
"2019","Government & civil society",0.2094684233268,"0%","Finland"
"2020","Government & civil society",11.3707675482324,"7%","Finland"
"2021","Government & civil society",49.7595717005618,"19%","Finland"
"2017","Education",12.9970875740508,"6%","Finland"
"2018","Education",7.712330782728,"7%","Finland"
"2019","Education",4.991635916817,"6%","Finland"
"2020","Education",1.6908207068192,"1%","Finland"
"2021","Education",35.0993376263574,"13%","Finland"
"2017","Health",0,"0%","Finland"
"2018","Health",3.951386061634,"3%","Finland"
"2019","Health",3.3962618095582,"4%","Finland"
"2020","Health",2.6050542374648,"2%","Finland"
"2021","Health",29.0099198131204,"11%","Finland"
"2017","Other multisector",0.018175585131,"0%","Finland"
"2018","Other multisector",1.3156938941234,"1%","Finland"
"2019","Other multisector",0,"0%","Finland"
"2020","Other multisector",14.6234075998692,"9%","Finland"
"2021","Other multisector",22.5614950289168,"8%","Finland"
"2017","Environmental protection",1.98199667116,"1%","Finland"
"2018","Environmental protection",8.042187546712,"7%","Finland"
"2019","Environmental protection",3.2106353205938,"4%","Finland"
"2020","Environmental protection",10.2894784900116,"7%","Finland"
"2021","Environmental protection",20.6170356567934,"8%","Finland"
"2017","Agriculture (incl. forestry, fishing, rural development)",14.0167682724696,"7%","Finland"
"2018","Agriculture (incl. forestry, fishing, rural development)",22.8529939016302,"19%","Finland"
"2019","Agriculture (incl. forestry, fishing, rural development)",2.8835643073886,"3%","Finland"
"2020","Agriculture (incl. forestry, fishing, rural development)",25.4873155735396,"16%","Finland"
"2021","Agriculture (incl. forestry, fishing, rural development)",18.3289943162942,"7%","Finland"
"2017","Energy",173.685351199807,"84%","Finland"
"2018","Energy",9.429697115465,"8%","Finland"
"2019","Energy",17.6376677389374,"20%","Finland"
"2020","Energy",5.9391300755446,"4%","Finland"
"2021","Energy",17.6052959081582,"7%","Finland"
"2017","Other social services",0,"0%","Finland"
"2018","Other social services",16.8653614965352,"14%","Finland"
"2019","Other social services",0.8769861031514,"1%","Finland"
"2020","Other social services",0.011248507831,"0%","Finland"
"2021","Other social services",3.8789032561752,"1%","Finland"
"2017","Industry, construction & mining",0.986165367033,"0%","Finland"
"2018","Industry, construction & mining",0.2235378501752,"0%","Finland"
"2019","Industry, construction & mining",0.3401919633156,"0%","Finland"
"2020","Industry, construction & mining",1.2757054754268,"1%","Finland"
"2021","Industry, construction & mining",3.7180703754238,"1%","Finland"
"2017","Water and sanitation",0.5020095547478,"0%","Finland"
"2018","Water and sanitation",4.519433042839,"4%","Finland"
"2019","Water and sanitation",53.6239749853918,"60%","Finland"
"2020","Water and sanitation",4.5771345310438,"3%","Finland"
"2021","Water and sanitation",1.7147585545596,"1%","Finland"
"2017","Trade policy",0,"0%","Finland"
"2018","Trade policy",0,"0%","Finland"
"2019","Trade policy",0.1229886589052,"0%","Finland"
"2020","Trade policy",0,"0%","Finland"
"2021","Trade policy",1.4131962370856,"1%","Finland"
"2017","Conflict, peace and security",0,"0%","Finland"
"2018","Conflict, peace and security",0.8864602134894,"1%","Finland"
"2019","Conflict, peace and security",0,"0%","Finland"
"2020","Conflict, peace and security",0,"0%","Finland"
"2021","Conflict, peace and security",1.2417222998972,"0%","Finland"
"2017","Infrastructure",0.1227147729258,"0%","Finland"
"2018","Infrastructure",0.1086389518522,"0%","Finland"
"2019","Infrastructure",0.0644655127622,"0%","Finland"
"2020","Infrastructure",0.5749484816042,"0%","Finland"
"2021","Infrastructure",0.5605486864538,"0%","Finland"
"2017","Unspecified",0.0959229693378,"0%","Finland"
"2018","Unspecified",4.7623741693836,"4%","Finland"
"2019","Unspecified",0,"0%","Finland"
"2020","Unspecified",0.5036070453436,"0%","Finland"
"2021","Unspecified",0.170795083613,"0%","Finland"
"2017","Humanitarian aid",1.2730561347856,"1%","Finland"
"2018","Humanitarian aid",3.8205847252386,"3%","Finland"
"2019","Humanitarian aid",1.653498680031,"2%","Finland"
"2020","Humanitarian aid",2.0584161879336,"1%","Finland"
"2021","Humanitarian aid",0.0359920279466,"0%","Finland"
"2017","Donor administration costs",0,"0%","Finland"
"2018","Donor administration costs",0,"0%","Finland"
"2019","Donor administration costs",0.1174011717846,"0%","Finland"
"2020","Donor administration costs",0,"0%","Finland"
"2021","Donor administration costs",0,"0%","Finland"
"2017","Food aid and commodity assistance",0,"0%","Finland"
"2018","Food aid and commodity assistance",0,"0%","Finland"
"2019","Food aid and commodity assistance",0,"0%","Finland"
"2020","Food aid and commodity assistance",0.2210345110094,"0%","Finland"
"2021","Food aid and commodity assistance",0,"0%","Finland"
"2017","General budget support",0,"0%","Finland"
"2018","General budget support",0,"0%","Finland"
"2019","General budget support",0,"0%","Finland"
"2020","General budget support",0,"0%","Finland"
"2021","General budget support",0,"0%","Finland"
"2017","Tourism",0,"0%","Finland"
"2018","Tourism",0,"0%","Finland"
"2019","Tourism",0,"0%","Finland"
"2020","Tourism",0,"0%","Finland"
"2021","Tourism",0,"0%","Finland"
