year,Sector,Climate-related ODA to,Share,Donor
2022,Emergency Response,616.03,31.2%,Netherlands
2022,"Agriculture (incl. forestry, fishing, rural development)",244.42,12.4%,Netherlands
2022,Other multisector,178.13,9.0%,Netherlands
2022,Financial services & business support,151.58,7.7%,Netherlands
2022,Water and sanitation,141.75,7.2%,Netherlands
2022,Energy,129.88,6.6%,Netherlands
2022,Trade policy,98.35,5.0%,Netherlands
2022,Health & populations,97.08,4.9%,Netherlands
2022,Environmental protection,72.1,3.7%,Netherlands
2022,Unspecified,64.82,3.3%,Netherlands
2022,Food aid and commodity assistance,53.93,2.7%,Netherlands
2022,"Conflict, peace & security",47.52,2.4%,Netherlands
2022,Other social services,36.44,1.8%,Netherlands
2022,Government & civil society,28.28,1.4%,Netherlands
2022,"Industry, construction & mining",10.43,0.5%,Netherlands
2022,Infrastructure,1.99,0.1%,Netherlands
2022,Donor administration costs,0.04,0.0%,Netherlands
2022,Education,0.03,0.0%,Netherlands
2023,"Agriculture (incl. forestry, fishing, rural development)",494.33,19.2%,Netherlands
2023,Emergency Response,442.9,17.2%,Netherlands
2023,Other multisector,372.34,14.4%,Netherlands
2023,Government & civil society,362.22,14.0%,Netherlands
2023,Water and sanitation,251.36,9.7%,Netherlands
2023,Energy,188.39,7.3%,Netherlands
2023,Environmental protection,138.95,5.4%,Netherlands
2023,Trade policy,77.42,3.0%,Netherlands
2023,Health & populations,74.73,2.9%,Netherlands
2023,Financial services & business support,61.98,2.4%,Netherlands
2023,Food aid and commodity assistance,46.06,1.8%,Netherlands
2023,Other social services,33.76,1.3%,Netherlands
2023,Donor administration costs,11.98,0.5%,Netherlands
2023,"Conflict, peace & security",11.78,0.5%,Netherlands
2023,"Industry, construction & mining",11.04,0.4%,Netherlands
2023,Education,0.39,0.0%,Netherlands
2023,Unspecified,0.33,0.0%,Netherlands
