year,Sector,Climate-related ODA to,Share,Donor
2022,Infrastructure,163.4,16.3%,Australia
2022,Government & civil society,134.48,13.4%,Australia
2022,Other multisector,121.57,12.1%,Australia
2022,"Agriculture (incl. forestry, fishing, rural development)",121.14,12.1%,Australia
2022,Health & populations,85.3,8.5%,Australia
2022,Education,74.47,7.4%,Australia
2022,Water and sanitation,74.03,7.4%,Australia
2022,Energy,46.88,4.7%,Australia
2022,Disaster Prevention & Preparedness,45.04,4.5%,Australia
2022,Emergency Response,39.16,3.9%,Australia
2022,Environmental protection,23.88,2.4%,Australia
2022,Financial services & business support,23.25,2.3%,Australia
2022,Other social services,22.94,2.3%,Australia
2022,Reconstruction Relief & Rehabilitation,8.34,0.8%,Australia
2022,"Industry, construction & mining",4.99,0.5%,Australia
2022,Food aid and commodity assistance,4.42,0.4%,Australia
2022,"Conflict, peace & security",3.77,0.4%,Australia
2022,Trade policy,2.24,0.2%,Australia
2022,Unspecified,1.65,0.2%,Australia
2022,Tourism,0.96,0.1%,Australia
2022,,0.47,0.0%,Australia
2023,Other multisector,174.3,15.5%,Australia
2023,Infrastructure,154.33,13.7%,Australia
2023,Government & civil society,147.69,13.1%,Australia
2023,"Agriculture (incl. forestry, fishing, rural development)",136.31,12.1%,Australia
2023,Education,109.42,9.7%,Australia
2023,Energy,65.03,5.8%,Australia
2023,Water and sanitation,55.1,4.9%,Australia
2023,Other social services,47.82,4.2%,Australia
2023,Health & populations,47.51,4.2%,Australia
2023,Disaster Prevention & Preparedness,44.78,4.0%,Australia
2023,Environmental protection,42.33,3.8%,Australia
2023,Emergency Response,38.02,3.4%,Australia
2023,Financial services & business support,31.89,2.8%,Australia
2023,Reconstruction Relief & Rehabilitation,13.72,1.2%,Australia
2023,Trade policy,6.41,0.6%,Australia
2023,"Industry, construction & mining",5.46,0.5%,Australia
2023,"Conflict, peace & security",3.41,0.3%,Australia
2023,Tourism,3.31,0.3%,Australia
2023,Food aid and commodity assistance,0.35,0.0%,Australia
2023,,0.28,0.0%,Australia
2023,Unspecified,0.23,0.0%,Australia
