year,Sector,Climate-related ODA to,Share,Donor
2022,Environmental protection,455.25,24.5%,United Kingdom
2022,Financial services & business support,230.35,12.4%,United Kingdom
2022,Energy,216.7,11.7%,United Kingdom
2022,Unspecified,213.34,11.5%,United Kingdom
2022,"Agriculture (incl. forestry, fishing, rural development)",113.8,6.1%,United Kingdom
2022,"Industry, construction & mining",97.69,5.3%,United Kingdom
2022,Emergency Response,76.59,4.1%,United Kingdom
2022,Government & civil society,62.75,3.4%,United Kingdom
2022,Reconstruction Relief & Rehabilitation,49.53,2.7%,United Kingdom
2022,Other multisector,47.02,2.5%,United Kingdom
2022,Education,45.83,2.5%,United Kingdom
2022,Disaster Prevention & Preparedness,45.21,2.4%,United Kingdom
2022,Health & populations,42.61,2.3%,United Kingdom
2022,Other social services,42.42,2.3%,United Kingdom
2022,Water and sanitation,39.09,2.1%,United Kingdom
2022,Infrastructure,37.57,2.0%,United Kingdom
2022,Food aid and commodity assistance,14.96,0.8%,United Kingdom
2022,"Conflict, peace & security",14.34,0.8%,United Kingdom
2022,Donor administration costs,10.77,0.6%,United Kingdom
2022,Trade policy,0.78,0.0%,United Kingdom
2023,Emergency Response,206.18,37.4%,United Kingdom
2023,Health & populations,98.23,17.8%,United Kingdom
2023,Food aid and commodity assistance,45.61,8.3%,United Kingdom
2023,Other social services,45.07,8.2%,United Kingdom
2023,Disaster Prevention & Preparedness,25.69,4.7%,United Kingdom
2023,Unspecified,23.41,4.2%,United Kingdom
2023,Environmental protection,18.35,3.3%,United Kingdom
2023,Education,18.31,3.3%,United Kingdom
2023,"Agriculture (incl. forestry, fishing, rural development)",16.93,3.1%,United Kingdom
2023,Water and sanitation,12.29,2.2%,United Kingdom
2023,Reconstruction Relief & Rehabilitation,12.12,2.2%,United Kingdom
2023,Financial services & business support,10.08,1.8%,United Kingdom
2023,Other multisector,8.25,1.5%,United Kingdom
2023,Government & civil society,7.13,1.3%,United Kingdom
2023,"Industry, construction & mining",1.66,0.3%,United Kingdom
2023,Trade policy,0.92,0.2%,United Kingdom
2023,Energy,0.86,0.2%,United Kingdom
2023,"Conflict, peace & security",0.39,0.1%,United Kingdom
2023,Donor administration costs,0.07,0.0%,United Kingdom
2023,Infrastructure,0.01,0.0%,United Kingdom
