year,Sector,Climate-related ODA to,Share,Donor
2022,Water and sanitation,5.89,29.5%,Iceland
2022,Energy,4.49,22.5%,Iceland
2022,"Agriculture (incl. forestry, fishing, rural development)",3.41,17.1%,Iceland
2022,Education,2.43,12.2%,Iceland
2022,Government & civil society,1.42,7.1%,Iceland
2022,Health & populations,0.67,3.4%,Iceland
2022,Emergency Response,0.54,2.7%,Iceland
2022,Environmental protection,0.53,2.7%,Iceland
2022,Other multisector,0.23,1.2%,Iceland
2022,Financial services & business support,0.17,0.9%,Iceland
2022,Disaster Prevention & Preparedness,0.11,0.6%,Iceland
2022,Unspecified,0.02,0.1%,Iceland
2023,Water and sanitation,7.57,25.6%,Iceland
2023,"Agriculture (incl. forestry, fishing, rural development)",5.19,17.6%,Iceland
2023,Energy,4.4,14.9%,Iceland
2023,Health & populations,3.85,13.0%,Iceland
2023,Unspecified,2.63,8.9%,Iceland
2023,Government & civil society,1.61,5.5%,Iceland
2023,Education,1.5,5.1%,Iceland
2023,Disaster Prevention & Preparedness,1.23,4.2%,Iceland
2023,Environmental protection,1.09,3.7%,Iceland
2023,Emergency Response,0.22,0.7%,Iceland
2023,Financial services & business support,0.13,0.4%,Iceland
2023,General budget support,0.1,0.3%,Iceland
2023,"Industry, construction & mining",0.02,0.1%,Iceland
2023,Other social services,0.01,0.0%,Iceland
