year,Sector,Climate-related ODA to,Share,Donor
2022,Water and sanitation,22.12,19.0%,New Zealand
2022,"Agriculture (incl. forestry, fishing, rural development)",20.31,17.4%,New Zealand
2022,Financial services & business support,20.08,17.2%,New Zealand
2022,Other multisector,19.89,17.0%,New Zealand
2022,Environmental protection,16.17,13.9%,New Zealand
2022,General budget support,6.46,5.5%,New Zealand
2022,Education,4.55,3.9%,New Zealand
2022,Tourism,2.99,2.6%,New Zealand
2022,Energy,1.92,1.6%,New Zealand
2022,Emergency Response,0.97,0.8%,New Zealand
2022,"Industry, construction & mining",0.95,0.8%,New Zealand
2022,Government & civil society,0.16,0.1%,New Zealand
2022,Disaster Prevention & Preparedness,0.06,0.0%,New Zealand
2022,Donor administration costs,0.04,0.0%,New Zealand
2022,Health & populations,0.01,0.0%,New Zealand
2022,Trade policy,0.0,0.0%,New Zealand
2023,"Agriculture (incl. forestry, fishing, rural development)",64.4,23.0%,New Zealand
2023,Environmental protection,46.74,16.7%,New Zealand
2023,Energy,42.11,15.0%,New Zealand
2023,Government & civil society,41.62,14.8%,New Zealand
2023,Water and sanitation,27.27,9.7%,New Zealand
2023,Other multisector,25.07,8.9%,New Zealand
2023,General budget support,11.97,4.3%,New Zealand
2023,Infrastructure,6.91,2.5%,New Zealand
2023,"Industry, construction & mining",6.13,2.2%,New Zealand
2023,Health & populations,4.8,1.7%,New Zealand
2023,Emergency Response,1.7,0.6%,New Zealand
2023,Financial services & business support,0.75,0.3%,New Zealand
2023,Other social services,0.74,0.3%,New Zealand
2023,Reconstruction Relief & Rehabilitation,0.32,0.1%,New Zealand
2023,Disaster Prevention & Preparedness,0.03,0.0%,New Zealand
2023,Education,0.02,0.0%,New Zealand
